seq	arm	started_at	elapsed_ms	errno
1	C	2026-08-13 19:02:48.481	11	0
2	C	2026-08-13 19:02:48.698	4	0
3	C	2026-08-13 19:02:48.906	4	0
4	C	2026-08-13 19:02:49.114	4	0
5	C	2026-08-13 19:02:49.323	4	0
6	C	2026-08-13 19:02:49.533	4	0
7	C	2026-08-13 19:02:49.740	4	0
8	C	2026-08-13 19:02:49.947	5	0
9	C	2026-08-13 19:02:50.155	4	0
10	C	2026-08-13 19:02:50.363	5	0
11	C	2026-08-13 19:02:50.572	4	0
12	C	2026-08-13 19:02:50.779	6	0
13	C	2026-08-13 19:02:50.988	5	0
14	C	2026-08-13 19:02:51.196	4	0
15	C	2026-08-13 19:02:51.404	5	0
16	C	2026-08-13 19:02:51.613	4	0
17	C	2026-08-13 19:02:51.821	4	0
18	C	2026-08-13 19:02:52.028	4	0
19	C	2026-08-13 19:02:52.236	4	0
20	C	2026-08-13 19:02:52.444	4	0
21	C	2026-08-13 19:02:52.653	4	0
22	C	2026-08-13 19:02:52.860	4	0
23	C	2026-08-13 19:02:53.067	4	0
24	C	2026-08-13 19:02:53.276	4	0
25	C	2026-08-13 19:02:53.487	5	0
26	C	2026-08-13 19:02:53.695	4	0
27	C	2026-08-13 19:02:53.904	4	0
28	C	2026-08-13 19:02:54.112	4	0
29	C	2026-08-13 19:02:54.320	4	0
30	C	2026-08-13 19:02:54.527	4	0
31	C	2026-08-13 19:02:54.735	5	0
32	C	2026-08-13 19:02:54.944	4	0
33	C	2026-08-13 19:02:55.153	4	0
34	C	2026-08-13 19:02:55.360	4	0
35	C	2026-08-13 19:02:55.567	4	0
36	C	2026-08-13 19:02:55.776	4	0
37	C	2026-08-13 19:02:55.984	4	0
38	C	2026-08-13 19:02:56.193	4	0
39	C	2026-08-13 19:02:56.400	5	0
40	C	2026-08-13 19:02:56.608	3	0
41	C	2026-08-13 19:02:56.814	4	0
42	C	2026-08-13 19:02:57.022	5	0
43	C	2026-08-13 19:02:57.230	4	0
44	C	2026-08-13 19:02:57.437	4	0
45	C	2026-08-13 19:02:57.645	4	0
46	C	2026-08-13 19:02:57.854	6	0
47	C	2026-08-13 19:02:58.064	4	0
48	C	2026-08-13 19:02:58.273	4	0
49	C	2026-08-13 19:02:58.482	4	0
50	C	2026-08-13 19:02:58.690	4	0
51	C	2026-08-13 19:02:58.898	4	0
52	C	2026-08-13 19:02:59.105	4	0
53	C	2026-08-13 19:02:59.313	5	0
54	C	2026-08-13 19:02:59.522	4	0
55	C	2026-08-13 19:02:59.729	4	0
56	C	2026-08-13 19:02:59.936	5	0
57	C	2026-08-13 19:03:00.145	4	0
58	C	2026-08-13 19:03:00.353	4	0
59	C	2026-08-13 19:03:00.560	4	0
60	C	2026-08-13 19:03:00.768	4	0
61	C	2026-08-13 19:03:00.975	4	0
62	C	2026-08-13 19:03:01.184	6	0
63	C	2026-08-13 19:03:01.396	4	0
64	C	2026-08-13 19:03:01.606	6	0
65	C	2026-08-13 19:03:01.818	6	0
66	C	2026-08-13 19:03:02.029	5	0
67	C	2026-08-13 19:03:02.240	4	0
68	C	2026-08-13 19:03:02.448	5	0
69	C	2026-08-13 19:03:02.657	5	0
70	C	2026-08-13 19:03:02.866	6	0
71	C	2026-08-13 19:03:03.078	7	0
72	C	2026-08-13 19:03:03.289	5	0
73	C	2026-08-13 19:03:03.498	5	0
74	C	2026-08-13 19:03:03.706	5	0
75	C	2026-08-13 19:03:03.916	5	0
76	C	2026-08-13 19:03:04.128	5	0
77	C	2026-08-13 19:03:04.337	4	0
78	C	2026-08-13 19:03:04.546	7	0
79	C	2026-08-13 19:03:04.758	9	0
80	C	2026-08-13 19:03:04.971	4	0
81	C	2026-08-13 19:03:05.180	5	0
