seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 17:07:28.569	11	0
2	B	2026-08-13 17:07:28.787	5	0
3	B	2026-08-13 17:07:28.996	4	0
4	B	2026-08-13 17:07:29.204	4	0
5	B	2026-08-13 17:07:29.413	4	0
6	B	2026-08-13 17:07:29.622	4	0
7	B	2026-08-13 17:07:29.830	4	0
8	B	2026-08-13 17:07:30.037	4	0
9	B	2026-08-13 17:07:30.245	5	0
10	B	2026-08-13 17:07:30.454	4	0
11	B	2026-08-13 17:07:30.662	4	0
12	B	2026-08-13 17:07:30.870	4	0
13	B	2026-08-13 17:07:31.077	4	0
14	B	2026-08-13 17:07:31.285	4	0
15	B	2026-08-13 17:07:31.493	5	0
16	B	2026-08-13 17:07:31.702	5	0
17	B	2026-08-13 17:07:31.910	4	0
18	B	2026-08-13 17:07:32.118	4	0
19	B	2026-08-13 17:07:32.325	5	0
20	B	2026-08-13 17:07:32.534	4	0
21	B	2026-08-13 17:07:32.742	4	0
22	B	2026-08-13 17:07:32.950	4	0
23	B	2026-08-13 17:07:33.157	4	0
24	B	2026-08-13 17:07:33.366	4	0
25	B	2026-08-13 17:07:33.575	4	0
26	B	2026-08-13 17:07:33.783	5	0
27	B	2026-08-13 17:07:33.992	4	0
28	B	2026-08-13 17:07:34.200	4	0
29	B	2026-08-13 17:07:34.407	4	0
30	B	2026-08-13 17:07:34.615	5	0
31	B	2026-08-13 17:07:34.824	4	0
32	B	2026-08-13 17:07:35.032	4	0
33	B	2026-08-13 17:07:35.240	4	0
34	B	2026-08-13 17:07:35.447	4	0
35	B	2026-08-13 17:07:35.655	5	0
36	B	2026-08-13 17:07:35.865	4	0
37	B	2026-08-13 17:07:36.073	5	0
38	B	2026-08-13 17:07:36.283	4	0
39	B	2026-08-13 17:07:36.490	4	0
40	B	2026-08-13 17:07:36.698	5	0
41	B	2026-08-13 17:07:36.906	12	0
42	B	2026-08-13 17:07:37.128	5	0
43	B	2026-08-13 17:07:37.337	5	0
44	B	2026-08-13 17:07:37.547	5	0
45	B	2026-08-13 17:07:37.757	9	0
46	B	2026-08-13 17:07:37.971	5	0
47	B	2026-08-13 17:07:38.182	5	0
48	B	2026-08-13 17:07:38.391	4	0
49	B	2026-08-13 17:07:38.599	4	0
50	B	2026-08-13 17:07:38.807	10	0
51	B	2026-08-13 17:07:39.028	4	0
52	B	2026-08-13 17:07:39.235	5	0
53	B	2026-08-13 17:07:39.445	5	0
54	B	2026-08-13 17:07:39.656	7	0
55	B	2026-08-13 17:07:39.868	7	0
56	B	2026-08-13 17:07:40.084	6	0
57	B	2026-08-13 17:07:40.295	5	0
58	B	2026-08-13 17:07:40.505	5	0
59	B	2026-08-13 17:07:40.715	5	0
60	B	2026-08-13 17:07:40.925	9	0
61	B	2026-08-13 17:07:41.140	7	0
62	B	2026-08-13 17:07:41.350	5	0
63	B	2026-08-13 17:07:41.558	6	0
64	B	2026-08-13 17:07:41.767	8	0
65	B	2026-08-13 17:07:41.984	9	0
66	B	2026-08-13 17:07:42.197	5	0
67	B	2026-08-13 17:07:42.406	4	0
68	B	2026-08-13 17:07:42.614	6	0
69	B	2026-08-13 17:07:42.824	7	0
70	B	2026-08-13 17:07:43.036	6	0
71	B	2026-08-13 17:07:43.248	7	0
72	B	2026-08-13 17:07:43.460	5	0
73	B	2026-08-13 17:07:43.669	5	0
74	B	2026-08-13 17:07:43.877	8	0
75	B	2026-08-13 17:07:44.092	4	0
76	B	2026-08-13 17:07:44.299	5	0
77	B	2026-08-13 17:07:44.507	6	0
78	B	2026-08-13 17:07:44.717	6	0
79	B	2026-08-13 17:07:44.928	8	0
