seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 17:50:32.077	8	0
2	B	2026-08-13 17:50:32.289	2	0
3	B	2026-08-13 17:50:32.492	2	0
4	B	2026-08-13 17:50:32.696	2	0
5	B	2026-08-13 17:50:32.900	2	0
6	B	2026-08-13 17:50:33.105	2	0
7	B	2026-08-13 17:50:33.309	2	0
8	B	2026-08-13 17:50:33.513	3	0
9	B	2026-08-13 17:50:33.719	3	0
10	B	2026-08-13 17:50:33.925	4	0
11	B	2026-08-13 17:50:34.133	4	0
12	B	2026-08-13 17:50:34.340	4	0
13	B	2026-08-13 17:50:34.547	4	0
14	B	2026-08-13 17:50:34.761	3	0
15	B	2026-08-13 17:50:34.967	4	0
16	B	2026-08-13 17:50:35.176	5	0
17	B	2026-08-13 17:50:35.385	7	0
18	B	2026-08-13 17:50:35.595	4	0
19	B	2026-08-13 17:50:35.804	4	0
20	B	2026-08-13 17:50:36.012	4	0
21	B	2026-08-13 17:50:36.220	4	0
22	B	2026-08-13 17:50:36.427	4	0
23	B	2026-08-13 17:50:36.635	4	0
24	B	2026-08-13 17:50:36.844	4	0
25	B	2026-08-13 17:50:37.053	4	0
26	B	2026-08-13 17:50:37.260	4	0
27	B	2026-08-13 17:50:37.467	6	0
28	B	2026-08-13 17:50:37.678	4	0
29	B	2026-08-13 17:50:37.885	5	0
30	B	2026-08-13 17:50:38.094	5	0
31	B	2026-08-13 17:50:38.305	4	0
32	B	2026-08-13 17:50:38.513	4	0
33	B	2026-08-13 17:50:38.720	4	0
34	B	2026-08-13 17:50:38.927	4	0
35	B	2026-08-13 17:50:39.135	4	0
36	B	2026-08-13 17:50:39.343	5	0
37	B	2026-08-13 17:50:39.552	4	0
38	B	2026-08-13 17:50:39.759	6	0
39	B	2026-08-13 17:50:39.969	4	0
40	B	2026-08-13 17:50:40.176	4	0
41	B	2026-08-13 17:50:40.384	5	0
42	B	2026-08-13 17:50:40.594	6	0
43	B	2026-08-13 17:50:40.807	10	0
44	B	2026-08-13 17:50:41.020	5	0
45	B	2026-08-13 17:50:41.228	4	0
46	B	2026-08-13 17:50:41.436	12	0
47	B	2026-08-13 17:50:41.662	5	0
48	B	2026-08-13 17:50:41.871	4	0
49	B	2026-08-13 17:50:42.079	5	0
50	B	2026-08-13 17:50:42.291	6	0
51	B	2026-08-13 17:50:42.505	5	0
52	B	2026-08-13 17:50:42.714	6	0
53	B	2026-08-13 17:50:42.925	7	0
54	B	2026-08-13 17:50:43.136	5	0
55	B	2026-08-13 17:50:43.345	8	0
56	B	2026-08-13 17:50:43.565	4	0
57	B	2026-08-13 17:50:43.775	7	0
58	B	2026-08-13 17:50:43.988	5	0
59	B	2026-08-13 17:50:44.200	7	0
60	B	2026-08-13 17:50:44.410	9	0
61	B	2026-08-13 17:50:44.631	4	0
62	B	2026-08-13 17:50:44.839	5	0
63	B	2026-08-13 17:50:45.047	4	0
64	B	2026-08-13 17:50:45.255	4	0
65	B	2026-08-13 17:50:45.464	4	0
66	B	2026-08-13 17:50:45.672	4	0
67	B	2026-08-13 17:50:45.880	5	0
68	B	2026-08-13 17:50:46.088	4	0
69	B	2026-08-13 17:50:46.295	5	0
70	B	2026-08-13 17:50:46.504	5	0
71	B	2026-08-13 17:50:46.713	5	0
72	B	2026-08-13 17:50:46.922	4	0
73	B	2026-08-13 17:50:47.129	6	0
74	B	2026-08-13 17:50:47.338	4	0
75	B	2026-08-13 17:50:47.545	5	0
76	B	2026-08-13 17:50:47.755	4	0
77	B	2026-08-13 17:50:47.963	5	0
78	B	2026-08-13 17:50:48.172	4	0
79	B	2026-08-13 17:50:48.380	4	0
80	B	2026-08-13 17:50:48.587	4	0
81	B	2026-08-13 17:50:48.796	4	0
82	B	2026-08-13 17:50:49.006	5	0
83	B	2026-08-13 17:50:49.217	4	0
84	B	2026-08-13 17:50:49.426	6	0
85	B	2026-08-13 17:50:49.637	5	0
86	B	2026-08-13 17:50:49.845	5	0
87	B	2026-08-13 17:50:50.056	5	0
88	B	2026-08-13 17:50:50.266	5	0
89	B	2026-08-13 17:50:50.476	4	0
90	B	2026-08-13 17:50:50.685	6	0
91	B	2026-08-13 17:50:50.896	7	0
92	B	2026-08-13 17:50:51.108	7	0
93	B	2026-08-13 17:50:51.318	5	0
94	B	2026-08-13 17:50:51.527	4	0
95	B	2026-08-13 17:50:51.735	5	0
96	B	2026-08-13 17:50:51.945	5	0
97	B	2026-08-13 17:50:52.155	4	0
98	B	2026-08-13 17:50:52.364	5	0
99	B	2026-08-13 17:50:52.575	5	0
100	B	2026-08-13 17:50:52.784	5	0
101	B	2026-08-13 17:50:52.993	4	0
102	B	2026-08-13 17:50:53.201	5	0
103	B	2026-08-13 17:50:53.409	5	0
104	B	2026-08-13 17:50:53.619	5	0
105	B	2026-08-13 17:50:53.827	5	0
106	B	2026-08-13 17:50:54.035	5	0
107	B	2026-08-13 17:50:54.245	5	0
108	B	2026-08-13 17:50:54.454	5	0
109	B	2026-08-13 17:50:54.663	5	0
110	B	2026-08-13 17:50:54.872	4	0
111	B	2026-08-13 17:50:55.079	5	0
112	B	2026-08-13 17:50:55.288	4	0
113	B	2026-08-13 17:50:55.496	5	0
114	B	2026-08-13 17:50:55.706	4	0
