seq	arm	started_at	elapsed_ms	errno
1	C	2026-08-13 16:11:10.940	6	0
2	C	2026-08-13 16:11:11.150	1	0
3	C	2026-08-13 16:11:11.353	2	0
4	C	2026-08-13 16:11:11.556	2	0
5	C	2026-08-13 16:11:11.760	2	0
6	C	2026-08-13 16:11:11.965	2	0
7	C	2026-08-13 16:11:12.168	2	0
8	C	2026-08-13 16:11:12.371	2	0
9	C	2026-08-13 16:11:12.575	1	0
10	C	2026-08-13 16:11:12.778	3	0
11	C	2026-08-13 16:11:12.982	1	0
12	C	2026-08-13 16:11:13.185	2	0
13	C	2026-08-13 16:11:13.388	2	0
14	C	2026-08-13 16:11:13.591	2	0
15	C	2026-08-13 16:11:13.794	2	0
16	C	2026-08-13 16:11:13.997	2	0
17	C	2026-08-13 16:11:14.201	2	0
18	C	2026-08-13 16:11:14.404	2160	0
19	C	2026-08-13 16:11:16.768	4	0
