seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 16:08:11.488	6	0
2	B	2026-08-13 16:08:11.700	4	0
3	B	2026-08-13 16:08:11.908	4	0
4	B	2026-08-13 16:08:12.115	5	0
5	B	2026-08-13 16:08:12.324	4	0
6	B	2026-08-13 16:08:12.535	5	0
7	B	2026-08-13 16:08:12.744	5	0
8	B	2026-08-13 16:08:12.953	4	0
9	B	2026-08-13 16:08:13.160	4	0
10	B	2026-08-13 16:08:13.368	4	0
11	B	2026-08-13 16:08:13.575	4	0
12	B	2026-08-13 16:08:13.784	4	0
13	B	2026-08-13 16:08:13.992	4	0
14	B	2026-08-13 16:08:14.199	5	0
15	B	2026-08-13 16:08:14.407	4	0
16	B	2026-08-13 16:08:14.615	5	0
17	B	2026-08-13 16:08:14.825	4	0
18	B	2026-08-13 16:08:15.034	4	0
19	B	2026-08-13 16:08:15.242	5	0
20	B	2026-08-13 16:08:15.452	4	0
21	B	2026-08-13 16:08:15.659	4	0
22	B	2026-08-13 16:08:15.867	4	0
23	B	2026-08-13 16:08:16.075	4	0
24	B	2026-08-13 16:08:16.284	4	0
25	B	2026-08-13 16:08:16.492	4	0
26	B	2026-08-13 16:08:16.700	4	0
27	B	2026-08-13 16:08:16.907	5	0
28	B	2026-08-13 16:08:17.117	7	0
29	B	2026-08-13 16:08:17.330	2	0
30	B	2026-08-13 16:08:17.534	44	0
31	B	2026-08-13 16:08:17.787	8	0
32	B	2026-08-13 16:08:18.004	1	0
33	B	2026-08-13 16:08:18.206	2	0
34	B	2026-08-13 16:08:18.410	2	0
35	B	2026-08-13 16:08:18.613	2	0
36	B	2026-08-13 16:08:18.816	4	0
37	B	2026-08-13 16:08:19.023	4	0
38	B	2026-08-13 16:08:19.231	4	0
39	B	2026-08-13 16:08:19.438	5	0
40	B	2026-08-13 16:08:19.647	4	0
41	B	2026-08-13 16:08:19.855	4	0
42	B	2026-08-13 16:08:20.063	4	0
43	B	2026-08-13 16:08:20.270	5	0
44	B	2026-08-13 16:08:20.478	4	0
45	B	2026-08-13 16:08:20.685	4	0
46	B	2026-08-13 16:08:20.893	4	0
47	B	2026-08-13 16:08:21.100	5	0
48	B	2026-08-13 16:08:21.308	4	0
49	B	2026-08-13 16:08:21.515	5	0
