seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 16:09:28.943	10	0
2	B	2026-08-13 16:09:29.158	4	0
3	B	2026-08-13 16:09:29.366	4	0
4	B	2026-08-13 16:09:29.574	4	0
5	B	2026-08-13 16:09:29.783	4	0
6	B	2026-08-13 16:09:29.991	4	0
7	B	2026-08-13 16:09:30.198	5	0
8	B	2026-08-13 16:09:30.407	4	0
9	B	2026-08-13 16:09:30.616	4	0
10	B	2026-08-13 16:09:30.824	4	0
11	B	2026-08-13 16:09:31.032	4	0
12	B	2026-08-13 16:09:31.240	4	0
13	B	2026-08-13 16:09:31.447	4	0
14	B	2026-08-13 16:09:31.655	5	0
15	B	2026-08-13 16:09:31.864	4	0
16	B	2026-08-13 16:09:32.073	9	0
17	B	2026-08-13 16:09:32.287	2	0
18	B	2026-08-13 16:09:32.493	4	0
19	B	2026-08-13 16:09:32.699	6	0
20	B	2026-08-13 16:09:32.908	4	0
21	B	2026-08-13 16:09:33.116	4	0
22	B	2026-08-13 16:09:33.324	4	0
23	B	2026-08-13 16:09:33.533	4	0
24	B	2026-08-13 16:09:33.740	5	0
25	B	2026-08-13 16:09:33.948	4	0
26	B	2026-08-13 16:09:34.155	4	0
27	B	2026-08-13 16:09:34.364	24	0
28	B	2026-08-13 16:09:34.592	4	0
29	B	2026-08-13 16:09:34.799	2	0
30	B	2026-08-13 16:09:35.003	5	0
31	B	2026-08-13 16:09:35.211	9	0
32	B	2026-08-13 16:09:35.427	70	0
33	B	2026-08-13 16:09:35.710	8	0
34	B	2026-08-13 16:09:35.927	3	0
35	B	2026-08-13 16:09:36.134	4	0
36	B	2026-08-13 16:09:36.342	4	0
37	B	2026-08-13 16:09:36.549	4	0
38	B	2026-08-13 16:09:36.756	4	0
39	B	2026-08-13 16:09:36.964	5	0
40	B	2026-08-13 16:09:37.172	5	0
41	B	2026-08-13 16:09:37.380	4	0
42	B	2026-08-13 16:09:37.587	5	0
43	B	2026-08-13 16:09:37.795	4	0
44	B	2026-08-13 16:09:38.003	4	0
45	B	2026-08-13 16:09:38.211	4	0
46	B	2026-08-13 16:09:38.418	4	0
47	B	2026-08-13 16:09:38.625	4	0
48	B	2026-08-13 16:09:38.834	4	0
49	B	2026-08-13 16:09:39.042	4	0
50	B	2026-08-13 16:09:39.249	5	0
51	B	2026-08-13 16:09:39.458	5	0
