seq	arm	started_at	elapsed_ms	errno
1	A	2026-08-13 16:10:20.901	7	0
2	A	2026-08-13 16:10:21.112	2	0
3	A	2026-08-13 16:10:21.317	3	0
4	A	2026-08-13 16:10:21.523	3	0
5	A	2026-08-13 16:10:21.729	4	0
6	A	2026-08-13 16:10:21.938	4	0
7	A	2026-08-13 16:10:22.145	4	0
8	A	2026-08-13 16:10:22.353	4	0
9	A	2026-08-13 16:10:22.560	4	0
10	A	2026-08-13 16:10:22.767	5	0
11	A	2026-08-13 16:10:22.977	4	0
12	A	2026-08-13 16:10:23.185	4	0
13	A	2026-08-13 16:10:23.393	4	0
14	A	2026-08-13 16:10:23.601	4	0
15	A	2026-08-13 16:10:23.808	4	0
16	A	2026-08-13 16:10:24.015	5	0
17	A	2026-08-13 16:10:24.224	19	0
18	A	2026-08-13 16:10:24.447	4	0
19	A	2026-08-13 16:10:24.657	4	0
