seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-14 02:28:01.191	12	0
2	B	2026-08-14 02:28:01.411	4	0
3	B	2026-08-14 02:28:01.619	4	0
4	B	2026-08-14 02:28:01.827	4	0
5	B	2026-08-14 02:28:02.034	4	0
6	B	2026-08-14 02:28:02.244	4	0
7	B	2026-08-14 02:28:02.451	4	0
8	B	2026-08-14 02:28:02.659	5	0
9	B	2026-08-14 02:28:02.868	4	0
10	B	2026-08-14 02:28:03.076	4	0
11	B	2026-08-14 02:28:03.284	4	0
12	B	2026-08-14 02:28:03.491	4	0
13	B	2026-08-14 02:28:03.699	4	0
14	B	2026-08-14 02:28:03.907	5	0
15	B	2026-08-14 02:28:04.115	4	0
16	B	2026-08-14 02:28:04.322	4	0
17	B	2026-08-14 02:28:04.529	4	0
18	B	2026-08-14 02:28:04.737	4	0
19	B	2026-08-14 02:28:04.944	6	0
20	B	2026-08-14 02:28:05.154	4	0
21	B	2026-08-14 02:28:05.361	4	0
22	B	2026-08-14 02:28:05.569	4	0
23	B	2026-08-14 02:28:05.777	4	0
24	B	2026-08-14 02:28:05.984	4	0
25	B	2026-08-14 02:28:06.191	5	0
26	B	2026-08-14 02:28:06.400	4	0
27	B	2026-08-14 02:28:06.608	4	0
28	B	2026-08-14 02:28:06.816	4	0
29	B	2026-08-14 02:28:07.023	4	0
30	B	2026-08-14 02:28:07.231	4	0
31	B	2026-08-14 02:28:07.441	4	0
32	B	2026-08-14 02:28:07.649	4	0
33	B	2026-08-14 02:28:07.857	4	0
34	B	2026-08-14 02:28:08.064	5	0
35	B	2026-08-14 02:28:08.272	4	0
36	B	2026-08-14 02:28:08.479	4	0
37	B	2026-08-14 02:28:08.687	5	0
38	B	2026-08-14 02:28:08.895	4	0
39	B	2026-08-14 02:28:09.102	4	0
40	B	2026-08-14 02:28:09.309	5	0
41	B	2026-08-14 02:28:09.518	4	0
42	B	2026-08-14 02:28:09.726	9	0
43	B	2026-08-14 02:28:09.944	5	0
44	B	2026-08-14 02:28:10.153	4	0
45	B	2026-08-14 02:28:10.362	4	0
46	B	2026-08-14 02:28:10.571	9	0
47	B	2026-08-14 02:28:10.788	6	0
48	B	2026-08-14 02:28:11.000	5	0
49	B	2026-08-14 02:28:11.210	5	0
50	B	2026-08-14 02:28:11.419	5	0
51	B	2026-08-14 02:28:11.628	9	0
52	B	2026-08-14 02:28:11.845	6	0
53	B	2026-08-14 02:28:12.054	6	0
54	B	2026-08-14 02:28:12.263	4	0
55	B	2026-08-14 02:28:12.471	4	0
56	B	2026-08-14 02:28:12.680	8	0
57	B	2026-08-14 02:28:12.898	5	0
58	B	2026-08-14 02:28:13.108	5	0
59	B	2026-08-14 02:28:13.319	4	0
60	B	2026-08-14 02:28:13.528	5	0
61	B	2026-08-14 02:28:13.740	4	0
62	B	2026-08-14 02:28:13.950	5	0
63	B	2026-08-14 02:28:14.160	4	0
64	B	2026-08-14 02:28:14.368	5	0
65	B	2026-08-14 02:28:14.577	9	0
66	B	2026-08-14 02:28:14.795	5	0
67	B	2026-08-14 02:28:15.004	5	0
68	B	2026-08-14 02:28:15.214	5	0
69	B	2026-08-14 02:28:15.422	10	0
70	B	2026-08-14 02:28:15.637	10	0
71	B	2026-08-14 02:28:15.858	6	0
72	B	2026-08-14 02:28:16.070	5	0
73	B	2026-08-14 02:28:16.280	7	0
74	B	2026-08-14 02:28:16.491	5	0
75	B	2026-08-14 02:28:16.701	7	0
76	B	2026-08-14 02:28:16.918	6	0
77	B	2026-08-14 02:28:17.130	4	0
78	B	2026-08-14 02:28:17.340	6	0
79	B	2026-08-14 02:28:17.551	9	0
80	B	2026-08-14 02:28:17.768	6	0
81	B	2026-08-14 02:28:17.979	6	0
82	B	2026-08-14 02:28:18.191	6	0
83	B	2026-08-14 02:28:18.403	4	0
84	B	2026-08-14 02:28:18.611	8	0
85	B	2026-08-14 02:28:18.824	6	0
86	B	2026-08-14 02:28:19.034	6	0
87	B	2026-08-14 02:28:19.243	6	0
88	B	2026-08-14 02:28:19.454	6	0
89	B	2026-08-14 02:28:19.665	12	0
90	B	2026-08-14 02:28:19.888	6	0
91	B	2026-08-14 02:28:20.101	7	0
92	B	2026-08-14 02:28:20.314	7	0
93	B	2026-08-14 02:28:20.527	12	0
94	B	2026-08-14 02:28:20.747	7	0
95	B	2026-08-14 02:28:20.962	6	0
96	B	2026-08-14 02:28:21.175	5	0
97	B	2026-08-14 02:28:21.384	5	0
98	B	2026-08-14 02:28:21.593	7	0
99	B	2026-08-14 02:28:21.809	5	0
100	B	2026-08-14 02:28:22.020	4	0
101	B	2026-08-14 02:28:22.231	4	0
102	B	2026-08-14 02:28:22.443	6	0
103	B	2026-08-14 02:28:22.654	12	0
104	B	2026-08-14 02:28:22.876	7	0
105	B	2026-08-14 02:28:23.092	4	0
106	B	2026-08-14 02:28:23.302	7	0
107	B	2026-08-14 02:28:23.518	9	0
108	B	2026-08-14 02:28:23.732	7	0
109	B	2026-08-14 02:28:23.947	10	0
110	B	2026-08-14 02:28:24.164	5	0
111	B	2026-08-14 02:28:24.374	6	0
112	B	2026-08-14 02:28:24.587	16	0
113	B	2026-08-14 02:28:24.812	8	0
114	B	2026-08-14 02:28:25.024	6	0
115	B	2026-08-14 02:28:25.234	6	0
116	B	2026-08-14 02:28:25.448	5	0
117	B	2026-08-14 02:28:25.658	9	0
118	B	2026-08-14 02:28:25.880	5	0
119	B	2026-08-14 02:28:26.092	4	0
120	B	2026-08-14 02:28:26.302	7	0
121	B	2026-08-14 02:28:26.512	5	0
122	B	2026-08-14 02:28:26.721	11	0
123	B	2026-08-14 02:28:26.938	7	0
124	B	2026-08-14 02:28:27.151	6	0
125	B	2026-08-14 02:28:27.362	5	0
126	B	2026-08-14 02:28:27.571	10	0
127	B	2026-08-14 02:28:27.787	10	0
128	B	2026-08-14 02:28:28.002	5	0
129	B	2026-08-14 02:28:28.213	5	0
130	B	2026-08-14 02:28:28.424	6	0
131	B	2026-08-14 02:28:28.634	9	0
132	B	2026-08-14 02:28:28.850	5	0
133	B	2026-08-14 02:28:29.061	6	0
134	B	2026-08-14 02:28:29.274	6	0
135	B	2026-08-14 02:28:29.483	7	0
136	B	2026-08-14 02:28:29.693	8	0
137	B	2026-08-14 02:28:29.909	5	0
138	B	2026-08-14 02:28:30.120	4	0
139	B	2026-08-14 02:28:30.334	6	0
140	B	2026-08-14 02:28:30.545	11	0
141	B	2026-08-14 02:28:30.765	4	0
142	B	2026-08-14 02:28:30.974	4	0
143	B	2026-08-14 02:28:31.181	5	0
144	B	2026-08-14 02:28:31.393	5	0
145	B	2026-08-14 02:28:31.601	9	0
146	B	2026-08-14 02:28:31.818	5	0
147	B	2026-08-14 02:28:32.027	4	0
148	B	2026-08-14 02:28:32.235	4	0
149	B	2026-08-14 02:28:32.442	4	0
150	B	2026-08-14 02:28:32.649	6	0
151	B	2026-08-14 02:28:32.859	4	0
152	B	2026-08-14 02:28:33.066	4	0
153	B	2026-08-14 02:28:33.276	3	0
154	B	2026-08-14 02:28:33.483	3	0
155	B	2026-08-14 02:28:33.689	4	0
156	B	2026-08-14 02:28:33.898	4	0
157	B	2026-08-14 02:28:34.106	6	0
158	B	2026-08-14 02:28:34.317	6	0
159	B	2026-08-14 02:28:34.528	19	0
160	B	2026-08-14 02:28:34.771	14	0
161	B	2026-08-14 02:28:34.993	29	0
162	B	2026-08-14 02:28:35.242	17	0
163	B	2026-08-14 02:28:35.473	6	0
164	B	2026-08-14 02:28:35.686	36	0
165	B	2026-08-14 02:28:35.936	11	0
166	B	2026-08-14 02:28:36.161	8	0
167	B	2026-08-14 02:28:36.376	6	0
168	B	2026-08-14 02:28:36.589	16	0
169	B	2026-08-14 02:28:36.826	15	0
170	B	2026-08-14 02:28:37.053	20	0
171	B	2026-08-14 02:28:37.287	16	0
172	B	2026-08-14 02:28:37.520	13	0
173	B	2026-08-14 02:28:37.742	25	0
174	B	2026-08-14 02:28:37.984	17	0
175	B	2026-08-14 02:28:38.215	40	0
176	B	2026-08-14 02:28:38.481	12	0
177	B	2026-08-14 02:28:38.702	15	0
178	B	2026-08-14 02:28:38.958	28	0
179	B	2026-08-14 02:28:39.202	15	0
180	B	2026-08-14 02:28:39.433	7	0
181	B	2026-08-14 02:28:39.646	24	0
182	B	2026-08-14 02:28:39.883	13	0
183	B	2026-08-14 02:28:40.110	15	0
184	B	2026-08-14 02:28:40.330	16	0
185	B	2026-08-14 02:28:40.563	18	0
186	B	2026-08-14 02:28:40.799	7	0
187	B	2026-08-14 02:28:41.013	15	0
188	B	2026-08-14 02:28:41.245	21	0
189	B	2026-08-14 02:28:41.498	14	0
190	B	2026-08-14 02:28:41.729	13	0
191	B	2026-08-14 02:28:41.958	10	0
192	B	2026-08-14 02:28:42.174	17	0
193	B	2026-08-14 02:28:42.400	14	0
194	B	2026-08-14 02:28:42.631	15	0
195	B	2026-08-14 02:28:42.868	7	0
196	B	2026-08-14 02:28:43.083	8	0
197	B	2026-08-14 02:28:43.298	13	0
198	B	2026-08-14 02:28:43.527	6	0
199	B	2026-08-14 02:28:43.741	7	0
200	B	2026-08-14 02:28:43.955	14	0
201	B	2026-08-14 02:28:44.182	7	0
202	B	2026-08-14 02:28:44.399	24	0
203	B	2026-08-14 02:28:44.641	12	0
204	B	2026-08-14 02:28:44.868	11	0
205	B	2026-08-14 02:28:45.094	7	0
206	B	2026-08-14 02:28:45.308	15	0
207	B	2026-08-14 02:28:45.538	15	0
208	B	2026-08-14 02:28:45.772	8	0
209	B	2026-08-14 02:28:45.986	13	0
210	B	2026-08-14 02:28:46.215	12	0
211	B	2026-08-14 02:28:46.435	14	0
212	B	2026-08-14 02:28:46.663	20	0
213	B	2026-08-14 02:28:46.905	12	0
214	B	2026-08-14 02:28:47.132	20	0
215	B	2026-08-14 02:28:47.369	16	0
216	B	2026-08-14 02:28:47.601	12	0
217	B	2026-08-14 02:28:47.868	21	0
218	B	2026-08-14 02:28:48.099	16	0
219	B	2026-08-14 02:28:48.329	7	0
220	B	2026-08-14 02:28:48.543	16	0
221	B	2026-08-14 02:28:48.781	14	0
222	B	2026-08-14 02:28:49.032	16	0
223	B	2026-08-14 02:28:49.261	15	0
224	B	2026-08-14 02:28:49.489	12	0
225	B	2026-08-14 02:28:49.709	19	0
226	B	2026-08-14 02:28:49.955	7	0
227	B	2026-08-14 02:28:50.169	13	0
228	B	2026-08-14 02:28:50.396	27	0
229	B	2026-08-14 02:28:50.650	16	0
230	B	2026-08-14 02:28:50.880	12	0
231	B	2026-08-14 02:28:51.114	7	0
232	B	2026-08-14 02:28:51.328	15	0
233	B	2026-08-14 02:28:51.559	16	0
234	B	2026-08-14 02:28:51.789	8	0
235	B	2026-08-14 02:28:52.003	9	0
236	B	2026-08-14 02:28:52.229	12	0
237	B	2026-08-14 02:28:52.455	5	0
238	B	2026-08-14 02:28:52.664	23	0
239	B	2026-08-14 02:28:52.909	7	0
240	B	2026-08-14 02:28:53.123	5	0
241	B	2026-08-14 02:28:53.334	14	0
242	B	2026-08-14 02:28:53.565	34	0
243	B	2026-08-14 02:28:53.833	12	0
244	B	2026-08-14 02:28:54.057	11	0
245	B	2026-08-14 02:28:54.283	26	0
246	B	2026-08-14 02:28:54.524	12	0
247	B	2026-08-14 02:28:54.751	54	0
248	B	2026-08-14 02:28:55.033	14	0
249	B	2026-08-14 02:28:55.264	9	0
250	B	2026-08-14 02:28:55.480	15	0
251	B	2026-08-14 02:28:55.710	13	0
252	B	2026-08-14 02:28:55.945	9	0
253	B	2026-08-14 02:28:56.160	8	0
254	B	2026-08-14 02:28:56.378	14	0
255	B	2026-08-14 02:28:56.608	27	0
256	B	2026-08-14 02:28:56.880	15	0
257	B	2026-08-14 02:28:57.111	10	0
258	B	2026-08-14 02:28:57.340	12	0
259	B	2026-08-14 02:28:57.559	13	0
260	B	2026-08-14 02:28:57.794	11	0
261	B	2026-08-14 02:28:58.022	24	0
262	B	2026-08-14 02:28:58.260	15	0
263	B	2026-08-14 02:28:58.490	5	0
264	B	2026-08-14 02:28:58.701	20	0
265	B	2026-08-14 02:28:58.936	10	0
266	B	2026-08-14 02:28:59.161	10	0
267	B	2026-08-14 02:28:59.386	7	0
268	B	2026-08-14 02:28:59.600	14	0
269	B	2026-08-14 02:28:59.828	13	0
270	B	2026-08-14 02:29:00.051	29	0
271	B	2026-08-14 02:29:00.300	15	0
272	B	2026-08-14 02:29:00.531	11	0
273	B	2026-08-14 02:29:00.758	20	0
274	B	2026-08-14 02:29:00.990	15	0
275	B	2026-08-14 02:29:01.226	6	0
276	B	2026-08-14 02:29:01.441	13	0
277	B	2026-08-14 02:29:01.671	19	0
278	B	2026-08-14 02:29:01.905	28	0
279	B	2026-08-14 02:29:02.161	15	0
280	B	2026-08-14 02:29:02.392	14	0
281	B	2026-08-14 02:29:02.617	25	0
282	B	2026-08-14 02:29:02.856	14	0
283	B	2026-08-14 02:29:03.086	15	0
284	B	2026-08-14 02:29:03.315	15	0
285	B	2026-08-14 02:29:03.546	33	0
286	B	2026-08-14 02:29:03.811	21	0
287	B	2026-08-14 02:29:04.042	15	0
288	B	2026-08-14 02:29:04.271	8	0
289	B	2026-08-14 02:29:04.488	15	0
290	B	2026-08-14 02:29:04.719	15	0
291	B	2026-08-14 02:29:04.947	14	0
292	B	2026-08-14 02:29:05.169	26	0
293	B	2026-08-14 02:29:05.408	15	0
294	B	2026-08-14 02:29:05.637	25	0
295	B	2026-08-14 02:29:05.891	14	0
296	B	2026-08-14 02:29:06.121	33	0
297	B	2026-08-14 02:29:06.382	15	0
298	B	2026-08-14 02:29:06.619	15	0
299	B	2026-08-14 02:29:06.848	8	0
300	B	2026-08-14 02:29:07.063	15	0
301	B	2026-08-14 02:29:07.294	9	0
302	B	2026-08-14 02:29:07.510	23	0
303	B	2026-08-14 02:29:07.757	14	0
304	B	2026-08-14 02:29:07.987	13	0
305	B	2026-08-14 02:29:08.216	13	0
306	B	2026-08-14 02:29:08.439	7	0
307	B	2026-08-14 02:29:08.660	28	0
308	B	2026-08-14 02:29:08.926	8	0
309	B	2026-08-14 02:29:09.147	10	0
310	B	2026-08-14 02:29:09.366	8	0
311	B	2026-08-14 02:29:09.584	17	0
312	B	2026-08-14 02:29:09.826	14	0
313	B	2026-08-14 02:29:10.054	6	0
314	B	2026-08-14 02:29:10.266	15	0
315	B	2026-08-14 02:29:10.498	12	0
316	B	2026-08-14 02:29:10.719	24	0
317	B	2026-08-14 02:29:10.981	30	0
318	B	2026-08-14 02:29:11.227	17	0
319	B	2026-08-14 02:29:11.463	6	0
320	B	2026-08-14 02:29:11.675	27	0
321	B	2026-08-14 02:29:11.917	16	0
322	B	2026-08-14 02:29:12.142	14	0
323	B	2026-08-14 02:29:12.368	13	0
324	B	2026-08-14 02:29:12.597	24	0
325	B	2026-08-14 02:29:12.854	8	0
326	B	2026-08-14 02:29:13.067	14	0
327	B	2026-08-14 02:29:13.294	26	0
328	B	2026-08-14 02:29:13.547	18	0
329	B	2026-08-14 02:29:13.782	52	0
330	B	2026-08-14 02:29:14.076	17	0
331	B	2026-08-14 02:29:14.301	6	0
332	B	2026-08-14 02:29:14.515	15	0
333	B	2026-08-14 02:29:14.749	13	0
334	B	2026-08-14 02:29:14.970	29	0
335	B	2026-08-14 02:29:15.221	17	0
336	B	2026-08-14 02:29:15.456	26	0
337	B	2026-08-14 02:29:15.705	15	0
338	B	2026-08-14 02:29:15.934	7	0
339	B	2026-08-14 02:29:16.149	16	0
340	B	2026-08-14 02:29:16.382	16	0
341	B	2026-08-14 02:29:16.610	7	0
342	B	2026-08-14 02:29:16.825	12	0
343	B	2026-08-14 02:29:17.054	26	0
344	B	2026-08-14 02:29:17.306	15	0
345	B	2026-08-14 02:29:17.537	6	0
346	B	2026-08-14 02:29:17.750	14	0
347	B	2026-08-14 02:29:17.977	12	0
348	B	2026-08-14 02:29:18.206	26	0
349	B	2026-08-14 02:29:18.444	15	0
350	B	2026-08-14 02:29:18.671	8	0
351	B	2026-08-14 02:29:18.885	14	0
352	B	2026-08-14 02:29:19.115	16	0
353	B	2026-08-14 02:29:19.346	6	0
354	B	2026-08-14 02:29:19.560	13	0
355	B	2026-08-14 02:29:19.787	30	0
356	B	2026-08-14 02:29:20.040	15	0
357	B	2026-08-14 02:29:20.269	30	0
358	B	2026-08-14 02:29:20.519	15	0
359	B	2026-08-14 02:29:20.751	5	0
360	B	2026-08-14 02:29:20.965	16	0
361	B	2026-08-14 02:29:21.198	12	0
362	B	2026-08-14 02:29:21.419	26	0
363	B	2026-08-14 02:29:21.661	13	0
364	B	2026-08-14 02:29:21.890	29	0
365	B	2026-08-14 02:29:22.133	15	0
366	B	2026-08-14 02:29:22.364	7	0
367	B	2026-08-14 02:29:22.577	14	0
368	B	2026-08-14 02:29:22.808	16	0
369	B	2026-08-14 02:29:23.038	12	0
370	B	2026-08-14 02:29:23.255	16	0
371	B	2026-08-14 02:29:23.486	10	0
372	B	2026-08-14 02:29:23.703	16	0
373	B	2026-08-14 02:29:23.935	25	0
374	B	2026-08-14 02:29:24.186	15	0
375	B	2026-08-14 02:29:24.417	29	0
376	B	2026-08-14 02:29:24.674	15	0
377	B	2026-08-14 02:29:24.905	16	0
378	B	2026-08-14 02:29:25.130	10	0
379	B	2026-08-14 02:29:25.351	14	0
380	B	2026-08-14 02:29:25.574	5	0
381	B	2026-08-14 02:29:25.788	14	0
382	B	2026-08-14 02:29:26.015	17	0
383	B	2026-08-14 02:29:26.258	14	0
384	B	2026-08-14 02:29:26.489	10	0
385	B	2026-08-14 02:29:26.713	27	0
386	B	2026-08-14 02:29:26.954	15	0
387	B	2026-08-14 02:29:27.194	28	0
388	B	2026-08-14 02:29:27.434	15	0
389	B	2026-08-14 02:29:27.664	14	0
390	B	2026-08-14 02:29:27.884	13	0
391	B	2026-08-14 02:29:28.113	25	0
392	B	2026-08-14 02:29:28.370	13	0
393	B	2026-08-14 02:29:28.599	26	0
394	B	2026-08-14 02:29:28.854	14	0
395	B	2026-08-14 02:29:29.085	26	0
396	B	2026-08-14 02:29:29.337	17	0
397	B	2026-08-14 02:29:29.572	14	0
398	B	2026-08-14 02:29:29.792	7	0
399	B	2026-08-14 02:29:30.006	16	0
400	B	2026-08-14 02:29:30.233	6	0
401	B	2026-08-14 02:29:30.447	15	0
402	B	2026-08-14 02:29:30.682	27	0
403	B	2026-08-14 02:29:30.937	15	0
404	B	2026-08-14 02:29:31.168	12	0
405	B	2026-08-14 02:29:31.392	5	0
406	B	2026-08-14 02:29:31.601	16	0
407	B	2026-08-14 02:29:31.830	6	0
408	B	2026-08-14 02:29:32.042	15	0
409	B	2026-08-14 02:29:32.272	14	0
410	B	2026-08-14 02:29:32.501	21	0
411	B	2026-08-14 02:29:32.733	13	0
412	B	2026-08-14 02:29:32.960	6	0
413	B	2026-08-14 02:29:33.175	12	0
414	B	2026-08-14 02:29:33.397	15	0
415	B	2026-08-14 02:29:33.624	22	0
416	B	2026-08-14 02:29:33.861	15	0
417	B	2026-08-14 02:29:34.088	28	0
418	B	2026-08-14 02:29:34.334	15	0
419	B	2026-08-14 02:29:34.565	7	0
420	B	2026-08-14 02:29:34.779	16	0
421	B	2026-08-14 02:29:35.011	14	0
422	B	2026-08-14 02:29:35.240	6	0
423	B	2026-08-14 02:29:35.453	14	0
424	B	2026-08-14 02:29:35.681	31	0
425	B	2026-08-14 02:29:35.936	15	0
426	B	2026-08-14 02:29:36.167	30	0
427	B	2026-08-14 02:29:36.417	17	0
428	B	2026-08-14 02:29:36.649	5	0
429	B	2026-08-14 02:29:36.863	16	0
430	B	2026-08-14 02:29:37.094	14	0
431	B	2026-08-14 02:29:37.317	26	0
432	B	2026-08-14 02:29:37.556	14	0
433	B	2026-08-14 02:29:37.791	4	0
434	B	2026-08-14 02:29:38.002	16	0
435	B	2026-08-14 02:29:38.235	11	0
436	B	2026-08-14 02:29:38.451	20	0
437	B	2026-08-14 02:29:38.681	15	0
438	B	2026-08-14 02:29:38.910	31	0
439	B	2026-08-14 02:29:39.155	17	0
440	B	2026-08-14 02:29:39.384	28	0
441	B	2026-08-14 02:29:39.633	14	0
442	B	2026-08-14 02:29:39.864	32	0
443	B	2026-08-14 02:29:40.116	15	0
444	B	2026-08-14 02:29:40.345	23	0
445	B	2026-08-14 02:29:40.590	15	0
446	B	2026-08-14 02:29:40.821	28	0
447	B	2026-08-14 02:29:41.078	14	0
448	B	2026-08-14 02:29:41.308	7	0
449	B	2026-08-14 02:29:41.521	15	0
450	B	2026-08-14 02:29:41.757	15	0
