seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-14 02:41:30.469	8	0
2	B	2026-08-14 02:41:30.682	5	0
3	B	2026-08-14 02:41:30.891	4	0
4	B	2026-08-14 02:41:31.099	4	0
5	B	2026-08-14 02:41:31.307	6	0
6	B	2026-08-14 02:41:31.518	4	0
7	B	2026-08-14 02:41:31.725	4	0
8	B	2026-08-14 02:41:31.932	4	0
9	B	2026-08-14 02:41:32.139	4	0
10	B	2026-08-14 02:41:32.347	4	0
11	B	2026-08-14 02:41:32.555	4	0
12	B	2026-08-14 02:41:32.762	4	0
13	B	2026-08-14 02:41:32.970	4	0
14	B	2026-08-14 02:41:33.178	4	0
15	B	2026-08-14 02:41:33.386	5	0
16	B	2026-08-14 02:41:33.594	6	0
17	B	2026-08-14 02:41:33.804	6	0
18	B	2026-08-14 02:41:34.013	4	0
19	B	2026-08-14 02:41:34.220	4	0
20	B	2026-08-14 02:41:34.428	4	0
21	B	2026-08-14 02:41:34.636	4	0
22	B	2026-08-14 02:41:34.844	4	0
23	B	2026-08-14 02:41:35.051	4	0
24	B	2026-08-14 02:41:35.259	4	0
25	B	2026-08-14 02:41:35.467	4	0
26	B	2026-08-14 02:41:35.674	5	0
27	B	2026-08-14 02:41:35.882	4	0
28	B	2026-08-14 02:41:36.090	4	0
29	B	2026-08-14 02:41:36.298	4	0
30	B	2026-08-14 02:41:36.506	5	0
31	B	2026-08-14 02:41:36.714	6	0
32	B	2026-08-14 02:41:36.925	45	0
33	B	2026-08-14 02:41:37.187	14	0
34	B	2026-08-14 02:41:37.413	176	0
35	B	2026-08-14 02:41:37.805	13	0
36	B	2026-08-14 02:41:38.026	17	0
37	B	2026-08-14 02:41:38.258	15	0
38	B	2026-08-14 02:41:38.480	14	0
39	B	2026-08-14 02:41:38.709	9	0
40	B	2026-08-14 02:41:38.926	22	0
41	B	2026-08-14 02:41:39.163	15	0
42	B	2026-08-14 02:41:39.392	7	0
43	B	2026-08-14 02:41:39.604	15	0
44	B	2026-08-14 02:41:39.836	28	0
45	B	2026-08-14 02:41:40.090	15	0
46	B	2026-08-14 02:41:40.321	22	0
47	B	2026-08-14 02:41:40.574	13	0
48	B	2026-08-14 02:41:40.799	27	0
49	B	2026-08-14 02:41:41.050	15	0
50	B	2026-08-14 02:41:41.281	13	0
51	B	2026-08-14 02:41:41.500	13	0
52	B	2026-08-14 02:41:41.726	15	0
53	B	2026-08-14 02:41:41.955	34	0
54	B	2026-08-14 02:41:42.202	13	0
55	B	2026-08-14 02:41:42.431	24	0
56	B	2026-08-14 02:41:42.675	15	0
57	B	2026-08-14 02:41:42.907	11	0
58	B	2026-08-14 02:41:43.125	13	0
59	B	2026-08-14 02:41:43.350	12	0
60	B	2026-08-14 02:41:43.579	24	0
61	B	2026-08-14 02:41:43.815	15	0
62	B	2026-08-14 02:41:44.043	19	0
63	B	2026-08-14 02:41:44.283	14	0
64	B	2026-08-14 02:41:44.514	12	0
65	B	2026-08-14 02:41:44.738	6	0
66	B	2026-08-14 02:41:44.955	14	0
67	B	2026-08-14 02:41:45.181	6	0
68	B	2026-08-14 02:41:45.394	13	0
69	B	2026-08-14 02:41:45.617	13	0
70	B	2026-08-14 02:41:45.839	23	0
71	B	2026-08-14 02:41:46.074	15	0
72	B	2026-08-14 02:41:46.302	6	0
73	B	2026-08-14 02:41:46.513	82	0
