seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-14 02:45:03.439	8	0
2	B	2026-08-14 02:45:03.651	4	0
3	B	2026-08-14 02:45:03.860	4	0
4	B	2026-08-14 02:45:04.068	5	0
5	B	2026-08-14 02:45:04.277	4	0
6	B	2026-08-14 02:45:04.484	5	0
7	B	2026-08-14 02:45:04.692	5	0
8	B	2026-08-14 02:45:04.900	4	0
9	B	2026-08-14 02:45:05.108	4	0
10	B	2026-08-14 02:45:05.316	5	0
11	B	2026-08-14 02:45:05.524	4	0
12	B	2026-08-14 02:45:05.731	4	0
13	B	2026-08-14 02:45:05.939	4	0
14	B	2026-08-14 02:45:06.147	4	0
15	B	2026-08-14 02:45:06.354	5	0
16	B	2026-08-14 02:45:06.562	4	0
17	B	2026-08-14 02:45:06.769	6	0
18	B	2026-08-14 02:45:06.980	4	0
19	B	2026-08-14 02:45:07.188	4	0
20	B	2026-08-14 02:45:07.395	4	0
21	B	2026-08-14 02:45:07.602	4	0
22	B	2026-08-14 02:45:07.809	4	0
23	B	2026-08-14 02:45:08.017	4	0
24	B	2026-08-14 02:45:08.224	4	0
25	B	2026-08-14 02:45:08.431	5	0
26	B	2026-08-14 02:45:08.640	4	0
27	B	2026-08-14 02:45:08.848	4	0
28	B	2026-08-14 02:45:09.056	4	0
29	B	2026-08-14 02:45:09.263	6	0
30	B	2026-08-14 02:45:09.473	7	0
31	B	2026-08-14 02:45:09.682	9	0
32	B	2026-08-14 02:45:09.901	5	0
33	B	2026-08-14 02:45:10.112	18	0
34	B	2026-08-14 02:45:10.342	14	0
35	B	2026-08-14 02:45:10.570	57	0
36	B	2026-08-14 02:45:10.852	11	0
37	B	2026-08-14 02:45:11.075	12	0
38	B	2026-08-14 02:45:11.298	15	0
39	B	2026-08-14 02:45:11.527	12	0
40	B	2026-08-14 02:45:11.757	50	0
41	B	2026-08-14 02:45:12.022	13	0
42	B	2026-08-14 02:45:12.241	15	0
43	B	2026-08-14 02:45:12.470	13	0
44	B	2026-08-14 02:45:12.694	37	0
45	B	2026-08-14 02:45:12.955	12	0
46	B	2026-08-14 02:45:13.178	15	0
47	B	2026-08-14 02:45:13.411	32	0
48	B	2026-08-14 02:45:13.674	58	0
49	B	2026-08-14 02:45:13.940	80	0
50	B	2026-08-14 02:45:14.263	39	0
51	B	2026-08-14 02:45:14.519	12	0
52	B	2026-08-14 02:45:14.743	9	0
53	B	2026-08-14 02:45:15.007	12	0
54	B	2026-08-14 02:45:15.229	13	0
55	B	2026-08-14 02:45:15.463	30	0
56	B	2026-08-14 02:45:15.706	12	0
57	B	2026-08-14 02:45:15.931	71	0
58	B	2026-08-14 02:45:16.211	13	0
59	B	2026-08-14 02:45:16.438	22	0
60	B	2026-08-14 02:45:16.684	14	0
