seq	arm	started_at	elapsed_ms	errno
1	A	2026-08-13 23:43:24.426	2	0
2	A	2026-08-13 23:43:24.629	1	0
3	A	2026-08-13 23:43:24.834	1	0
4	A	2026-08-13 23:43:25.036	2	0
5	A	2026-08-13 23:43:25.239	2	0
6	A	2026-08-13 23:43:25.442	1	0
7	A	2026-08-13 23:43:25.645	1	0
8	A	2026-08-13 23:43:25.847	2	0
9	A	2026-08-13 23:43:26.050	1	0
10	A	2026-08-13 23:43:26.253	1	0
11	A	2026-08-13 23:43:26.455	2	0
12	A	2026-08-13 23:43:26.658	1	0
13	A	2026-08-13 23:43:26.860	2	0
14	A	2026-08-13 23:43:27.064	1	0
15	A	2026-08-13 23:43:27.266	1	0
16	A	2026-08-13 23:43:27.469	1	0
17	A	2026-08-13 23:43:27.671	2	0
18	A	2026-08-13 23:43:27.875	2	0
19	A	2026-08-13 23:43:28.079	3	0
