seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 23:43:46.481	7	0
2	B	2026-08-13 23:43:46.694	4	0
3	B	2026-08-13 23:43:46.902	4	0
4	B	2026-08-13 23:43:47.109	4	0
5	B	2026-08-13 23:43:47.317	3	0
6	B	2026-08-13 23:43:47.526	4	0
7	B	2026-08-13 23:43:47.733	4	0
8	B	2026-08-13 23:43:47.940	4	0
9	B	2026-08-13 23:43:48.148	4	0
10	B	2026-08-13 23:43:48.356	4	0
11	B	2026-08-13 23:43:48.564	5	0
12	B	2026-08-13 23:43:48.772	4	0
13	B	2026-08-13 23:43:48.980	4	0
14	B	2026-08-13 23:43:49.188	4	0
15	B	2026-08-13 23:43:49.396	4	0
16	B	2026-08-13 23:43:49.603	5	0
17	B	2026-08-13 23:43:49.811	6	0
18	B	2026-08-13 23:43:50.021	5	0
19	B	2026-08-13 23:43:50.230	4	0
20	B	2026-08-13 23:43:50.438	4	0
21	B	2026-08-13 23:43:50.646	5	0
22	B	2026-08-13 23:43:50.854	4	0
23	B	2026-08-13 23:43:51.061	4	0
24	B	2026-08-13 23:43:51.269	4	0
25	B	2026-08-13 23:43:51.477	4	0
26	B	2026-08-13 23:43:51.684	5	0
27	B	2026-08-13 23:43:51.892	4	0
28	B	2026-08-13 23:43:52.100	4	0
29	B	2026-08-13 23:43:52.309	10	0
30	B	2026-08-13 23:43:52.523	6	0
31	B	2026-08-13 23:43:52.733	6	0
32	B	2026-08-13 23:43:52.945	4	0
33	B	2026-08-13 23:43:53.152	4	0
34	B	2026-08-13 23:43:53.359	4	0
35	B	2026-08-13 23:43:53.567	5	0
36	B	2026-08-13 23:43:53.777	4	0
37	B	2026-08-13 23:43:53.984	4	0
38	B	2026-08-13 23:43:54.192	4	0
39	B	2026-08-13 23:43:54.400	4	0
40	B	2026-08-13 23:43:54.608	4	0
41	B	2026-08-13 23:43:54.816	4	0
42	B	2026-08-13 23:43:55.023	5	0
43	B	2026-08-13 23:43:55.231	4	0
44	B	2026-08-13 23:43:55.439	4	0
45	B	2026-08-13 23:43:55.647	4	0
46	B	2026-08-13 23:43:55.854	6	0
47	B	2026-08-13 23:43:56.063	4	0
