seq	arm	started_at	elapsed_ms	errno
1	B	2026-08-13 23:47:30.451	8	0
2	B	2026-08-13 23:47:30.665	4	0
3	B	2026-08-13 23:47:30.872	6	0
4	B	2026-08-13 23:47:31.081	4	0
5	B	2026-08-13 23:47:31.289	4	0
6	B	2026-08-13 23:47:31.499	4	0
7	B	2026-08-13 23:47:31.707	4	0
8	B	2026-08-13 23:47:31.914	4	0
9	B	2026-08-13 23:47:32.121	4	0
10	B	2026-08-13 23:47:32.329	5	0
11	B	2026-08-13 23:47:32.538	4	0
12	B	2026-08-13 23:47:32.746	4	0
13	B	2026-08-13 23:47:32.953	4	0
14	B	2026-08-13 23:47:33.160	4	0
15	B	2026-08-13 23:47:33.370	4	0
16	B	2026-08-13 23:47:33.578	6	0
17	B	2026-08-13 23:47:33.788	4	0
18	B	2026-08-13 23:47:33.996	4	0
19	B	2026-08-13 23:47:34.203	4	0
20	B	2026-08-13 23:47:34.411	4	0
21	B	2026-08-13 23:47:34.619	4	0
22	B	2026-08-13 23:47:34.827	4	0
23	B	2026-08-13 23:47:35.034	5	0
24	B	2026-08-13 23:47:35.242	4	0
25	B	2026-08-13 23:47:35.449	4	0
26	B	2026-08-13 23:47:35.659	4	0
27	B	2026-08-13 23:47:35.867	4	0
28	B	2026-08-13 23:47:36.074	4	0
29	B	2026-08-13 23:47:36.281	6	0
30	B	2026-08-13 23:47:36.492	16	0
31	B	2026-08-13 23:47:36.722	5	0
32	B	2026-08-13 23:47:36.935	12	0
33	B	2026-08-13 23:47:37.150	4	0
34	B	2026-08-13 23:47:37.358	5	0
35	B	2026-08-13 23:47:37.567	4	0
36	B	2026-08-13 23:47:37.774	4	0
37	B	2026-08-13 23:47:37.981	4	0
38	B	2026-08-13 23:47:38.189	8	0
39	B	2026-08-13 23:47:38.401	4	0
40	B	2026-08-13 23:47:38.609	4	0
41	B	2026-08-13 23:47:38.817	4	0
42	B	2026-08-13 23:47:39.024	4	0
43	B	2026-08-13 23:47:39.231	4	0
44	B	2026-08-13 23:47:39.439	5	0
45	B	2026-08-13 23:47:39.648	4	0
46	B	2026-08-13 23:47:39.856	4	0
47	B	2026-08-13 23:47:40.063	4	0
48	B	2026-08-13 23:47:40.270	5	0
49	B	2026-08-13 23:47:40.479	5	0
50	B	2026-08-13 23:47:40.688	4	0
