n arm block answer ms handlers
500 naive 0 37 63.6 4937
500 sweep 0 37 3.2 3006
1000 naive 0 37 236.9 21376
1000 sweep 0 37 6.2 6006
2000 naive 0 37 635.7 53057
2000 sweep 0 37 5.1 12006
4000 naive 0 38 4995.2 116802
4000 sweep 0 38 17.5 24006
8000 naive 0 38 6270.4 244170
8000 sweep 0 38 28.4 48006
500 sweep 1 37 1.9 3006
500 naive 1 37 27.9 4937
1000 sweep 1 37 2.4 6006
1000 naive 1 37 416.2 21376
2000 sweep 1 37 7.2 12006
2000 naive 1 37 743.4 53057
4000 sweep 1 38 7.8 24006
4000 naive 1 38 1614.4 116802
8000 sweep 1 38 13.8 48006
8000 naive 1 38 9592.4 244170
500 naive 2 37 31.5 4937
500 sweep 2 37 3.5 3006
1000 naive 2 37 130.5 21376
1000 sweep 2 37 3.0 6006
2000 naive 2 37 1566.0 53057
2000 sweep 2 37 18.6 12006
4000 naive 2 38 8612.3 116802
4000 sweep 2 38 30.9 24006
8000 naive 2 38 34852.8 244170
8000 sweep 2 38 91.5 48006
