tag	arm	sessions	phase	epoch	source	metric	value
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_count{grpc_status_code="UNKNOWN",rpc_method="CompleteAnalysis",rpc_service="ExerciseService",rpc_type="UNARY"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_sum{grpc_status_code="UNKNOWN",rpc_method="CompleteAnalysis",rpc_service="ExerciseService",rpc_type="UNARY"}	0.0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_count{grpc_status_code="UNKNOWN",rpc_method="SavePoseDataBatch",rpc_service="ExerciseService",rpc_type="UNARY"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_sum{grpc_status_code="UNKNOWN",rpc_method="SavePoseDataBatch",rpc_service="ExerciseService",rpc_type="UNARY"}	0.006013925
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_count{grpc_status_code="UNKNOWN",rpc_method="ServerReflectionInfo",rpc_service="grpc.reflection.v1alpha.ServerReflection",rpc_type="BIDI_STREAMING"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_sum{grpc_status_code="UNKNOWN",rpc_method="ServerReflectionInfo",rpc_service="grpc.reflection.v1alpha.ServerReflection",rpc_type="BIDI_STREAMING"}	0.0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_max{grpc_status_code="UNKNOWN",rpc_method="CompleteAnalysis",rpc_service="ExerciseService",rpc_type="UNARY"}	0.0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_max{grpc_status_code="UNKNOWN",rpc_method="SavePoseDataBatch",rpc_service="ExerciseService",rpc_type="UNARY"}	0.006018
B_discard_10	B	10	pre	1786897647	spring	grpc_server_active_seconds_max{grpc_status_code="UNKNOWN",rpc_method="ServerReflectionInfo",rpc_service="grpc.reflection.v1alpha.ServerReflection",rpc_type="BIDI_STREAMING"}	0.0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0E-5"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="5.0E-5"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="3.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="6.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="8.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.001"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.002"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.003"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.004"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.005"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.006"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.008"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.01"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.013"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.016"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.02"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.025"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.03"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.04"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.05"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.065"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.08"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.1"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.13"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.16"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.2"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.25"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.3"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.4"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.5"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.65"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.8"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="2.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="5.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="10.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="20.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="50.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="100.0"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="+Inf"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_count{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_sum{grpc_method="ExerciseService/CompleteAnalysis",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE"}	0.059129012
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="ExerciseService/SavePoseDataBatch",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0E-5"}	0
