t_rel	session	ms	outcome	t_abs
0.332	0	17.41	ok	1786939988.644
0.666	0	19.7	ok	1786939988.978
1.0	0	19.33	ok	1786939989.312
1.333	0	19.38	ok	1786939989.645
1.667	0	19.08	ok	1786939989.979
2.001	0	19.2	ok	1786939990.313
2.334	0	18.89	ok	1786939990.646
2.668	0	19.1	ok	1786939990.980
3.002	0	19.27	ok	1786939991.314
3.336	0	18.15	ok	1786939991.648
3.669	0	19.21	ok	1786939991.981
4.003	0	18.76	ok	1786939992.315
4.337	0	18.09	ok	1786939992.649
4.67	0	18.72	ok	1786939992.982
5.004	0	18.51	ok	1786939993.316
5.338	0	18.07	ok	1786939993.650
5.671	0	19.17	ok	1786939993.983
6.005	0	17.95	ok	1786939994.317
6.339	0	18.6	ok	1786939994.651
6.672	0	20.9	ok	1786939994.984
7.006	0	18.99	ok	1786939995.318
7.34	0	18.65	ok	1786939995.652
7.673	0	19.94	ok	1786939995.985
8.007	0	18.33	ok	1786939996.319
8.341	0	18.35	ok	1786939996.653
8.674	0	18.2	ok	1786939996.986
9.008	0	18.61	ok	1786939997.320
9.342	0	18.82	ok	1786939997.654
9.675	0	18.51	ok	1786939997.987
10.009	0	18.8	ok	1786939998.321
10.343	0	18.81	ok	1786939998.655
10.676	0	18.29	ok	1786939998.988
11.01	0	19.02	ok	1786939999.322
11.344	0	18.24	ok	1786939999.656
11.678	0	18.91	ok	1786939999.990
12.011	0	19.55	ok	1786940000.323
12.345	0	18.49	ok	1786940000.657
12.679	0	19.24	ok	1786940000.991
13.012	0	19.02	ok	1786940001.324
13.346	0	18.3	ok	1786940001.658
13.68	0	18.75	ok	1786940001.992
14.013	0	19.03	ok	1786940002.325
14.347	0	18.0	ok	1786940002.659
14.681	0	18.8	ok	1786940002.993
15.014	0	18.38	ok	1786940003.326
15.348	0	18.78	ok	1786940003.660
15.682	0	18.77	ok	1786940003.994
16.015	0	18.4	ok	1786940004.327
16.349	0	19.2	ok	1786940004.661
16.683	0	18.12	ok	1786940004.995
17.016	0	19.03	ok	1786940005.328
17.35	0	18.99	ok	1786940005.662
17.684	0	18.7	ok	1786940005.996
18.018	0	18.74	ok	1786940006.330
18.351	0	18.74	ok	1786940006.663
18.685	0	18.99	ok	1786940006.997
19.019	0	18.74	ok	1786940007.331
19.352	0	18.57	ok	1786940007.664
19.686	0	18.18	ok	1786940007.998
20.02	0	18.83	ok	1786940008.332
20.353	0	18.89	ok	1786940008.665
20.687	0	18.5	ok	1786940008.999
21.021	0	18.85	ok	1786940009.333
21.354	0	18.33	ok	1786940009.666
21.688	0	18.52	ok	1786940010.000
