t_rel	session	ms	outcome	t_abs
0.115	0	16.79	ok	1786940032.090
0.449	0	18.74	ok	1786940032.424
0.782	0	17.1	ok	1786940032.757
1.116	0	20.96	ok	1786940033.091
1.45	0	18.83	ok	1786940033.425
1.783	0	18.32	ok	1786940033.758
2.117	0	19.03	ok	1786940034.092
2.451	0	22.06	ok	1786940034.426
2.784	0	18.04	ok	1786940034.759
3.118	0	22.02	ok	1786940035.093
3.452	0	18.27	ok	1786940035.427
3.786	0	19.05	ok	1786940035.761
4.119	0	18.82	ok	1786940036.094
4.453	0	18.37	ok	1786940036.428
4.787	0	18.94	ok	1786940036.762
5.12	0	21.41	ok	1786940037.095
5.454	0	18.79	ok	1786940037.429
5.788	0	18.74	ok	1786940037.763
6.121	0	18.59	ok	1786940038.096
6.455	0	18.27	ok	1786940038.430
6.789	0	18.55	ok	1786940038.764
7.123	0	18.36	ok	1786940039.098
7.456	0	18.5	ok	1786940039.431
7.79	0	18.25	ok	1786940039.765
8.124	0	18.02	ok	1786940040.099
8.457	0	19.42	ok	1786940040.432
8.791	0	18.42	ok	1786940040.766
9.125	0	18.38	ok	1786940041.100
9.458	0	18.55	ok	1786940041.433
9.792	0	18.77	ok	1786940041.767
10.126	0	18.68	ok	1786940042.101
10.459	0	18.27	ok	1786940042.434
10.793	0	18.17	ok	1786940042.768
11.127	0	18.81	ok	1786940043.102
11.461	0	18.53	ok	1786940043.436
11.794	0	18.96	ok	1786940043.769
12.128	0	18.68	ok	1786940044.103
12.462	0	22.0	ok	1786940044.437
12.795	0	21.66	ok	1786940044.770
13.129	0	19.16	ok	1786940045.104
13.463	0	18.18	ok	1786940045.438
13.796	0	18.21	ok	1786940045.771
14.13	0	19.03	ok	1786940046.105
14.464	0	18.62	ok	1786940046.439
14.797	0	18.6	ok	1786940046.772
15.131	0	18.42	ok	1786940047.106
15.465	0	18.31	ok	1786940047.440
15.798	0	18.7	ok	1786940047.773
16.132	0	18.18	ok	1786940048.107
16.466	0	18.91	ok	1786940048.441
16.8	0	18.21	ok	1786940048.775
17.133	0	18.04	ok	1786940049.108
17.467	0	19.25	ok	1786940049.442
17.801	0	18.55	ok	1786940049.776
18.134	0	18.9	ok	1786940050.109
18.468	0	18.68	ok	1786940050.443
18.802	0	18.41	ok	1786940050.777
19.135	0	18.52	ok	1786940051.110
19.469	0	21.22	ok	1786940051.444
19.803	0	18.41	ok	1786940051.778
20.136	0	18.64	ok	1786940052.111
20.47	0	18.61	ok	1786940052.445
20.804	0	18.63	ok	1786940052.779
21.137	0	18.58	ok	1786940053.112
21.471	0	18.9	ok	1786940053.446
21.805	0	18.03	ok	1786940053.780
