t_rel	session	ms	outcome	t_abs
0.289	0	17.55	ok	1786940102.965
0.623	0	18.31	ok	1786940103.299
0.957	0	20.31	ok	1786940103.633
1.29	0	18.14	ok	1786940103.966
1.624	0	18.55	ok	1786940104.300
1.958	0	18.94	ok	1786940104.634
2.291	0	18.81	ok	1786940104.967
2.625	0	19.64	ok	1786940105.301
2.959	0	18.5	ok	1786940105.635
3.292	0	18.26	ok	1786940105.968
3.626	0	19.27	ok	1786940106.302
3.96	0	18.95	ok	1786940106.636
4.293	0	18.79	ok	1786940106.969
4.627	0	18.99	ok	1786940107.303
4.961	0	18.41	ok	1786940107.637
5.295	0	19.1	ok	1786940107.971
5.628	0	19.46	ok	1786940108.304
5.962	0	19.56	ok	1786940108.638
6.296	0	18.56	ok	1786940108.972
6.629	0	24.09	ok	1786940109.305
6.963	0	23.57	ok	1786940109.639
7.297	0	19.11	ok	1786940109.973
7.63	0	18.55	ok	1786940110.306
7.964	0	19.51	ok	1786940110.640
8.298	0	18.73	ok	1786940110.974
8.632	0	18.87	ok	1786940111.308
8.965	0	23.52	ok	1786940111.641
9.299	0	18.76	ok	1786940111.975
9.633	0	25.38	ok	1786940112.309
9.966	0	18.91	ok	1786940112.642
10.3	0	18.75	ok	1786940112.976
10.634	0	20.17	ok	1786940113.310
10.967	0	19.17	ok	1786940113.643
11.301	0	18.39	ok	1786940113.977
11.635	0	19.78	ok	1786940114.311
11.968	0	18.47	ok	1786940114.644
12.302	0	18.91	ok	1786940114.978
12.636	0	18.98	ok	1786940115.312
12.969	0	26.03	ok	1786940115.645
13.303	0	18.54	ok	1786940115.979
13.637	0	19.57	ok	1786940116.313
13.97	0	19.04	ok	1786940116.646
14.304	0	18.82	ok	1786940116.980
14.638	0	18.69	ok	1786940117.314
14.971	0	18.2	ok	1786940117.647
15.305	0	18.72	ok	1786940117.981
15.639	0	18.69	ok	1786940118.315
15.972	0	18.36	ok	1786940118.648
16.306	0	18.83	ok	1786940118.982
16.64	0	19.01	ok	1786940119.316
16.974	0	23.5	ok	1786940119.650
17.307	0	18.5	ok	1786940119.983
17.641	0	18.48	ok	1786940120.317
17.974	0	18.65	ok	1786940120.650
18.308	0	19.63	ok	1786940120.984
18.642	0	18.86	ok	1786940121.318
18.975	0	18.37	ok	1786940121.651
19.309	0	18.98	ok	1786940121.985
19.643	0	19.28	ok	1786940122.319
19.976	0	19.19	ok	1786940122.652
20.31	0	18.62	ok	1786940122.986
20.644	0	19.21	ok	1786940123.320
20.977	0	18.31	ok	1786940123.653
21.311	0	18.49	ok	1786940123.987
21.644	0	19.35	ok	1786940124.320
