t_rel	session	ms	outcome	t_abs
0.256	0	17.75	ok	1786940230.755
0.589	0	17.07	ok	1786940231.088
0.923	0	17.67	ok	1786940231.422
1.257	0	17.49	ok	1786940231.756
1.59	0	50.51	ok	1786940232.089
1.924	0	17.8	ok	1786940232.423
2.258	0	18.43	ok	1786940232.757
2.591	0	18.75	ok	1786940233.090
2.925	0	18.36	ok	1786940233.424
3.259	0	17.93	ok	1786940233.758
3.592	0	18.07	ok	1786940234.091
3.926	0	18.82	ok	1786940234.425
4.26	0	18.32	ok	1786940234.759
4.593	0	18.31	ok	1786940235.092
4.927	0	18.25	ok	1786940235.426
5.261	0	18.04	ok	1786940235.760
5.594	0	18.72	ok	1786940236.093
5.928	0	18.27	ok	1786940236.427
6.262	0	18.7	ok	1786940236.761
6.596	0	18.47	ok	1786940237.095
6.929	0	17.97	ok	1786940237.428
7.263	0	18.67	ok	1786940237.762
7.597	0	19.12	ok	1786940238.096
7.93	0	18.55	ok	1786940238.429
8.264	0	18.13	ok	1786940238.763
8.598	0	18.23	ok	1786940239.097
8.931	0	18.79	ok	1786940239.430
9.265	0	18.23	ok	1786940239.764
9.599	0	18.0	ok	1786940240.098
9.932	0	18.7	ok	1786940240.431
10.266	0	17.82	ok	1786940240.765
10.6	0	18.01	ok	1786940241.099
10.933	0	18.58	ok	1786940241.432
11.267	0	18.76	ok	1786940241.766
11.601	0	18.27	ok	1786940242.100
11.934	0	18.95	ok	1786940242.433
12.268	0	18.32	ok	1786940242.767
12.602	0	18.57	ok	1786940243.101
12.936	0	18.18	ok	1786940243.435
13.269	0	18.31	ok	1786940243.768
13.603	0	18.8	ok	1786940244.102
13.937	0	18.17	ok	1786940244.436
14.27	0	18.11	ok	1786940244.769
14.604	0	18.49	ok	1786940245.103
14.938	0	18.19	ok	1786940245.437
15.271	0	17.86	ok	1786940245.770
15.605	0	18.41	ok	1786940246.104
15.939	0	17.93	ok	1786940246.438
16.272	0	17.98	ok	1786940246.771
16.606	0	18.09	ok	1786940247.105
16.94	0	18.47	ok	1786940247.439
17.273	0	18.28	ok	1786940247.772
17.607	0	17.98	ok	1786940248.106
17.941	0	18.12	ok	1786940248.440
18.274	0	18.32	ok	1786940248.773
18.608	0	18.04	ok	1786940249.107
18.942	0	18.51	ok	1786940249.441
19.276	0	18.79	ok	1786940249.775
19.609	0	18.02	ok	1786940250.108
19.943	0	19.15	ok	1786940250.442
20.277	0	19.01	ok	1786940250.776
20.61	0	18.46	ok	1786940251.109
20.944	0	17.98	ok	1786940251.443
21.278	0	18.53	ok	1786940251.777
21.611	0	18.41	ok	1786940252.110
21.945	0	18.18	ok	1786940252.444
22.279	0	18.47	ok	1786940252.778
22.612	0	18.32	ok	1786940253.111
