t_rel	session	ms	outcome	t_abs
0.106	0	17.23	ok	1786940283.844
0.44	0	18.29	ok	1786940284.178
0.774	0	18.29	ok	1786940284.512
1.108	0	17.44	ok	1786940284.846
1.441	0	19.03	ok	1786940285.179
1.775	0	19.11	ok	1786940285.513
2.108	0	18.48	ok	1786940285.846
2.442	0	18.51	ok	1786940286.180
2.776	0	18.56	ok	1786940286.514
3.11	0	18.4	ok	1786940286.848
3.443	0	18.59	ok	1786940287.181
3.777	0	18.44	ok	1786940287.515
4.111	0	19.01	ok	1786940287.849
4.444	0	18.46	ok	1786940288.182
4.778	0	18.04	ok	1786940288.516
5.112	0	18.14	ok	1786940288.850
5.445	0	18.53	ok	1786940289.183
5.779	0	17.9	ok	1786940289.517
6.113	0	18.5	ok	1786940289.851
6.447	0	18.56	ok	1786940290.185
6.78	0	19.23	ok	1786940290.518
7.114	0	18.56	ok	1786940290.852
7.448	0	18.37	ok	1786940291.186
7.781	0	18.84	ok	1786940291.519
8.115	0	18.81	ok	1786940291.853
8.448	0	18.3	ok	1786940292.186
8.782	0	18.71	ok	1786940292.520
9.116	0	18.56	ok	1786940292.854
9.449	0	19.15	ok	1786940293.187
9.783	0	18.78	ok	1786940293.521
10.117	0	18.97	ok	1786940293.855
10.45	0	18.13	ok	1786940294.188
10.784	0	18.7	ok	1786940294.522
11.118	0	18.32	ok	1786940294.856
11.452	0	18.2	ok	1786940295.190
11.785	0	18.72	ok	1786940295.523
12.119	0	18.47	ok	1786940295.857
12.453	0	18.63	ok	1786940296.191
12.786	0	18.07	ok	1786940296.524
13.12	0	18.29	ok	1786940296.858
13.454	0	17.96	ok	1786940297.192
13.787	0	18.31	ok	1786940297.525
14.121	0	18.71	ok	1786940297.859
14.455	0	18.58	ok	1786940298.193
14.788	0	18.86	ok	1786940298.526
15.122	0	18.38	ok	1786940298.860
15.456	0	18.63	ok	1786940299.194
15.789	0	18.42	ok	1786940299.527
16.123	0	18.75	ok	1786940299.861
16.457	0	18.38	ok	1786940300.195
16.791	0	19.23	ok	1786940300.529
17.124	0	19.04	ok	1786940300.862
17.458	0	18.09	ok	1786940301.196
17.792	0	18.7	ok	1786940301.530
18.125	0	18.86	ok	1786940301.863
18.459	0	18.29	ok	1786940302.197
18.793	0	18.01	ok	1786940302.531
19.127	0	18.36	ok	1786940302.865
19.46	0	18.1	ok	1786940303.198
19.794	0	19.18	ok	1786940303.532
20.128	0	18.65	ok	1786940303.866
20.462	0	18.6	ok	1786940304.200
20.795	0	18.51	ok	1786940304.533
21.129	0	18.17	ok	1786940304.867
21.463	0	17.9	ok	1786940305.201
21.796	0	17.3	ok	1786940305.534
22.13	0	18.09	ok	1786940305.868
