t_rel	session	ms	outcome	t_abs
0.36	0	18.11	ok	1786940156.158
0.694	0	23.04	ok	1786940156.492
1.028	0	18.58	ok	1786940156.826
1.362	0	17.96	ok	1786940157.160
1.695	0	19.68	ok	1786940157.493
2.029	0	18.42	ok	1786940157.827
2.363	0	18.15	ok	1786940158.161
2.696	0	18.74	ok	1786940158.494
3.03	0	19.38	ok	1786940158.828
3.364	0	18.07	ok	1786940159.162
3.697	0	18.92	ok	1786940159.495
4.031	0	18.48	ok	1786940159.829
4.365	0	18.41	ok	1786940160.163
4.698	0	18.43	ok	1786940160.496
5.032	0	18.46	ok	1786940160.830
5.366	0	18.97	ok	1786940161.164
5.699	0	18.57	ok	1786940161.497
6.033	0	18.6	ok	1786940161.831
6.367	0	18.2	ok	1786940162.165
6.701	0	18.33	ok	1786940162.499
7.034	0	18.94	ok	1786940162.832
7.368	0	18.39	ok	1786940163.166
7.702	0	18.39	ok	1786940163.500
8.035	0	18.82	ok	1786940163.833
8.369	0	17.75	ok	1786940164.167
8.703	0	18.61	ok	1786940164.501
9.037	0	18.84	ok	1786940164.835
9.37	0	17.97	ok	1786940165.168
9.704	0	18.39	ok	1786940165.502
10.038	0	18.36	ok	1786940165.836
10.371	0	18.29	ok	1786940166.169
10.705	0	18.81	ok	1786940166.503
11.039	0	18.08	ok	1786940166.837
11.372	0	18.96	ok	1786940167.170
11.706	0	17.98	ok	1786940167.504
12.04	0	17.92	ok	1786940167.838
12.374	0	18.4	ok	1786940168.172
12.707	0	17.94	ok	1786940168.505
13.041	0	18.13	ok	1786940168.839
13.375	0	18.13	ok	1786940169.173
13.708	0	18.3	ok	1786940169.506
14.042	0	18.32	ok	1786940169.840
14.376	0	18.21	ok	1786940170.174
14.709	0	17.85	ok	1786940170.507
15.043	0	18.49	ok	1786940170.841
15.377	0	18.07	ok	1786940171.175
15.71	0	17.77	ok	1786940171.508
16.044	0	18.32	ok	1786940171.842
16.378	0	18.48	ok	1786940172.176
16.711	0	18.55	ok	1786940172.509
17.045	0	18.37	ok	1786940172.843
17.379	0	18.11	ok	1786940173.177
17.712	0	17.94	ok	1786940173.510
18.046	0	18.69	ok	1786940173.844
18.38	0	17.93	ok	1786940174.178
18.714	0	18.22	ok	1786940174.512
19.047	0	18.31	ok	1786940174.845
19.381	0	18.83	ok	1786940175.179
19.715	0	18.15	ok	1786940175.513
20.048	0	18.93	ok	1786940175.846
20.382	0	18.25	ok	1786940176.180
20.716	0	18.7	ok	1786940176.514
21.049	0	17.89	ok	1786940176.847
21.383	0	18.41	ok	1786940177.181
