t_rel	session	ms	outcome	t_abs
0.204	0	19.29	ok	1786939839.641
0.538	0	18.97	ok	1786939839.975
0.871	0	18.78	ok	1786939840.308
1.205	0	20.18	ok	1786939840.642
1.539	0	19.68	ok	1786939840.976
1.872	0	28.19	ok	1786939841.309
2.206	0	20.5	ok	1786939841.643
2.54	0	28.17	ok	1786939841.977
2.873	0	19.84	ok	1786939842.310
3.207	0	19.69	ok	1786939842.644
3.541	0	20.47	ok	1786939842.978
3.875	0	20.64	ok	1786939843.312
4.208	0	20.06	ok	1786939843.645
4.542	0	27.42	ok	1786939843.979
4.876	0	19.96	ok	1786939844.313
5.209	0	19.71	ok	1786939844.646
5.543	0	20.76	ok	1786939844.980
5.877	0	20.62	ok	1786939845.314
6.21	0	27.03	ok	1786939845.647
6.544	0	20.52	ok	1786939845.981
6.878	0	20.14	ok	1786939846.315
7.212	0	20.95	ok	1786939846.649
7.545	0	20.37	ok	1786939846.982
7.879	0	19.74	ok	1786939847.316
8.213	0	19.99	ok	1786939847.650
8.546	0	20.19	ok	1786939847.983
8.88	0	20.12	ok	1786939848.317
9.214	0	20.29	ok	1786939848.651
9.547	0	20.85	ok	1786939848.984
9.881	0	19.77	ok	1786939849.318
10.215	0	20.81	ok	1786939849.652
10.548	0	20.42	ok	1786939849.985
10.882	0	20.28	ok	1786939850.319
11.216	0	20.78	ok	1786939850.653
11.549	0	20.02	ok	1786939850.986
11.883	0	19.51	ok	1786939851.320
12.217	0	20.36	ok	1786939851.654
12.55	0	20.08	ok	1786939851.987
12.884	0	20.73	ok	1786939852.321
13.218	0	19.88	ok	1786939852.655
13.551	0	20.57	ok	1786939852.988
13.885	0	27.37	ok	1786939853.322
14.219	0	19.88	ok	1786939853.656
14.553	0	20.16	ok	1786939853.990
14.886	0	20.06	ok	1786939854.323
15.22	0	20.64	ok	1786939854.657
15.554	0	20.2	ok	1786939854.991
15.887	0	20.29	ok	1786939855.324
16.221	0	20.4	ok	1786939855.658
16.555	0	20.22	ok	1786939855.992
16.888	0	19.99	ok	1786939856.325
17.222	0	20.34	ok	1786939856.659
17.556	0	20.72	ok	1786939856.993
17.889	0	19.76	ok	1786939857.326
18.223	0	27.58	ok	1786939857.660
18.557	0	20.29	ok	1786939857.994
18.891	0	19.89	ok	1786939858.328
19.224	0	20.23	ok	1786939858.661
19.558	0	20.08	ok	1786939858.995
19.892	0	20.74	ok	1786939859.329
20.225	0	21.05	ok	1786939859.662
20.559	0	19.71	ok	1786939859.996
20.893	0	19.76	ok	1786939860.330
21.226	0	21.1	ok	1786939860.663
21.56	0	20.13	ok	1786939860.997
21.893	0	20.11	ok	1786939861.330
