t_rel	session	ms	outcome	t_abs
0.228	0	18.39	ok	1786939892.153
0.561	0	20.1	ok	1786939892.486
0.895	0	18.96	ok	1786939892.820
1.229	0	18.92	ok	1786939893.154
1.562	0	18.42	ok	1786939893.487
1.896	0	18.28	ok	1786939893.821
2.23	0	18.96	ok	1786939894.155
2.564	0	18.67	ok	1786939894.489
2.897	0	18.26	ok	1786939894.822
3.231	0	18.91	ok	1786939895.156
3.565	0	18.82	ok	1786939895.490
3.898	0	18.1	ok	1786939895.823
4.232	0	18.9	ok	1786939896.157
4.566	0	18.85	ok	1786939896.491
4.899	0	19.18	ok	1786939896.824
5.233	0	20.64	ok	1786939897.158
5.567	0	18.38	ok	1786939897.492
5.9	0	18.73	ok	1786939897.825
6.234	0	19.01	ok	1786939898.159
6.568	0	17.89	ok	1786939898.493
6.902	0	19.02	ok	1786939898.827
7.235	0	18.21	ok	1786939899.160
7.569	0	20.53	ok	1786939899.494
7.903	0	18.39	ok	1786939899.828
8.236	0	18.89	ok	1786939900.161
8.57	0	18.44	ok	1786939900.495
8.904	0	18.14	ok	1786939900.829
9.237	0	18.86	ok	1786939901.162
9.571	0	19.1	ok	1786939901.496
9.905	0	20.79	ok	1786939901.830
10.238	0	18.92	ok	1786939902.163
10.572	0	18.26	ok	1786939902.497
10.906	0	18.53	ok	1786939902.831
11.239	0	18.68	ok	1786939903.164
11.573	0	19.48	ok	1786939903.498
11.907	0	18.26	ok	1786939903.832
12.24	0	18.83	ok	1786939904.165
12.574	0	18.41	ok	1786939904.499
12.908	0	19.09	ok	1786939904.833
13.241	0	18.47	ok	1786939905.166
13.575	0	18.73	ok	1786939905.500
13.909	0	18.91	ok	1786939905.834
14.242	0	18.41	ok	1786939906.167
14.576	0	19.31	ok	1786939906.501
14.91	0	18.84	ok	1786939906.835
15.244	0	19.57	ok	1786939907.169
15.577	0	19.0	ok	1786939907.502
15.911	0	18.17	ok	1786939907.836
16.245	0	19.15	ok	1786939908.170
16.578	0	18.21	ok	1786939908.503
16.912	0	18.33	ok	1786939908.837
17.246	0	18.24	ok	1786939909.171
17.579	0	19.52	ok	1786939909.504
17.913	0	18.18	ok	1786939909.838
18.247	0	18.43	ok	1786939910.172
18.58	0	18.7	ok	1786939910.505
18.914	0	18.12	ok	1786939910.839
19.248	0	20.5	ok	1786939911.173
19.582	0	18.07	ok	1786939911.507
19.915	0	20.44	ok	1786939911.840
20.249	0	18.09	ok	1786939912.174
20.583	0	18.47	ok	1786939912.508
20.916	0	18.84	ok	1786939912.841
21.25	0	18.71	ok	1786939913.175
21.583	0	17.93	ok	1786939913.508
