t_rel	session	ms	outcome	t_abs
0.156	4	18.37	ok	1786939989.137
0.172	2	18.54	ok	1786939989.153
0.292	3	19.26	ok	1786939989.273
0.49	4	19.09	ok	1786939989.471
0.506	2	18.81	ok	1786939989.487
0.557	0	17.68	ok	1786939989.538
0.58	1	17.6	ok	1786939989.561
0.626	3	20.05	ok	1786939989.607
0.823	4	19.2	ok	1786939989.804
0.839	2	19.38	ok	1786939989.820
0.89	0	18.67	ok	1786939989.871
0.914	1	18.42	ok	1786939989.895
0.96	3	19.91	ok	1786939989.941
1.157	4	19.32	ok	1786939990.138
1.173	2	19.94	ok	1786939990.154
1.224	0	18.32	ok	1786939990.205
1.248	1	18.65	ok	1786939990.229
1.293	3	19.46	ok	1786939990.274
1.491	4	18.86	ok	1786939990.472
1.507	2	19.97	ok	1786939990.488
1.558	0	19.06	ok	1786939990.539
1.581	1	18.61	ok	1786939990.562
1.627	3	19.85	ok	1786939990.608
1.824	4	19.38	ok	1786939990.805
1.84	2	19.32	ok	1786939990.821
1.892	0	18.08	ok	1786939990.873
1.915	1	18.5	ok	1786939990.896
1.961	3	20.72	ok	1786939990.942
2.158	4	19.67	ok	1786939991.139
2.174	2	20.29	ok	1786939991.155
2.225	0	18.29	ok	1786939991.206
2.249	1	18.42	ok	1786939991.230
2.294	3	20.0	ok	1786939991.275
2.492	4	19.56	ok	1786939991.473
2.508	2	19.89	ok	1786939991.489
2.559	0	18.83	ok	1786939991.540
2.582	1	18.88	ok	1786939991.563
2.628	3	20.19	ok	1786939991.609
2.825	4	19.31	ok	1786939991.806
2.841	2	19.47	ok	1786939991.822
2.893	0	18.35	ok	1786939991.874
2.916	1	17.92	ok	1786939991.897
2.962	3	20.02	ok	1786939991.943
3.159	4	18.98	ok	1786939992.140
3.175	2	18.95	ok	1786939992.156
3.226	0	18.39	ok	1786939992.207
3.25	1	18.32	ok	1786939992.231
3.295	3	19.19	ok	1786939992.276
3.493	4	19.18	ok	1786939992.474
3.509	2	19.79	ok	1786939992.490
3.56	0	18.45	ok	1786939992.541
3.584	1	17.93	ok	1786939992.565
3.629	3	19.57	ok	1786939992.610
3.826	4	18.82	ok	1786939992.807
3.842	2	19.3	ok	1786939992.823
3.894	0	17.55	ok	1786939992.875
3.917	1	17.46	ok	1786939992.898
3.963	3	19.46	ok	1786939992.944
4.16	4	19.72	ok	1786939993.141
4.176	2	19.21	ok	1786939993.157
4.227	0	19.03	ok	1786939993.208
4.251	1	18.68	ok	1786939993.232
4.297	3	19.75	ok	1786939993.278
4.494	4	19.07	ok	1786939993.475
4.51	2	19.57	ok	1786939993.491
4.561	0	17.97	ok	1786939993.542
4.585	1	17.77	ok	1786939993.566
4.63	3	20.06	ok	1786939993.611
4.827	4	18.85	ok	1786939993.808
4.843	2	18.97	ok	1786939993.824
4.895	0	18.02	ok	1786939993.876
4.918	1	18.85	ok	1786939993.899
4.964	3	19.87	ok	1786939993.945
5.161	4	19.09	ok	1786939994.142
5.177	2	19.34	ok	1786939994.158
5.228	0	18.63	ok	1786939994.209
5.252	1	18.33	ok	1786939994.233
5.297	3	20.06	ok	1786939994.278
5.495	4	19.43	ok	1786939994.476
5.511	2	19.66	ok	1786939994.492
5.562	0	18.28	ok	1786939994.543
5.586	1	18.24	ok	1786939994.567
5.631	3	19.84	ok	1786939994.612
5.829	4	19.39	ok	1786939994.810
5.844	2	19.38	ok	1786939994.825
5.896	0	18.1	ok	1786939994.877
5.919	1	17.67	ok	1786939994.900
5.965	3	19.35	ok	1786939994.946
6.162	4	19.04	ok	1786939995.143
6.178	2	20.18	ok	1786939995.159
6.229	0	18.33	ok	1786939995.210
6.253	1	18.96	ok	1786939995.234
6.298	3	20.61	ok	1786939995.279
6.496	4	19.33	ok	1786939995.477
6.512	2	19.63	ok	1786939995.493
6.563	0	18.15	ok	1786939995.544
6.587	1	18.19	ok	1786939995.568
6.632	3	19.48	ok	1786939995.613
6.83	4	18.94	ok	1786939995.811
6.846	2	19.14	ok	1786939995.827
6.897	0	18.2	ok	1786939995.878
6.92	1	18.6	ok	1786939995.901
6.966	3	20.52	ok	1786939995.947
7.163	4	19.02	ok	1786939996.144
7.179	2	19.35	ok	1786939996.160
7.23	0	18.16	ok	1786939996.211
7.254	1	17.78	ok	1786939996.235
7.299	3	19.45	ok	1786939996.280
7.497	4	18.52	ok	1786939996.478
7.513	2	19.31	ok	1786939996.494
7.564	0	17.92	ok	1786939996.545
7.588	1	17.55	ok	1786939996.569
7.633	3	19.72	ok	1786939996.614
7.831	4	18.56	ok	1786939996.812
7.847	2	18.8	ok	1786939996.828
7.898	0	18.08	ok	1786939996.879
7.921	1	17.97	ok	1786939996.902
7.967	3	19.96	ok	1786939996.948
8.164	4	18.73	ok	1786939997.145
8.18	2	19.08	ok	1786939997.161
8.232	0	18.02	ok	1786939997.213
8.255	1	17.46	ok	1786939997.236
8.3	3	19.79	ok	1786939997.281
8.498	4	18.99	ok	1786939997.479
8.514	2	18.91	ok	1786939997.495
8.565	0	18.68	ok	1786939997.546
8.589	1	18.74	ok	1786939997.570
8.634	3	19.47	ok	1786939997.615
8.832	4	18.9	ok	1786939997.813
8.847	2	19.04	ok	1786939997.828
8.899	0	18.31	ok	1786939997.880
8.922	1	18.12	ok	1786939997.903
8.968	3	20.07	ok	1786939997.949
9.165	4	18.97	ok	1786939998.146
9.181	2	19.72	ok	1786939998.162
9.233	0	19.11	ok	1786939998.214
9.256	1	18.19	ok	1786939998.237
9.302	3	20.49	ok	1786939998.283
9.499	4	19.34	ok	1786939998.480
9.515	2	19.68	ok	1786939998.496
9.566	0	17.72	ok	1786939998.547
9.59	1	18.73	ok	1786939998.571
9.635	3	19.72	ok	1786939998.616
9.833	4	19.95	ok	1786939998.814
9.848	2	19.35	ok	1786939998.829
9.9	0	18.9	ok	1786939998.881
9.923	1	18.07	ok	1786939998.904
9.969	3	20.38	ok	1786939998.950
10.166	4	18.79	ok	1786939999.147
10.182	2	18.96	ok	1786939999.163
