t_rel	session	ms	outcome	t_abs
0.174	4	16.94	ok	1786940032.949
0.271	0	18.14	ok	1786940033.046
0.279	3	17.43	ok	1786940033.054
0.325	1	19.35	ok	1786940033.100
0.38	2	18.69	ok	1786940033.155
0.507	4	18.16	ok	1786940033.282
0.604	0	19.47	ok	1786940033.379
0.613	3	18.91	ok	1786940033.388
0.659	1	19.74	ok	1786940033.434
0.713	2	19.4	ok	1786940033.488
0.841	4	18.58	ok	1786940033.616
0.938	0	18.48	ok	1786940033.713
0.947	3	18.25	ok	1786940033.722
0.992	1	18.45	ok	1786940033.767
1.047	2	19.78	ok	1786940033.822
1.175	4	19.47	ok	1786940033.950
1.272	0	18.25	ok	1786940034.047
1.28	3	19.01	ok	1786940034.055
1.326	1	19.5	ok	1786940034.101
1.381	2	19.45	ok	1786940034.156
1.508	4	19.02	ok	1786940034.283
1.605	0	19.13	ok	1786940034.380
1.614	3	18.5	ok	1786940034.389
1.66	1	23.14	ok	1786940034.435
1.714	2	19.13	ok	1786940034.489
1.842	4	17.77	ok	1786940034.617
1.939	0	18.94	ok	1786940034.714
1.948	3	18.77	ok	1786940034.723
1.994	1	18.94	ok	1786940034.769
2.048	2	19.05	ok	1786940034.823
2.176	4	18.44	ok	1786940034.951
2.273	0	18.02	ok	1786940035.048
2.281	3	19.28	ok	1786940035.056
2.327	1	22.19	ok	1786940035.102
2.382	2	18.85	ok	1786940035.157
2.509	4	18.97	ok	1786940035.284
2.606	0	17.56	ok	1786940035.381
2.615	3	19.39	ok	1786940035.390
2.661	1	18.74	ok	1786940035.436
2.715	2	19.74	ok	1786940035.490
2.843	4	18.18	ok	1786940035.618
2.94	0	21.33	ok	1786940035.715
2.949	3	22.07	ok	1786940035.724
2.995	1	19.06	ok	1786940035.770
3.049	2	19.17	ok	1786940035.824
3.177	4	18.49	ok	1786940035.952
3.274	0	18.85	ok	1786940036.049
3.282	3	18.1	ok	1786940036.057
3.328	1	18.69	ok	1786940036.103
3.383	2	19.06	ok	1786940036.158
3.511	4	18.43	ok	1786940036.286
3.607	0	18.85	ok	1786940036.382
3.616	3	18.53	ok	1786940036.391
3.662	1	18.63	ok	1786940036.437
3.716	2	19.57	ok	1786940036.491
3.844	4	18.6	ok	1786940036.619
3.941	0	18.16	ok	1786940036.716
3.95	3	18.77	ok	1786940036.725
3.996	1	18.68	ok	1786940036.771
4.05	2	19.47	ok	1786940036.825
4.178	4	18.44	ok	1786940036.953
4.275	0	18.92	ok	1786940037.050
4.283	3	19.14	ok	1786940037.058
4.329	1	22.33	ok	1786940037.104
4.384	2	19.83	ok	1786940037.159
4.512	4	18.26	ok	1786940037.287
4.608	0	18.95	ok	1786940037.383
4.617	3	19.48	ok	1786940037.392
4.663	1	18.74	ok	1786940037.438
4.717	2	20.13	ok	1786940037.492
4.845	4	19.14	ok	1786940037.620
4.942	0	19.45	ok	1786940037.717
4.951	3	18.76	ok	1786940037.726
4.997	1	19.46	ok	1786940037.772
5.051	2	20.26	ok	1786940037.826
5.179	4	18.67	ok	1786940037.954
5.276	0	18.55	ok	1786940038.051
5.284	3	18.27	ok	1786940038.059
5.33	1	18.64	ok	1786940038.105
5.385	2	19.41	ok	1786940038.160
5.513	4	19.12	ok	1786940038.288
5.609	0	18.83	ok	1786940038.384
5.618	3	18.52	ok	1786940038.393
5.664	1	18.74	ok	1786940038.439
5.718	2	19.89	ok	1786940038.493
5.846	4	18.32	ok	1786940038.621
5.943	0	18.2	ok	1786940038.718
5.952	3	18.55	ok	1786940038.727
5.998	1	19.01	ok	1786940038.773
6.052	2	19.51	ok	1786940038.827
6.18	4	18.92	ok	1786940038.955
6.277	0	18.46	ok	1786940039.052
6.285	3	19.13	ok	1786940039.060
6.331	1	19.03	ok	1786940039.106
6.386	2	19.66	ok	1786940039.161
6.514	4	18.65	ok	1786940039.289
6.61	0	18.62	ok	1786940039.385
6.619	3	19.24	ok	1786940039.394
6.665	1	18.57	ok	1786940039.440
6.719	2	19.6	ok	1786940039.494
6.847	4	18.98	ok	1786940039.622
6.944	0	18.26	ok	1786940039.719
6.953	3	18.41	ok	1786940039.728
6.999	1	18.92	ok	1786940039.774
7.053	2	19.52	ok	1786940039.828
7.181	4	18.57	ok	1786940039.956
7.278	0	18.39	ok	1786940040.053
7.287	3	18.42	ok	1786940040.062
7.332	1	18.74	ok	1786940040.107
7.387	2	19.3	ok	1786940040.162
7.515	4	18.48	ok	1786940040.290
7.611	0	18.28	ok	1786940040.386
7.62	3	18.64	ok	1786940040.395
7.666	1	19.26	ok	1786940040.441
7.72	2	19.77	ok	1786940040.495
7.849	4	18.62	ok	1786940040.624
7.945	0	18.46	ok	1786940040.720
7.954	3	18.67	ok	1786940040.729
8.0	1	18.87	ok	1786940040.775
8.054	2	19.5	ok	1786940040.829
8.182	4	18.18	ok	1786940040.957
8.279	0	18.55	ok	1786940041.054
8.288	3	18.75	ok	1786940041.063
8.333	1	19.25	ok	1786940041.108
8.388	2	19.44	ok	1786940041.163
8.516	4	18.84	ok	1786940041.291
8.613	0	21.67	ok	1786940041.388
8.621	3	22.36	ok	1786940041.396
8.667	1	18.5	ok	1786940041.442
8.721	2	19.14	ok	1786940041.496
8.85	4	19.12	ok	1786940041.625
8.946	0	18.57	ok	1786940041.721
8.955	3	18.09	ok	1786940041.730
9.001	1	18.71	ok	1786940041.776
9.055	2	19.5	ok	1786940041.830
9.183	4	18.36	ok	1786940041.958
9.28	0	18.18	ok	1786940042.055
9.289	3	18.88	ok	1786940042.064
9.335	1	18.95	ok	1786940042.110
9.389	2	19.0	ok	1786940042.164
9.517	4	18.36	ok	1786940042.292
9.613	0	18.9	ok	1786940042.388
9.622	3	18.57	ok	1786940042.397
9.668	1	19.43	ok	1786940042.443
9.722	2	19.18	ok	1786940042.497
9.85	4	18.35	ok	1786940042.625
9.947	0	19.0	ok	1786940042.722
9.956	3	18.88	ok	1786940042.731
10.002	1	18.55	ok	1786940042.777
10.056	2	19.68	ok	1786940042.831
10.184	4	18.66	ok	1786940042.959
10.281	0	18.08	ok	1786940043.056
10.29	3	18.44	ok	1786940043.065
10.336	1	18.73	ok	1786940043.111
10.39	2	19.05	ok	1786940043.165
10.518	4	18.69	ok	1786940043.293
10.615	0	18.26	ok	1786940043.390
10.623	3	18.17	ok	1786940043.398
10.669	1	19.35	ok	1786940043.444
10.723	2	19.59	ok	1786940043.498
10.852	4	18.7	ok	1786940043.627
10.948	0	18.64	ok	1786940043.723
10.957	3	18.8	ok	1786940043.732
11.003	1	18.26	ok	1786940043.778
11.057	2	19.5	ok	1786940043.832
11.185	4	18.68	ok	1786940043.960
11.282	0	18.69	ok	1786940044.057
11.291	3	18.56	ok	1786940044.066
11.337	1	19.19	ok	1786940044.112
11.391	2	18.98	ok	1786940044.166
11.519	4	18.22	ok	1786940044.294
11.616	0	23.03	ok	1786940044.391
11.624	3	22.95	ok	1786940044.399
11.67	1	22.58	ok	1786940044.445
11.724	2	19.17	ok	1786940044.499
11.853	4	18.27	ok	1786940044.628
11.949	0	19.13	ok	1786940044.724
11.958	3	18.57	ok	1786940044.733
12.004	1	22.18	ok	1786940044.779
12.058	2	19.58	ok	1786940044.833
12.186	4	18.46	ok	1786940044.961
12.283	0	18.06	ok	1786940045.058
12.292	3	17.97	ok	1786940045.067
12.338	1	18.95	ok	1786940045.113
12.392	2	19.02	ok	1786940045.167
12.52	4	18.47	ok	1786940045.295
12.617	0	18.85	ok	1786940045.392
12.625	3	19.06	ok	1786940045.400
12.671	1	18.49	ok	1786940045.446
12.726	2	19.59	ok	1786940045.501
12.853	4	18.1	ok	1786940045.628
12.95	0	22.32	ok	1786940045.725
12.959	3	22.44	ok	1786940045.734
13.005	1	18.66	ok	1786940045.780
13.059	2	19.61	ok	1786940045.834
13.187	4	18.65	ok	1786940045.962
13.284	0	18.68	ok	1786940046.059
13.293	3	18.56	ok	1786940046.068
13.339	1	18.72	ok	1786940046.114
13.393	2	19.55	ok	1786940046.168
13.521	4	18.45	ok	1786940046.296
13.618	0	23.01	ok	1786940046.393
13.626	3	23.26	ok	1786940046.401
13.672	1	18.3	ok	1786940046.447
13.727	2	19.97	ok	1786940046.502
13.855	4	19.5	ok	1786940046.630
13.951	0	18.24	ok	1786940046.726
13.96	3	18.76	ok	1786940046.735
14.006	1	19.12	ok	1786940046.781
14.06	2	19.06	ok	1786940046.835
14.188	4	18.76	ok	1786940046.963
14.285	0	18.41	ok	1786940047.060
14.294	3	18.63	ok	1786940047.069
14.34	1	18.63	ok	1786940047.115
14.394	2	19.94	ok	1786940047.169
14.522	4	18.28	ok	1786940047.297
14.619	0	18.42	ok	1786940047.394
14.627	3	18.46	ok	1786940047.402
14.673	1	18.51	ok	1786940047.448
