t_rel	session	ms	outcome	t_abs
0.142	2	18.44	ok	1786940103.625
0.156	1	17.49	ok	1786940103.639
0.198	0	18.01	ok	1786940103.681
0.366	3	17.26	ok	1786940103.849
0.475	2	18.78	ok	1786940103.958
0.489	1	19.13	ok	1786940103.972
0.532	0	18.64	ok	1786940104.015
0.563	4	17.35	ok	1786940104.046
0.7	3	19.05	ok	1786940104.183
0.809	2	19.11	ok	1786940104.292
0.823	1	19.12	ok	1786940104.306
0.865	0	18.74	ok	1786940104.348
0.896	4	18.45	ok	1786940104.379
1.033	3	19.1	ok	1786940104.516
1.143	2	19.68	ok	1786940104.626
1.157	1	20.48	ok	1786940104.640
1.199	0	18.81	ok	1786940104.682
1.23	4	18.63	ok	1786940104.713
1.367	3	18.59	ok	1786940104.850
1.476	2	18.93	ok	1786940104.959
1.49	1	19.22	ok	1786940104.973
1.533	0	18.1	ok	1786940105.016
1.564	4	18.57	ok	1786940105.047
1.701	3	19.33	ok	1786940105.184
1.81	2	19.53	ok	1786940105.293
1.824	1	18.95	ok	1786940105.307
1.866	0	18.97	ok	1786940105.349
1.897	4	19.25	ok	1786940105.380
2.035	3	18.57	ok	1786940105.518
2.144	2	19.14	ok	1786940105.627
2.158	1	18.85	ok	1786940105.641
2.2	0	18.78	ok	1786940105.683
2.231	4	18.12	ok	1786940105.714
2.368	3	18.44	ok	1786940105.851
2.477	2	18.49	ok	1786940105.960
2.491	1	18.23	ok	1786940105.974
2.534	0	17.63	ok	1786940106.017
2.565	4	18.75	ok	1786940106.048
2.702	3	18.58	ok	1786940106.185
2.811	2	19.23	ok	1786940106.294
2.825	1	18.75	ok	1786940106.308
2.867	0	18.58	ok	1786940106.350
2.898	4	18.74	ok	1786940106.381
3.036	3	17.84	ok	1786940106.519
3.145	2	19.12	ok	1786940106.628
3.159	1	19.71	ok	1786940106.642
3.201	0	19.34	ok	1786940106.684
3.232	4	19.34	ok	1786940106.715
3.369	3	18.49	ok	1786940106.852
3.478	2	19.76	ok	1786940106.961
3.492	1	18.45	ok	1786940106.975
3.535	0	18.42	ok	1786940107.018
3.565	4	18.33	ok	1786940107.048
3.703	3	18.38	ok	1786940107.186
3.812	2	19.02	ok	1786940107.295
