t_rel	session	ms	outcome	t_abs
0.208	3	19.21	ok	1786940232.161
0.23	6	28.39	ok	1786940232.183
0.249	1	19.51	ok	1786940232.202
0.262	7	19.59	ok	1786940232.215
0.264	8	18.99	ok	1786940232.217
0.291	2	18.86	ok	1786940232.244
0.294	0	18.57	ok	1786940232.247
0.355	9	17.6	ok	1786940232.308
0.542	3	19.36	ok	1786940232.495
0.563	6	19.49	ok	1786940232.516
0.591	5	18.28	ok	1786940232.544
0.583	1	28.44	ok	1786940232.536
0.596	7	19.76	ok	1786940232.549
0.597	8	20.68	ok	1786940232.550
0.614	4	20.12	ok	1786940232.567
0.624	2	18.84	ok	1786940232.577
0.627	0	18.73	ok	1786940232.580
0.689	9	18.45	ok	1786940232.642
0.876	3	18.8	ok	1786940232.829
0.897	6	18.92	ok	1786940232.850
0.917	1	19.16	ok	1786940232.870
0.924	5	18.95	ok	1786940232.877
0.929	7	20.93	ok	1786940232.882
0.931	8	20.89	ok	1786940232.884
0.947	4	20.51	ok	1786940232.900
0.958	2	19.85	ok	1786940232.911
0.961	0	18.66	ok	1786940232.914
1.023	9	18.07	ok	1786940232.976
1.209	3	18.95	ok	1786940233.162
1.231	6	18.92	ok	1786940233.184
1.25	1	19.7	ok	1786940233.203
1.258	5	19.01	ok	1786940233.211
1.263	7	19.2	ok	1786940233.216
1.264	8	19.65	ok	1786940233.217
1.281	4	19.92	ok	1786940233.234
1.292	2	19.02	ok	1786940233.245
1.295	0	18.12	ok	1786940233.248
1.356	9	18.9	ok	1786940233.309
1.543	3	18.1	ok	1786940233.496
1.564	6	19.01	ok	1786940233.517
1.584	1	17.87	ok	1786940233.537
1.592	5	18.96	ok	1786940233.545
1.597	7	20.02	ok	1786940233.550
1.598	8	20.99	ok	1786940233.551
1.615	4	19.36	ok	1786940233.568
1.625	2	18.53	ok	1786940233.578
1.628	0	18.19	ok	1786940233.581
1.69	9	18.84	ok	1786940233.643
1.877	3	18.42	ok	1786940233.830
1.898	6	18.92	ok	1786940233.851
1.918	1	19.28	ok	1786940233.871
1.925	5	25.34	ok	1786940233.878
1.932	8	20.09	ok	1786940233.885
1.93	7	25.31	ok	1786940233.883
1.948	4	21.36	ok	1786940233.901
1.959	2	19.7	ok	1786940233.912
1.962	0	18.36	ok	1786940233.915
2.024	9	18.44	ok	1786940233.977
2.21	3	18.36	ok	1786940234.163
2.232	6	18.6	ok	1786940234.185
2.251	1	18.78	ok	1786940234.204
2.259	5	19.97	ok	1786940234.212
2.264	7	27.3	ok	1786940234.217
2.265	8	28.19	ok	1786940234.218
2.282	4	19.21	ok	1786940234.235
2.293	2	18.29	ok	1786940234.246
2.296	0	18.74	ok	1786940234.249
2.357	9	18.87	ok	1786940234.310
2.544	3	18.38	ok	1786940234.497
2.565	6	18.47	ok	1786940234.518
2.585	1	19.24	ok	1786940234.538
2.593	5	26.07	ok	1786940234.546
2.598	7	21.97	ok	1786940234.551
2.599	8	25.23	ok	1786940234.552
2.616	4	19.63	ok	1786940234.569
2.626	2	18.44	ok	1786940234.579
2.629	0	18.29	ok	1786940234.582
2.691	9	18.69	ok	1786940234.644
2.878	3	18.43	ok	1786940234.831
2.899	6	18.5	ok	1786940234.852
2.919	1	20.77	ok	1786940234.872
2.926	5	19.23	ok	1786940234.879
2.931	7	20.98	ok	1786940234.884
2.933	8	21.03	ok	1786940234.886
2.949	4	20.58	ok	1786940234.902
2.96	2	19.31	ok	1786940234.913
2.963	0	18.95	ok	1786940234.916
3.024	9	18.49	ok	1786940234.977
3.212	3	19.18	ok	1786940235.165
3.233	6	19.06	ok	1786940235.186
3.252	1	19.47	ok	1786940235.205
3.26	5	25.78	ok	1786940235.213
3.265	7	21.03	ok	1786940235.218
3.266	8	24.9	ok	1786940235.219
3.283	4	19.05	ok	1786940235.236
3.294	2	18.68	ok	1786940235.247
3.297	0	17.78	ok	1786940235.250
3.358	9	19.1	ok	1786940235.311
3.545	3	18.89	ok	1786940235.498
3.566	6	18.94	ok	1786940235.519
3.586	1	18.24	ok	1786940235.539
3.594	5	19.23	ok	1786940235.547
3.599	7	18.97	ok	1786940235.552
3.6	8	20.01	ok	1786940235.553
3.617	4	19.65	ok	1786940235.570
3.628	2	18.59	ok	1786940235.581
3.63	0	18.48	ok	1786940235.583
3.692	9	18.61	ok	1786940235.645
3.879	3	18.55	ok	1786940235.832
3.9	6	18.75	ok	1786940235.853
3.92	1	19.36	ok	1786940235.873
3.927	5	19.32	ok	1786940235.880
3.932	7	20.56	ok	1786940235.885
3.934	8	20.61	ok	1786940235.887
3.95	4	21.15	ok	1786940235.903
3.961	2	18.8	ok	1786940235.914
3.964	0	18.96	ok	1786940235.917
4.025	9	18.48	ok	1786940235.978
4.213	3	18.94	ok	1786940236.166
4.234	6	18.6	ok	1786940236.187
4.253	1	18.37	ok	1786940236.206
4.261	5	18.7	ok	1786940236.214
4.266	7	18.86	ok	1786940236.219
4.267	8	20.44	ok	1786940236.220
4.284	4	19.76	ok	1786940236.237
4.295	2	18.44	ok	1786940236.248
4.298	0	18.38	ok	1786940236.251
4.359	9	18.93	ok	1786940236.312
4.546	3	18.06	ok	1786940236.499
4.567	6	18.65	ok	1786940236.520
4.587	1	18.56	ok	1786940236.540
4.595	5	18.58	ok	1786940236.548
4.6	7	19.45	ok	1786940236.553
4.601	8	20.28	ok	1786940236.554
4.618	4	20.16	ok	1786940236.571
4.629	2	18.24	ok	1786940236.582
4.631	0	18.46	ok	1786940236.584
4.693	9	18.26	ok	1786940236.646
4.88	3	18.77	ok	1786940236.833
4.901	6	18.89	ok	1786940236.854
4.92	1	23.61	ok	1786940236.873
4.933	7	18.52	ok	1786940236.886
4.928	5	25.65	ok	1786940236.881
4.935	8	21.47	ok	1786940236.888
4.952	4	19.96	ok	1786940236.905
4.962	2	18.51	ok	1786940236.915
4.965	0	17.6	ok	1786940236.918
5.026	9	19.12	ok	1786940236.979
5.214	3	19.17	ok	1786940237.167
5.235	6	18.62	ok	1786940237.188
5.254	1	19.2	ok	1786940237.207
5.262	5	19.11	ok	1786940237.215
5.267	7	19.05	ok	1786940237.220
5.268	8	20.77	ok	1786940237.221
5.285	4	21.61	ok	1786940237.238
5.296	2	18.65	ok	1786940237.249
5.299	0	20.25	ok	1786940237.252
5.36	9	18.4	ok	1786940237.313
5.547	3	19.02	ok	1786940237.500
5.568	6	18.44	ok	1786940237.521
5.588	1	17.94	ok	1786940237.541
5.596	5	18.01	ok	1786940237.549
5.601	7	18.85	ok	1786940237.554
5.602	8	19.71	ok	1786940237.555
5.619	4	19.55	ok	1786940237.572
