t_rel	session	ms	outcome	t_abs
0.205	1	19.9	ok	1786940285.112
0.217	3	20.54	ok	1786940285.124
0.222	9	24.44	ok	1786940285.129
0.231	8	18.91	ok	1786940285.138
0.305	6	18.16	ok	1786940285.212
0.34	2	19.46	ok	1786940285.247
0.359	0	17.57	ok	1786940285.266
0.367	7	17.35	ok	1786940285.274
0.539	1	19.63	ok	1786940285.446
0.553	4	18.4	ok	1786940285.460
0.551	3	23.51	ok	1786940285.458
0.555	9	20.0	ok	1786940285.462
0.565	8	21.11	ok	1786940285.472
0.639	6	26.52	ok	1786940285.546
0.674	2	21.99	ok	1786940285.581
0.678	5	18.5	ok	1786940285.585
0.693	0	20.15	ok	1786940285.600
0.701	7	17.79	ok	1786940285.608
0.872	1	20.1	ok	1786940285.779
0.885	3	21.45	ok	1786940285.792
0.886	4	26.76	ok	1786940285.793
0.889	9	27.6	ok	1786940285.796
0.898	8	19.7	ok	1786940285.805
0.973	6	19.31	ok	1786940285.880
1.007	2	19.09	ok	1786940285.914
1.011	5	18.8	ok	1786940285.918
1.027	0	19.02	ok	1786940285.934
1.034	7	18.47	ok	1786940285.941
1.206	1	20.65	ok	1786940286.113
1.218	3	19.86	ok	1786940286.125
1.223	9	19.84	ok	1786940286.130
1.22	4	24.12	ok	1786940286.127
1.232	8	19.4	ok	1786940286.139
1.306	6	18.96	ok	1786940286.213
1.341	2	19.51	ok	1786940286.248
1.345	5	19.07	ok	1786940286.252
1.36	0	18.97	ok	1786940286.267
1.368	7	18.13	ok	1786940286.275
1.54	1	19.42	ok	1786940286.447
1.552	3	18.69	ok	1786940286.459
1.554	4	19.4	ok	1786940286.461
1.556	9	18.98	ok	1786940286.463
1.566	8	18.72	ok	1786940286.473
1.64	6	18.1	ok	1786940286.547
1.675	2	18.85	ok	1786940286.582
1.679	5	19.08	ok	1786940286.586
1.694	0	19.06	ok	1786940286.601
1.702	7	18.72	ok	1786940286.609
1.873	1	21.11	ok	1786940286.780
1.886	3	19.34	ok	1786940286.793
1.887	4	18.99	ok	1786940286.794
1.89	9	22.21	ok	1786940286.797
1.9	8	22.44	ok	1786940286.807
1.974	6	18.06	ok	1786940286.881
2.008	2	19.61	ok	1786940286.915
2.012	5	18.91	ok	1786940286.919
2.028	0	18.99	ok	1786940286.935
2.035	7	18.43	ok	1786940286.942
2.207	1	19.3	ok	1786940287.114
2.219	3	19.23	ok	1786940287.126
2.221	4	18.95	ok	1786940287.128
2.224	9	18.67	ok	1786940287.131
2.233	8	19.03	ok	1786940287.140
2.307	6	18.94	ok	1786940287.214
2.342	2	18.97	ok	1786940287.249
2.346	5	18.73	ok	1786940287.253
2.361	0	18.5	ok	1786940287.268
2.369	7	18.24	ok	1786940287.276
2.541	1	20.28	ok	1786940287.448
2.555	4	19.99	ok	1786940287.462
2.553	3	25.49	ok	1786940287.460
2.557	9	26.97	ok	1786940287.464
2.567	8	18.69	ok	1786940287.474
2.641	6	18.15	ok	1786940287.548
2.675	2	19.87	ok	1786940287.582
2.68	5	18.76	ok	1786940287.587
2.695	0	20.56	ok	1786940287.602
2.703	7	19.4	ok	1786940287.610
2.874	1	19.25	ok	1786940287.781
2.887	3	19.19	ok	1786940287.794
2.888	4	18.98	ok	1786940287.795
2.891	9	18.73	ok	1786940287.798
2.901	8	18.65	ok	1786940287.808
2.975	6	18.06	ok	1786940287.882
3.009	2	19.86	ok	1786940287.916
3.013	5	19.06	ok	1786940287.920
3.029	0	26.37	ok	1786940287.936
3.037	7	23.94	ok	1786940287.944
3.208	1	19.26	ok	1786940288.115
3.22	3	21.22	ok	1786940288.127
3.222	4	20.11	ok	1786940288.129
3.225	9	21.5	ok	1786940288.132
3.234	8	22.22	ok	1786940288.141
3.308	6	19.1	ok	1786940288.215
3.343	2	19.76	ok	1786940288.250
3.347	5	18.92	ok	1786940288.254
3.362	0	19.51	ok	1786940288.269
3.37	7	18.2	ok	1786940288.277
3.542	1	19.54	ok	1786940288.449
3.554	3	20.45	ok	1786940288.461
3.556	4	19.34	ok	1786940288.463
3.558	9	19.12	ok	1786940288.465
3.568	8	18.5	ok	1786940288.475
3.642	6	17.79	ok	1786940288.549
3.676	2	18.46	ok	1786940288.583
3.681	5	18.24	ok	1786940288.588
3.696	0	19.07	ok	1786940288.603
3.704	7	18.76	ok	1786940288.611
3.875	1	20.05	ok	1786940288.782
3.888	3	18.47	ok	1786940288.795
3.889	4	19.03	ok	1786940288.796
3.892	9	19.65	ok	1786940288.799
3.902	8	18.28	ok	1786940288.809
3.976	6	18.61	ok	1786940288.883
4.01	2	18.74	ok	1786940288.917
4.014	5	18.6	ok	1786940288.921
4.03	0	20.16	ok	1786940288.937
4.038	7	18.75	ok	1786940288.945
4.209	1	19.22	ok	1786940289.116
4.221	3	18.91	ok	1786940289.128
4.223	4	20.66	ok	1786940289.130
4.226	9	20.59	ok	1786940289.133
4.235	8	20.54	ok	1786940289.142
4.309	6	19.12	ok	1786940289.216
4.344	2	18.87	ok	1786940289.251
4.348	5	18.85	ok	1786940289.255
4.363	0	19.79	ok	1786940289.270
4.371	7	19.0	ok	1786940289.278
4.543	1	19.69	ok	1786940289.450
4.555	3	19.01	ok	1786940289.462
4.557	4	26.87	ok	1786940289.464
4.559	9	27.16	ok	1786940289.466
4.569	8	18.92	ok	1786940289.476
4.643	6	18.43	ok	1786940289.550
4.678	2	18.45	ok	1786940289.585
4.681	5	18.52	ok	1786940289.588
4.697	0	19.52	ok	1786940289.604
4.705	7	18.47	ok	1786940289.612
4.876	1	20.03	ok	1786940289.783
4.889	3	19.81	ok	1786940289.796
4.89	4	19.14	ok	1786940289.797
4.893	9	20.38	ok	1786940289.800
4.903	8	18.71	ok	1786940289.810
4.977	6	18.51	ok	1786940289.884
5.011	2	18.49	ok	1786940289.918
5.015	5	19.75	ok	1786940289.922
5.031	0	25.14	ok	1786940289.938
5.039	7	23.87	ok	1786940289.946
5.21	1	18.81	ok	1786940290.117
5.222	3	20.7	ok	1786940290.129
5.224	4	19.5	ok	1786940290.131
5.227	9	18.46	ok	1786940290.134
5.236	8	18.83	ok	1786940290.143
5.31	6	18.19	ok	1786940290.217
5.345	2	19.64	ok	1786940290.252
5.349	5	18.64	ok	1786940290.256
5.364	0	19.35	ok	1786940290.271
5.372	7	17.89	ok	1786940290.279
5.544	1	19.91	ok	1786940290.451
5.556	3	18.82	ok	1786940290.463
5.558	4	19.2	ok	1786940290.465
5.561	9	18.87	ok	1786940290.468
5.57	8	19.04	ok	1786940290.477
5.644	6	18.84	ok	1786940290.551
5.679	2	18.73	ok	1786940290.586
5.682	5	19.4	ok	1786940290.589
5.698	0	18.37	ok	1786940290.605
5.706	7	19.0	ok	1786940290.613
5.878	1	19.75	ok	1786940290.785
5.894	9	19.31	ok	1786940290.801
5.89	3	27.57	ok	1786940290.797
5.891	4	28.62	ok	1786940290.798
5.903	8	18.86	ok	1786940290.810
5.978	6	18.23	ok	1786940290.885
6.012	2	19.79	ok	1786940290.919
6.016	5	18.83	ok	1786940290.923
6.032	0	19.56	ok	1786940290.939
6.04	7	18.64	ok	1786940290.947
6.211	1	19.08	ok	1786940291.118
6.223	3	20.65	ok	1786940291.130
6.225	4	19.6	ok	1786940291.132
6.228	9	18.68	ok	1786940291.135
6.237	8	19.4	ok	1786940291.144
6.311	6	18.47	ok	1786940291.218
6.346	2	19.45	ok	1786940291.253
6.35	5	18.88	ok	1786940291.257
6.365	0	22.52	ok	1786940291.272
6.373	7	18.23	ok	1786940291.280
6.545	1	20.76	ok	1786940291.452
6.557	3	19.98	ok	1786940291.464
6.559	4	26.28	ok	1786940291.466
6.562	9	27.32	ok	1786940291.469
6.571	8	19.16	ok	1786940291.478
6.645	6	18.77	ok	1786940291.552
6.68	2	18.94	ok	1786940291.587
6.683	5	19.63	ok	1786940291.590
6.699	0	19.9	ok	1786940291.606
6.707	7	19.13	ok	1786940291.614
6.879	1	19.28	ok	1786940291.786
6.891	3	18.92	ok	1786940291.798
6.892	4	18.91	ok	1786940291.799
6.895	9	19.73	ok	1786940291.802
6.904	8	18.83	ok	1786940291.811
6.979	6	18.06	ok	1786940291.886
7.013	2	19.86	ok	1786940291.920
7.017	5	19.11	ok	1786940291.924
7.033	0	21.44	ok	1786940291.940
7.041	7	18.64	ok	1786940291.948
7.212	1	20.18	ok	1786940292.119
7.224	3	20.24	ok	1786940292.131
7.226	4	20.08	ok	1786940292.133
7.229	9	19.89	ok	1786940292.136
7.238	8	18.31	ok	1786940292.145
7.312	6	18.93	ok	1786940292.219
7.347	2	27.09	ok	1786940292.254
7.351	5	26.73	ok	1786940292.258
7.366	0	20.9	ok	1786940292.273
7.374	7	19.26	ok	1786940292.281
7.546	1	20.2	ok	1786940292.453
7.558	3	19.41	ok	1786940292.465
7.56	4	19.41	ok	1786940292.467
7.562	9	18.9	ok	1786940292.469
7.572	8	18.67	ok	1786940292.479
7.646	6	19.0	ok	1786940292.553
7.681	2	18.57	ok	1786940292.588
7.684	5	19.86	ok	1786940292.591
7.7	0	18.5	ok	1786940292.607
7.708	7	18.4	ok	1786940292.615
7.88	1	18.72	ok	1786940292.787
7.892	3	21.05	ok	1786940292.799
7.893	4	19.93	ok	1786940292.800
7.896	9	18.74	ok	1786940292.803
7.905	8	19.01	ok	1786940292.812
7.98	6	18.48	ok	1786940292.887
8.014	2	19.15	ok	1786940292.921
8.018	5	18.97	ok	1786940292.925
8.034	0	19.77	ok	1786940292.941
8.042	7	17.81	ok	1786940292.949
8.213	1	20.26	ok	1786940293.120
8.23	9	20.27	ok	1786940293.137
8.225	3	27.44	ok	1786940293.132
8.227	4	27.48	ok	1786940293.134
8.239	8	17.78	ok	1786940293.146
8.313	6	18.78	ok	1786940293.220
8.348	2	18.99	ok	1786940293.255
8.352	5	18.49	ok	1786940293.259
8.367	0	19.06	ok	1786940293.274
8.375	7	18.2	ok	1786940293.282
8.547	1	19.33	ok	1786940293.454
8.559	3	18.35	ok	1786940293.466
8.561	4	26.42	ok	1786940293.468
8.563	9	27.11	ok	1786940293.470
8.573	8	18.97	ok	1786940293.480
8.647	6	19.22	ok	1786940293.554
8.682	2	18.76	ok	1786940293.589
8.685	5	19.6	ok	1786940293.592
8.701	0	19.03	ok	1786940293.608
8.709	7	17.93	ok	1786940293.616
8.881	1	19.91	ok	1786940293.788
8.893	3	18.85	ok	1786940293.800
8.894	4	18.69	ok	1786940293.801
8.897	9	19.21	ok	1786940293.804
8.906	8	19.17	ok	1786940293.813
8.981	6	18.63	ok	1786940293.888
9.015	2	19.24	ok	1786940293.922
9.019	5	19.91	ok	1786940293.926
9.035	0	20.07	ok	1786940293.942
9.043	7	18.28	ok	1786940293.950
9.214	1	18.78	ok	1786940294.121
9.231	9	19.2	ok	1786940294.138
9.226	3	27.5	ok	1786940294.133
9.228	4	27.9	ok	1786940294.135
9.24	8	18.24	ok	1786940294.147
9.314	6	19.0	ok	1786940294.221
9.349	2	19.46	ok	1786940294.256
9.353	5	18.8	ok	1786940294.260
9.369	0	19.28	ok	1786940294.276
9.376	7	23.76	ok	1786940294.283
9.548	1	19.29	ok	1786940294.455
9.56	3	18.81	ok	1786940294.467
9.562	4	18.3	ok	1786940294.469
9.564	9	19.52	ok	1786940294.471
9.574	8	19.09	ok	1786940294.481
9.648	6	18.46	ok	1786940294.555
9.683	2	19.39	ok	1786940294.590
9.686	5	18.51	ok	1786940294.593
9.702	0	19.22	ok	1786940294.609
9.71	7	18.73	ok	1786940294.617
9.882	1	18.73	ok	1786940294.789
9.894	3	20.71	ok	1786940294.801
9.895	4	19.57	ok	1786940294.802
9.898	9	18.49	ok	1786940294.805
9.907	8	19.21	ok	1786940294.814
9.982	6	18.27	ok	1786940294.889
10.016	2	19.31	ok	1786940294.923
10.02	5	19.04	ok	1786940294.927
10.036	0	18.82	ok	1786940294.943
10.044	7	18.56	ok	1786940294.951
10.216	1	19.59	ok	1786940295.123
10.227	3	19.21	ok	1786940295.134
10.229	4	18.98	ok	1786940295.136
10.232	9	18.0	ok	1786940295.139
10.241	8	18.28	ok	1786940295.148
10.315	6	18.82	ok	1786940295.222
10.35	2	19.16	ok	1786940295.257
10.354	5	19.65	ok	1786940295.261
10.37	0	19.06	ok	1786940295.277
10.377	7	18.85	ok	1786940295.284
10.549	1	19.53	ok	1786940295.456
10.561	3	20.49	ok	1786940295.468
10.563	4	19.66	ok	1786940295.470
10.565	9	20.53	ok	1786940295.472
10.575	8	19.27	ok	1786940295.482
10.649	6	18.66	ok	1786940295.556
10.684	2	19.05	ok	1786940295.591
10.687	5	19.6	ok	1786940295.594
10.703	0	19.89	ok	1786940295.610
10.711	7	18.36	ok	1786940295.618
10.883	1	20.08	ok	1786940295.790
10.895	3	19.31	ok	1786940295.802
10.896	4	19.12	ok	1786940295.803
10.899	9	18.82	ok	1786940295.806
10.908	8	18.08	ok	1786940295.815
10.983	6	18.9	ok	1786940295.890
11.017	2	26.22	ok	1786940295.924
11.021	5	26.68	ok	1786940295.928
11.037	0	19.33	ok	1786940295.944
11.045	7	19.18	ok	1786940295.952
11.217	1	19.91	ok	1786940296.124
11.228	3	18.44	ok	1786940296.135
11.23	4	19.57	ok	1786940296.137
11.233	9	18.87	ok	1786940296.140
11.242	8	20.47	ok	1786940296.149
11.317	6	18.34	ok	1786940296.224
11.351	2	18.91	ok	1786940296.258
11.355	5	18.65	ok	1786940296.262
11.371	0	24.21	ok	1786940296.278
11.378	7	23.72	ok	1786940296.285
11.55	1	19.02	ok	1786940296.457
11.562	3	19.79	ok	1786940296.469
11.564	4	20.26	ok	1786940296.471
11.566	9	19.8	ok	1786940296.473
11.576	8	20.32	ok	1786940296.483
