t_rel	session	ms	outcome	t_abs
0.159	2	18.43	ok	1786940156.537
0.177	1	17.91	ok	1786940156.555
0.183	4	17.38	ok	1786940156.561
0.363	0	17.84	ok	1786940156.741
0.492	2	18.97	ok	1786940156.870
0.511	1	19.02	ok	1786940156.889
0.517	4	18.16	ok	1786940156.895
0.563	3	18.53	ok	1786940156.941
0.697	0	19.61	ok	1786940157.075
0.826	2	18.61	ok	1786940157.204
0.845	1	18.68	ok	1786940157.223
0.85	4	18.63	ok	1786940157.228
0.896	3	18.39	ok	1786940157.274
1.031	0	19.12	ok	1786940157.409
1.16	2	18.49	ok	1786940157.538
1.178	1	19.22	ok	1786940157.556
1.184	4	19.25	ok	1786940157.562
1.23	3	18.33	ok	1786940157.608
1.365	0	19.07	ok	1786940157.743
1.493	2	19.05	ok	1786940157.871
1.512	1	19.58	ok	1786940157.890
1.518	4	19.19	ok	1786940157.896
1.564	3	18.7	ok	1786940157.942
1.698	0	18.35	ok	1786940158.076
1.827	2	18.32	ok	1786940158.205
1.846	1	18.71	ok	1786940158.224
1.851	4	19.69	ok	1786940158.229
1.897	3	18.52	ok	1786940158.275
2.032	0	18.33	ok	1786940158.410
2.161	2	18.23	ok	1786940158.539
2.179	1	19.28	ok	1786940158.557
2.185	4	19.07	ok	1786940158.563
2.231	3	19.06	ok	1786940158.609
2.366	0	19.38	ok	1786940158.744
2.494	2	18.46	ok	1786940158.872
2.513	1	19.34	ok	1786940158.891
2.519	4	18.72	ok	1786940158.897
2.565	3	18.36	ok	1786940158.943
2.699	0	18.94	ok	1786940159.077
2.828	2	18.54	ok	1786940159.206
2.847	1	18.84	ok	1786940159.225
2.852	4	19.1	ok	1786940159.230
2.898	3	18.68	ok	1786940159.276
3.033	0	18.39	ok	1786940159.411
3.162	2	18.86	ok	1786940159.540
3.181	1	18.49	ok	1786940159.559
3.186	4	19.03	ok	1786940159.564
3.232	3	18.23	ok	1786940159.610
3.367	0	18.37	ok	1786940159.745
3.495	2	18.38	ok	1786940159.873
3.514	1	18.62	ok	1786940159.892
3.52	4	18.45	ok	1786940159.898
3.566	3	18.92	ok	1786940159.944
3.7	0	18.17	ok	1786940160.078
3.829	2	18.27	ok	1786940160.207
3.848	1	18.35	ok	1786940160.226
3.853	4	18.6	ok	1786940160.231
3.899	3	18.35	ok	1786940160.277
4.034	0	18.25	ok	1786940160.412
4.163	2	18.57	ok	1786940160.541
4.182	1	19.63	ok	1786940160.560
4.187	4	18.55	ok	1786940160.565
4.233	3	18.5	ok	1786940160.611
4.368	0	18.25	ok	1786940160.746
4.497	2	18.07	ok	1786940160.875
4.515	1	18.92	ok	1786940160.893
4.521	4	18.63	ok	1786940160.899
4.567	3	18.43	ok	1786940160.945
4.701	0	18.67	ok	1786940161.079
4.83	2	18.15	ok	1786940161.208
4.849	1	19.13	ok	1786940161.227
4.854	4	19.51	ok	1786940161.232
4.9	3	18.24	ok	1786940161.278
5.035	0	18.69	ok	1786940161.413
5.164	2	18.54	ok	1786940161.542
5.183	1	19.09	ok	1786940161.561
5.188	4	18.37	ok	1786940161.566
5.234	3	18.62	ok	1786940161.612
5.369	0	18.63	ok	1786940161.747
5.498	2	19.19	ok	1786940161.876
5.516	1	18.78	ok	1786940161.894
5.522	4	18.9	ok	1786940161.900
