t_rel	session	ms	outcome	t_abs
0.166	1	19.0	ok	1786939840.523
0.203	4	17.54	ok	1786939840.560
0.339	3	28.84	ok	1786939840.696
0.339	0	29.73	ok	1786939840.696
0.5	1	18.7	ok	1786939840.857
0.537	4	18.22	ok	1786939840.894
0.616	2	17.99	ok	1786939840.973
0.673	3	20.22	ok	1786939841.030
0.672	0	21.42	ok	1786939841.029
0.834	1	18.48	ok	1786939841.191
0.87	4	18.37	ok	1786939841.227
0.95	2	27.98	ok	1786939841.307
1.006	3	18.5	ok	1786939841.363
1.006	0	20.23	ok	1786939841.363
1.167	1	18.82	ok	1786939841.524
1.204	4	21.06	ok	1786939841.561
1.284	2	18.37	ok	1786939841.641
1.34	0	18.96	ok	1786939841.697
1.34	3	19.88	ok	1786939841.697
1.501	1	18.45	ok	1786939841.858
1.538	4	18.76	ok	1786939841.895
1.617	2	27.48	ok	1786939841.974
1.673	0	19.77	ok	1786939842.030
1.674	3	20.89	ok	1786939842.031
1.835	1	18.88	ok	1786939842.192
1.871	4	18.7	ok	1786939842.228
1.951	2	18.19	ok	1786939842.308
2.007	0	18.64	ok	1786939842.364
2.007	3	19.2	ok	1786939842.364
2.168	1	19.17	ok	1786939842.525
2.205	4	17.55	ok	1786939842.562
2.284	2	18.27	ok	1786939842.641
2.341	0	18.61	ok	1786939842.698
2.341	3	19.25	ok	1786939842.698
2.502	1	18.07	ok	1786939842.859
2.539	4	18.53	ok	1786939842.896
2.618	2	18.88	ok	1786939842.975
2.675	3	19.19	ok	1786939843.032
2.674	0	20.15	ok	1786939843.031
2.836	1	18.93	ok	1786939843.193
2.872	4	18.65	ok	1786939843.229
2.952	2	18.24	ok	1786939843.309
3.008	3	18.72	ok	1786939843.365
3.008	0	20.61	ok	1786939843.365
3.169	1	23.86	ok	1786939843.526
3.206	4	18.01	ok	1786939843.563
3.286	2	19.58	ok	1786939843.643
3.342	0	29.79	ok	1786939843.699
3.342	3	31.21	ok	1786939843.699
3.503	1	19.11	ok	1786939843.860
3.54	4	18.39	ok	1786939843.897
3.619	2	26.11	ok	1786939843.976
3.675	0	20.23	ok	1786939844.032
3.676	3	20.49	ok	1786939844.033
3.837	1	19.02	ok	1786939844.194
3.873	4	18.62	ok	1786939844.230
3.953	2	18.8	ok	1786939844.310
4.009	0	18.91	ok	1786939844.366
4.009	3	19.94	ok	1786939844.366
4.17	1	18.23	ok	1786939844.527
4.207	4	18.67	ok	1786939844.564
4.287	2	18.41	ok	1786939844.644
4.343	0	19.58	ok	1786939844.700
4.343	3	19.82	ok	1786939844.700
4.504	1	18.15	ok	1786939844.861
4.541	4	18.09	ok	1786939844.898
4.62	2	18.18	ok	1786939844.977
4.676	0	18.99	ok	1786939845.033
4.677	3	19.99	ok	1786939845.034
4.838	1	18.15	ok	1786939845.195
4.875	4	18.88	ok	1786939845.232
4.954	2	18.19	ok	1786939845.311
5.01	0	18.27	ok	1786939845.367
5.01	3	19.12	ok	1786939845.367
5.171	1	18.11	ok	1786939845.528
5.208	4	18.39	ok	1786939845.565
5.288	2	26.6	ok	1786939845.645
5.344	0	19.37	ok	1786939845.701
5.344	3	20.3	ok	1786939845.701
5.505	1	18.31	ok	1786939845.862
5.542	4	18.31	ok	1786939845.899
5.621	2	18.75	ok	1786939845.978
5.678	0	19.83	ok	1786939846.035
5.678	3	20.1	ok	1786939846.035
5.839	1	18.65	ok	1786939846.196
5.876	4	18.65	ok	1786939846.233
5.955	2	18.89	ok	1786939846.312
6.011	3	18.92	ok	1786939846.368
6.011	0	20.86	ok	1786939846.368
6.172	1	18.67	ok	1786939846.529
