t_rel	session	ms	outcome	t_abs
0.142	1	17.94	ok	1786939892.631
0.166	2	18.99	ok	1786939892.655
0.18	3	17.57	ok	1786939892.669
0.343	0	18.74	ok	1786939892.832
0.475	1	18.63	ok	1786939892.964
0.499	2	18.11	ok	1786939892.988
0.514	3	20.61	ok	1786939893.003
0.59	4	19.48	ok	1786939893.079
0.676	0	19.46	ok	1786939893.165
0.809	1	18.84	ok	1786939893.298
0.833	2	19.34	ok	1786939893.322
0.847	3	18.77	ok	1786939893.336
0.923	4	19.89	ok	1786939893.412
1.01	0	18.98	ok	1786939893.499
1.143	1	18.5	ok	1786939893.632
1.167	2	18.0	ok	1786939893.656
1.181	3	19.29	ok	1786939893.670
1.257	4	18.93	ok	1786939893.746
1.344	0	19.74	ok	1786939893.833
1.476	1	18.73	ok	1786939893.965
1.5	2	17.93	ok	1786939893.989
1.515	3	19.4	ok	1786939894.004
1.591	4	19.47	ok	1786939894.080
1.677	0	19.5	ok	1786939894.166
1.81	1	18.46	ok	1786939894.299
1.834	2	18.32	ok	1786939894.323
1.848	3	19.31	ok	1786939894.337
1.924	4	19.8	ok	1786939894.413
2.011	0	18.99	ok	1786939894.500
2.144	1	18.54	ok	1786939894.633
2.168	2	18.73	ok	1786939894.657
2.182	3	18.97	ok	1786939894.671
2.258	4	18.83	ok	1786939894.747
2.345	0	18.73	ok	1786939894.834
2.477	1	19.36	ok	1786939894.966
2.501	2	18.98	ok	1786939894.990
2.516	3	18.4	ok	1786939895.005
2.592	4	19.84	ok	1786939895.081
2.678	0	18.61	ok	1786939895.167
2.811	1	18.12	ok	1786939895.300
2.835	2	18.74	ok	1786939895.324
2.849	3	20.59	ok	1786939895.338
2.925	4	19.9	ok	1786939895.414
3.012	0	19.28	ok	1786939895.501
3.145	1	18.48	ok	1786939895.634
3.169	2	18.81	ok	1786939895.658
3.183	3	18.62	ok	1786939895.672
3.259	4	18.86	ok	1786939895.748
3.346	0	18.67	ok	1786939895.835
3.479	1	18.65	ok	1786939895.968
3.502	2	17.94	ok	1786939895.991
3.517	3	18.5	ok	1786939896.006
3.593	4	19.78	ok	1786939896.082
3.679	0	18.55	ok	1786939896.168
3.812	1	18.0	ok	1786939896.301
3.836	2	18.34	ok	1786939896.325
3.85	3	19.59	ok	1786939896.339
3.926	4	20.1	ok	1786939896.415
4.013	0	18.66	ok	1786939896.502
4.146	1	18.98	ok	1786939896.635
4.17	2	17.91	ok	1786939896.659
4.184	3	20.0	ok	1786939896.673
4.26	4	18.8	ok	1786939896.749
4.347	0	18.58	ok	1786939896.836
4.48	1	18.79	ok	1786939896.969
4.503	2	19.13	ok	1786939896.992
4.518	3	18.53	ok	1786939897.007
4.594	4	19.6	ok	1786939897.083
4.68	0	21.34	ok	1786939897.169
4.813	1	18.7	ok	1786939897.302
4.837	2	18.55	ok	1786939897.326
4.851	3	18.27	ok	1786939897.340
4.927	4	19.91	ok	1786939897.416
5.014	0	19.63	ok	1786939897.503
5.147	1	18.47	ok	1786939897.636
5.171	2	19.01	ok	1786939897.660
5.185	3	18.7	ok	1786939897.674
5.261	4	19.82	ok	1786939897.750
5.348	0	19.64	ok	1786939897.837
5.48	1	18.69	ok	1786939897.969
5.504	2	19.01	ok	1786939897.993
5.519	3	19.62	ok	1786939898.008
5.595	4	19.55	ok	1786939898.084
5.681	0	19.09	ok	1786939898.170
5.814	1	17.8	ok	1786939898.303
5.838	2	18.22	ok	1786939898.327
5.852	3	20.24	ok	1786939898.341
5.928	4	19.41	ok	1786939898.417
6.015	0	18.74	ok	1786939898.504
6.148	1	18.59	ok	1786939898.637
6.172	2	18.67	ok	1786939898.661
6.186	3	19.3	ok	1786939898.675
6.262	4	19.42	ok	1786939898.751
6.349	0	18.73	ok	1786939898.838
6.481	1	19.09	ok	1786939898.970
6.505	2	18.42	ok	1786939898.994
6.52	3	18.19	ok	1786939899.009
