1786939987	shadowfit-backend	139.84%	661.3MiB / 30.82GiB
1786939987	shadowfit-mysql	6.38%	533.5MiB / 30.82GiB
1786939987	shadowfit-ai	80.10%	911.7MiB / 19.53GiB
1786939994	shadowfit-backend	1.48%	662.3MiB / 30.82GiB
1786939994	shadowfit-mysql	0.58%	533.6MiB / 30.82GiB
1786939994	shadowfit-ai	33.39%	1011MiB / 19.53GiB
1786940002	shadowfit-backend	0.89%	664.2MiB / 30.82GiB
1786940002	shadowfit-mysql	0.60%	534MiB / 30.82GiB
1786940002	shadowfit-ai	33.86%	1.016GiB / 19.53GiB
1786940010	shadowfit-backend	1.93%	688.4MiB / 30.82GiB
1786940010	shadowfit-mysql	3.12%	535.6MiB / 30.82GiB
