arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail
A	discard	20	4796	60.04	100.00	25.4	39.7	43.2	0	0	0
A	r1	20	4795	60.00	100.00	25.2	36.9	41.7	0	0	0
A	r1	40	9586	119.88	100.00	27.9	42.1	46.7	0	0	0
A	r1	80	19182	239.83	100.00	40.0	73.5	112.3	0	0	0
A	r1	160	23336	291.75	100.00	542.6	600.6	622.9	0	0	0
A	r2	20	4798	60.04	100.00	26.7	40.8	45.9	0	0	0
A	r2	40	9587	119.87	100.00	29.1	45.4	51.8	0	0	0
A	r2	80	19186	240.07	100.00	72.4	125.9	144.7	0	0	0
A	r2	160	23337	291.75	100.00	542.9	599.0	616.3	0	0	0
A	r3	20	4800	60.04	100.00	25.6	39.2	43.4	0	0	0
A	r3	40	9592	119.92	100.00	26.6	42.0	50.0	0	0	0
A	r3	80	19182	239.81	100.00	41.8	81.9	118.7	0	0	0
A	r3	160	22965	287.09	100.00	551.2	613.7	638.0	0	0	0
B	discard	20	4793	59.91	100.00	26.0	40.0	43.6	0	0	0
B	r1	20	4797	60.01	100.00	24.7	35.0	40.5	0	0	0
B	r1	40	9593	119.92	100.00	28.5	45.9	53.3	0	0	0
B	r1	80	19186	239.84	100.00	42.2	84.1	119.8	0	0	0
B	r1	160	23204	290.05	100.00	545.7	601.5	622.0	0	0	0
B	r2	20	4798	60.00	100.00	25.2	39.0	42.1	0	0	0
B	r2	40	9593	119.94	100.00	26.8	40.2	45.7	0	0	0
B	r2	80	19184	239.81	100.00	43.9	80.3	113.0	0	0	0
B	r2	160	23202	290.06	100.00	545.5	601.6	625.2	0	0	0
B	r3	20	4798	60.04	100.00	25.3	41.1	44.0	0	0	0
B	r3	40	9590	119.90	100.00	27.7	44.0	53.4	0	0	0
B	r3	80	19195	239.97	100.00	46.3	89.5	122.4	0	0	0
B	r3	160	23228	290.37	100.00	544.7	602.5	620.3	0	0	0
C	discard	20	4792	59.92	100.00	24.3	34.2	40.5	0	0	0
C	r1	20	4793	59.95	100.00	25.2	39.2	42.7	0	0	0
C	r1	40	9595	119.95	100.00	28.2	42.5	49.2	0	0	0
C	r1	80	19187	239.99	100.00	139.6	215.8	260.6	0	0	0
C	r1	160	19607	245.12	100.00	652.0	710.9	741.0	0	0	0
C	r2	20	4798	59.98	100.00	24.9	38.5	41.6	0	0	0
C	r2	40	9594	120.00	100.00	30.7	51.6	58.8	0	0	0
C	r2	80	19187	239.87	100.00	138.7	206.5	287.0	0	0	0
C	r2	160	19572	244.71	100.00	651.9	712.9	744.6	0	0	0
C	r3	20	4795	59.99	100.00	25.0	38.1	40.8	0	0	0
C	r3	40	9593	119.93	100.00	29.3	45.4	52.6	0	0	0
C	r3	80	19187	239.90	100.00	147.2	246.1	282.0	0	0	0
C	r3	160	19526	244.09	100.00	654.9	709.6	739.7	0	0	0
