arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi
A	discard	20	4789	59.88	100.00	26.7	38.9	45.8	0	0	0	1786853977.606	1786854057.589
A	r1	20	4799	60.00	100.00	25.6	39.7	45.6	0	0	0	1786854090.850	1786854170.830
A	r1	40	9590	119.89	100.00	29.0	44.8	52.4	0	0	0	1786854206.102	1786854286.090
A	r1	60	14387	179.90	100.00	38.8	73.9	140.5	0	0	0	1786854323.078	1786854403.048
A	r1	80	19176	239.71	100.00	53.9	135.2	162.1	0	0	0	1786854441.948	1786854521.946
A	r1	120	21486	268.60	100.00	438.5	518.7	544.6	0	0	0	1786854564.390	1786854644.384
A	r1	160	21073	263.43	100.00	596.7	690.5	716.0	0	0	0	1786854690.850	1786854770.845
B	discard	20	4798	60.00	100.00	25.7	39.8	45.2	0	0	0	1786854831.458	1786854911.426
B	r1	20	4795	60.02	100.00	26.0	39.7	43.6	0	0	0	1786854954.805	1786855034.690
B	r1	40	9590	119.89	100.00	29.5	43.5	61.3	0	0	0	1786855079.569	1786855159.558
B	r1	60	14387	179.89	100.00	36.9	57.0	116.5	0	0	0	1786855204.512	1786855284.489
B	r1	80	19183	239.81	100.00	44.3	131.6	159.1	0	0	0	1786855329.619	1786855409.613
B	r1	120	21284	266.09	100.00	443.4	523.2	548.6	0	0	0	1786855457.086	1786855537.074
B	r1	160	20950	261.91	100.00	601.4	691.3	717.3	0	0	0	1786855588.149	1786855668.139
C	discard	20	4795	60.01	100.00	26.4	39.2	43.1	0	0	0	1786855756.945	1786855836.850
C	r1	20	4794	60.00	100.00	25.6	37.7	41.5	0	0	0	1786855879.610	1786855959.511
C	r1	40	9596	119.96	100.00	29.2	43.8	51.8	0	0	0	1786856004.083	1786856084.075
C	r1	60	14377	179.82	100.00	50.5	116.8	161.0	0	0	0	1786856129.457	1786856209.408
C	r1	80	19192	239.92	100.00	136.8	213.0	251.5	0	0	0	1786856254.594	1786856334.586
C	r1	120	19520	244.02	100.00	486.5	559.3	583.9	0	0	0	1786856382.309	1786856462.304
C	r1	160	19193	239.95	100.00	658.7	740.1	769.1	0	0	0	1786856513.874	1786856593.863
B	r2	20	4796	60.03	100.00	25.8	37.2	43.1	0	0	0	1786856682.559	1786856762.451
B	r2	40	9588	119.89	100.00	29.6	46.8	90.5	0	0	0	1786856807.232	1786856887.205
B	r2	60	14391	179.93	100.00	33.4	53.9	113.5	0	0	0	1786856932.376	1786857012.356
B	r2	80	19182	239.81	100.00	44.5	121.8	153.2	0	0	0	1786857057.468	1786857137.456
B	r2	120	21289	266.11	100.00	442.6	524.1	544.6	0	0	0	1786857185.290	1786857265.290
B	r2	160	21342	266.81	100.00	589.5	677.6	700.6	0	0	0	1786857317.052	1786857397.042
C	r2	20	4797	60.01	100.00	25.9	39.4	44.2	0	0	0	1786857485.416	1786857565.353
C	r2	40	9591	119.93	100.00	27.8	42.2	53.0	0	0	0	1786857609.756	1786857689.730
C	r2	60	14383	179.79	100.00	35.5	61.5	116.5	0	0	0	1786857735.300	1786857815.299
C	r2	80	19185	239.85	100.00	118.0	188.3	220.6	0	0	0	1786857860.350	1786857940.337
C	r2	120	19701	246.29	100.00	481.3	557.4	581.9	0	0	0	1786857988.075	1786858068.065
C	r2	160	19784	247.55	100.00	639.2	721.0	746.7	0	0	0	1786858119.890	1786858199.808
A	r2	20	4791	59.90	100.00	25.8	40.3	44.7	0	0	0	1786858283.283	1786858363.260
A	r2	40	9590	119.90	100.00	27.7	43.3	55.2	0	0	0	1786858398.498	1786858478.478
