arm	round	sessions	count	ok	rps	p10	p25	p50	p75	p90	p95	p99	avg	fastest	slowest
B	r1	120	1900	1899	18.99	7.99	8.53	9.14	9.82	10.76	11.59	12.99	9.3	5.94	23.37
B	r2	120	1899	1899	18.98	8.01	8.53	9.06	9.76	10.75	11.59	13.16	9.31	6.7	63.18
B	r3	120	1899	1899	18.97	8.05	8.51	9.09	9.78	10.6	11.45	12.58	9.26	5.99	25.95
C	r1	120	1899	1899	18.96	7.89	8.48	9.1	9.86	10.82	11.52	12.63	9.27	5.21	51.65
C	r2	120	1899	1899	18.99	7.97	8.48	9.08	9.83	10.77	11.52	12.69	9.28	6.6	32.94
C	r3	120	1899	1899	18.98	7.92	8.42	9.01	9.67	10.6	11.35	12.92	9.2	6.21	49.11
B	r1	160	1899	1899	18.98	8.1	8.67	9.2	9.95	10.91	11.6	13.0	9.42	6.2	41.84
B	r2	160	1899	1899	18.97	8.06	8.59	9.13	9.93	10.97	11.85	13.07	9.39	6.58	34.75
B	r3	160	1899	1899	18.99	7.98	8.53	9.1	9.87	10.88	11.53	12.8	9.31	5.49	40.38
C	r1	160	1899	1899	18.97	8.05	8.53	9.14	9.89	10.9	11.53	13.16	9.41	6.21	81.36
C	r2	160	1899	1899	18.95	7.93	8.46	9.07	9.76	10.58	11.29	12.67	9.26	6.22	75.84
C	r3	160	1899	1899	18.95	7.8	8.33	8.94	9.67	10.68	11.61	13.25	9.21	6.16	107.49
