arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
B	discard	80	19173	239.67	100.00	28.7	58.6	95.6	0	0	0	1786943984.720	1786944064.716	full
B	anc1	80	19179	239.75	100.00	25.9	41.3	75.5	0	0	0	1786944110.130	1786944190.125	full
A	discard	20	4796	59.99	100.00	19.1	25.7	30.8	0	0	0	1786944247.039	1786944326.989	full
A	r1	20	4800	60.09	100.00	19.5	29.1	32.3	0	0	0	1786944362.027	1786944441.912	full
A	r1	40	9595	119.98	100.00	20.0	29.6	33.5	0	0	0	1786944478.546	1786944558.519	full
A	r1	60	14393	179.92	100.00	22.8	37.1	61.8	0	0	0	1786944596.871	1786944676.867	full
A	r1	80	19175	239.71	100.00	29.3	52.9	86.2	0	0	0	1786944716.833	1786944796.825	full
A	r1	90	21580	269.79	100.00	28.2	57.9	92.3	0	0	0	1786944838.122	1786944918.109	full
A	r1	100	23972	299.69	100.00	33.6	84.6	103.6	0	0	0	1786944960.599	1786945040.588	full
A	r1	120	27872	348.45	100.00	331.6	384.4	422.4	0	0	0	1786945085.089	1786945165.078	full
A	r1	160	27851	348.15	100.00	450.7	519.5	570.2	0	0	0	1786945214.622	1786945294.619	full
B	r1	20	4800	60.06	100.00	20.1	29.5	32.5	0	0	0	1786945357.082	1786945437.001	full
B	r1	40	9596	119.96	100.00	20.2	30.8	35.8	0	0	0	1786945480.472	1786945560.464	full
B	r1	60	14389	179.90	100.00	21.4	32.9	42.0	0	0	0	1786945605.445	1786945685.427	full
B	r1	80	19181	239.80	100.00	27.9	51.0	83.0	0	0	0	1786945730.649	1786945810.637	full
B	r1	90	21586	269.83	100.00	28.4	62.2	100.1	0	0	0	1786945856.420	1786945936.418	full
B	r1	100	23983	299.80	100.00	33.4	74.2	102.0	0	0	0	1786945983.341	1786946063.337	full
B	r1	120	27791	347.40	100.00	336.6	384.8	400.6	0	0	0	1786946112.021	1786946192.017	full
B	r1	160	27688	346.10	100.00	455.9	512.6	539.2	0	0	0	1786946243.883	1786946323.882	full
C	discard	20	4796	60.01	100.00	19.4	28.4	31.4	0	0	0	1786946414.714	1786946494.633	full
C	r1	20	4794	59.97	100.00	18.9	26.4	31.0	0	0	0	1786946537.287	1786946617.230	full
C	r1	40	9591	119.90	100.00	19.4	28.2	33.1	0	0	0	1786946661.710	1786946741.699	full
C	r1	60	14393	179.94	100.00	23.6	35.5	55.9	0	0	0	1786946785.622	1786946865.611	full
C	r1	80	19176	239.75	100.00	27.9	45.5	78.5	0	0	0	1786946910.930	1786946990.914	full
C	r1	90	21592	269.90	100.00	33.3	69.9	92.7	0	0	0	1786947037.548	1786947117.547	full
C	r1	100	23979	299.98	100.00	114.5	175.0	233.3	0	0	0	1786947164.994	1786947244.930	full
C	r1	120	24986	312.36	100.00	381.7	439.8	469.9	0	0	0	1786947294.027	1786947374.018	full
C	r1	160	25087	313.68	100.00	504.6	579.5	621.2	0	0	0	1786947426.477	1786947506.453	full
B	anc2	80	19170	239.68	100.00	28.6	55.8	95.8	0	0	0	1786947602.484	1786947682.465	full
B	r2	60	14387	179.87	100.00	22.4	34.2	51.6	0	0	0	1786947748.134	1786947828.118	full
B	r2	80	19179	239.75	100.00	29.2	52.8	83.8	0	0	0	1786947873.234	1786947953.229	full
B	r2	90	21585	269.87	100.00	29.6	69.6	101.6	0	0	0	1786947999.550	1786948079.532	full
B	r2	100	23970	299.63	100.00	36.6	83.2	109.1	0	0	0	1786948126.632	1786948206.630	full
B	r2	120	27512	343.90	100.00	340.3	394.1	416.2	0	0	0	1786948255.361	1786948335.360	full
B	r2	160	27660	345.83	100.00	456.7	509.6	528.0	0	0	0	1786948387.177	1786948467.158	full
B	r2	20	4794	60.02	100.00	19.6	27.8	31.9	0	0	0	1786948508.735	1786948588.610	full
B	r2	40	9596	119.97	100.00	21.7	32.8	38.1	0	0	0	1786948633.080	1786948713.069	full
C	r2	60	14388	179.87	100.00	24.1	39.2	71.0	0	0	0	1786948806.486	1786948886.479	full
C	r2	80	19179	239.83	100.00	33.6	54.6	84.0	0	0	0	1786948932.206	1786949012.174	full
C	r2	90	21585	269.85	100.00	32.9	68.2	96.0	0	0	0	1786949058.916	1786949138.906	full
C	r2	100	23982	299.78	100.00	97.6	157.2	232.1	0	0	0	1786949185.991	1786949265.989	full
C	r2	120	24931	311.72	100.00	380.9	440.3	482.0	0	0	0	1786949314.812	1786949394.792	full
C	r2	160	25002	312.59	100.00	507.5	574.4	614.5	0	0	0	1786949446.811	1786949526.795	full
C	r2	20	4797	59.98	100.00	19.0	25.9	30.8	0	0	0	1786949568.200	1786949648.180	full
C	r2	40	9594	119.93	100.00	19.7	28.4	32.5	0	0	0	1786949691.932	1786949771.930	full
A	r2	60	14382	179.80	100.00	22.4	33.7	47.8	0	0	0	1786949860.519	1786949940.506	full
A	r2	80	19183	239.81	100.00	33.3	55.2	90.8	0	0	0	1786949980.448	1786950060.442	full
A	r2	90	21589	269.90	100.00	29.4	57.9	92.6	0	0	0	1786950101.262	1786950181.252	full
A	r2	100	23978	299.74	100.00	32.3	84.2	118.8	0	0	0	1786950222.965	1786950302.960	full
A	r2	120	27482	343.55	100.00	339.7	396.9	424.9	0	0	0	1786950346.334	1786950426.328	full
A	r2	160	27699	346.33	100.00	454.9	518.8	564.8	0	0	0	1786950473.391	1786950553.370	full
A	r2	20	4796	59.98	100.00	18.7	26.7	31.3	0	0	0	1786950589.698	1786950669.664	full
A	r2	40	9596	119.96	100.00	20.4	30.0	38.2	0	0	0	1786950706.354	1786950786.348	full
B	anc3	80	19176	239.71	100.00	27.9	55.9	93.2	0	0	0	1786950852.861	1786950932.859	full
C	r3	90	21570	269.65	100.00	30.0	61.1	96.4	0	0	0	1786951028.467	1786951108.459	full
C	r3	100	22667	283.37	100.00	346.3	395.6	417.5	0	0	0	1786951156.135	1786951236.127	full
C	r3	120	22649	283.17	100.00	420.7	479.3	512.5	0	0	0	1786951285.415	1786951365.399	full
C	r3	160	22745	284.33	100.00	560.8	618.8	645.4	0	0	0	1786951418.268	1786951498.262	full
C	r3	20	4798	60.02	100.00	20.7	29.1	33.5	0	0	0	1786951539.744	1786951619.680	full
C	r3	40	9592	119.93	100.00	21.7	31.6	35.9	0	0	0	1786951663.918	1786951743.900	full
C	r3	60	14387	179.87	100.00	25.2	44.4	76.4	0	0	0	1786951789.160	1786951869.147	full
C	r3	80	19190	239.90	100.00	36.3	63.1	100.0	0	0	0	1786951914.941	1786951994.934	full
A	r3	90	21581	269.77	100.00	31.2	64.8	93.6	0	0	0	1786952085.335	1786952165.333	full
A	r3	100	23977	299.72	100.00	30.3	70.3	98.2	0	0	0	1786952207.517	1786952287.515	full
A	r3	120	27557	344.50	100.00	336.8	394.4	429.0	0	0	0	1786952331.255	1786952411.246	full
A	r3	160	27927	349.12	100.00	450.6	509.8	533.9	0	0	0	1786952458.409	1786952538.402	full
A	r3	20	4800	60.02	100.00	21.7	33.0	37.4	0	0	0	1786952574.552	1786952654.529	full
A	r3	40	9592	119.96	100.00	21.3	32.5	38.3	0	0	0	1786952691.374	1786952771.335	full
A	r3	60	14390	179.90	100.00	25.7	48.1	78.8	0	0	0	1786952809.596	1786952889.586	full
A	r3	80	19170	239.63	100.00	30.8	60.2	94.8	0	0	0	1786952929.679	1786953009.677	full
B	r3	90	21583	269.81	100.00	29.8	63.2	98.8	0	0	0	1786953077.478	1786953157.471	full
B	r3	100	23966	299.84	100.00	40.3	97.2	117.9	0	0	0	1786953205.003	1786953284.932	full
B	r3	120	27637	345.49	100.00	337.6	391.3	420.4	0	0	0	1786953333.917	1786953413.911	full
B	r3	160	27768	347.14	100.00	454.1	514.1	539.3	0	0	0	1786953466.328	1786953546.319	full
B	r3	20	4799	60.01	100.00	20.3	30.1	33.6	0	0	0	1786953587.792	1786953667.761	full
B	r3	40	9595	119.97	100.00	20.7	30.6	34.0	0	0	0	1786953712.727	1786953792.706	full
B	r3	60	14394	179.97	100.00	27.0	44.1	69.6	0	0	0	1786953837.681	1786953917.663	full
B	r3	80	19178	239.73	100.00	33.6	68.6	103.4	0	0	0	1786953963.164	1786954043.161	full
B	anc4	80	19169	239.71	100.00	28.0	56.0	95.1	0	0	0	1786954110.477	1786954190.445	full
B	lc2_t1	120	27686	346.10	100.00	336.9	387.1	411.8	0	0	0	1786954260.708	1786954340.703	2
B	lcF_t1	120	27757	346.98	100.00	334.1	388.6	415.3	0	0	0	1786954389.817	1786954469.814	full
B	lc2_t1	160	27620	345.28	100.00	456.8	514.4	538.5	0	0	0	1786954521.770	1786954601.763	2
B	lcF_t1	160	27556	344.46	100.00	457.1	521.3	550.8	0	0	0	1786954654.759	1786954734.757	full
B	lcF_t2	120	27742	346.80	100.00	335.9	388.3	404.4	0	0	0	1786954784.583	1786954864.578	full
B	lc2_t2	120	27645	345.58	100.00	336.8	390.3	415.9	0	0	0	1786954913.457	1786954993.454	2
B	lcF_t2	160	27686	346.23	100.00	456.0	515.0	548.1	0	0	0	1786955045.352	1786955125.317	full
B	lc2_t2	160	27503	343.81	100.00	458.2	521.8	571.3	0	0	0	1786955178.532	1786955258.526	2
B	lc2_t3	120	27630	345.38	100.00	338.2	390.1	409.8	0	0	0	1786955308.170	1786955388.169	2
B	lcF_t3	120	27690	346.16	100.00	337.1	390.9	406.9	0	0	0	1786955437.148	1786955517.141	full
B	lc2_t3	160	27463	343.29	100.00	458.2	528.6	569.7	0	0	0	1786955569.164	1786955649.163	2
B	lcF_t3	160	27688	346.12	100.00	454.9	511.6	539.5	0	0	0	1786955701.551	1786955781.547	full
