tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms	req_expected	req_missing
B_discard_80	B	80	19	19.0	1899	1899	0	10.0	11.5	13.9	1900	1
B_anc1_80	B	80	19	19.0	1899	1899	0	9.6	10.8	11.6	1900	1
A_discard_20	A	20	-	-	-	-	-	-	-	-
A_r1_20	A	20	-	-	-	-	-	-	-	-
A_r1_40	A	40	-	-	-	-	-	-	-	-
A_r1_60	A	60	-	-	-	-	-	-	-	-
A_r1_80	A	80	-	-	-	-	-	-	-	-
A_r1_90	A	90	-	-	-	-	-	-	-	-
A_r1_100	A	100	-	-	-	-	-	-	-	-
A_r1_120	A	120	-	-	-	-	-	-	-	-
A_r1_160	A	160	-	-	-	-	-	-	-	-
B_r1_20	B	20	19	19.0	1899	1899	0	8.7	10.2	11.5	1900	1
B_r1_40	B	40	19	19.0	1899	1899	0	8.3	9.7	10.6	1900	1
B_r1_60	B	60	19	19.0	1899	1899	0	8.2	9.6	11.2	1900	1
B_r1_80	B	80	19	19.0	1899	1899	0	8.3	9.5	10.2	1900	1
B_r1_90	B	90	19	19.0	1899	1899	0	8.2	9.4	10.2	1900	1
B_r1_100	B	100	19	19.0	1899	1899	0	8.2	9.5	10.1	1900	1
B_r1_120	B	120	19	19.0	1899	1899	0	8.2	9.4	10.3	1900	1
B_r1_160	B	160	19	19.0	1899	1899	0	8.2	9.4	10.6	1900	1
C_discard_20	C	20	19	19.0	1899	1899	0	10.4	12.8	14.1	1900	1
C_r1_20	C	20	19	19.0	1899	1899	0	9.9	11.8	12.7	1900	1
C_r1_40	C	40	19	19.0	1899	1899	0	9.7	11.3	12.3	1900	1
C_r1_60	C	60	19	19.0	1899	1899	0	8.5	10.3	11.7	1900	1
C_r1_80	C	80	19	19.0	1899	1899	0	8.3	9.6	10.8	1900	1
C_r1_90	C	90	19	19.0	1899	1899	0	8.3	9.7	10.5	1900	1
C_r1_100	C	100	19	19.0	1899	1899	0	8.5	10.0	10.7	1900	1
C_r1_120	C	120	19	19.0	1899	1899	0	8.5	9.9	13.3	1900	1
C_r1_160	C	160	19	19.0	1899	1899	0	8.6	10.2	12.7	1900	1
B_anc2_80	B	80	19	19.0	1899	1899	0	10.7	12.5	13.9	1900	1
B_r2_60	B	60	19	19.0	1899	1899	0	9.9	11.3	12.2	1900	1
B_r2_80	B	80	19	19.0	1899	1899	0	9.6	11.0	11.9	1900	1
B_r2_90	B	90	19	19.0	1899	1899	0	8.4	10.2	11.5	1900	1
B_r2_100	B	100	19	19.0	1899	1899	0	8.2	9.8	10.9	1900	1
B_r2_120	B	120	19	19.0	1899	1899	0	8.3	9.5	10.7	1900	1
B_r2_160	B	160	19	19.0	1899	1899	0	8.3	9.6	10.7	1900	1
B_r2_20	B	20	19	19.0	1899	1899	0	8.8	10.2	11.1	1900	1
B_r2_40	B	40	19	19.0	1899	1899	0	8.5	10.0	10.8	1900	1
C_r2_60	C	60	19	19.0	1899	1899	0	10.7	12.8	14.8	1900	1
C_r2_80	C	80	19	19.0	1899	1899	0	10.0	11.6	13.2	1900	1
C_r2_90	C	90	19	19.0	1899	1899	0	9.7	11.0	12.2	1900	1
