epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786944245	4.0	3.4	0.0	0.06	590.9	7783.1	0.00	0.01
1786944250	4.6	3.2	0.0	0.06	591.9	7783.1	0.01	0.01
1786944255	3.8	3.2	0.0	0.05	593.4	7783.1	0.01	0.01
1786944260	5.0	3.0	0.0	0.05	594.1	7783.1	0.01	0.01
1786944265	4.4	3.0	0.0	0.04	595.3	7783.1	0.01	0.01
1786944270	3.4	3.2	0.0	0.04	595.3	7783.1	0.01	0.01
1786944275	5.6	3.0	0.0	0.04	595.3	7783.1	0.01	0.01
1786944280	4.2	3.2	0.0	0.03	596.8	7783.1	0.01	0.01
1786944285	6.5	3.2	0.0	0.03	597.3	7783.1	0.01	0.01
1786944290	3.8	3.0	0.0	0.03	601.1	7783.1	0.01	0.01
1786944295	19.2	3.2	0.0	0.02	598.4	7783.1	0.01	0.03
1786944300	4.8	3.2	0.0	0.10	591.1	7783.1	0.01	0.01
1786944305	4.0	3.0	0.0	0.18	591.8	7783.1	0.01	0.01
1786944310	3.6	3.2	0.0	0.16	591.8	7783.1	0.01	0.01
1786944315	5.0	3.2	0.0	0.15	592.3	7783.1	0.01	0.01
1786944320	4.2	3.0	0.0	0.14	592.3	7783.1	0.01	0.01
1786944325	5.8	3.0	0.0	0.12	592.3	7783.1	0.01	0.01
1786944330	4.6	3.2	0.0	0.11	592.6	7783.1	0.01	0.01
