epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786950840	14.2	0.0	14.2	0.01	902.9	7783.1	0.00	0.00
1786950846	5.8	2.2	2.6	0.01	935.3	7783.1	0.00	0.01
1786950851	12.9	6.8	3.0	0.01	922.3	7783.1	0.01	0.02
1786950856	17.5	11.5	2.6	0.09	925.2	7783.1	0.02	0.04
1786950861	13.3	11.5	3.0	0.08	935.2	7783.1	0.02	0.04
1786950866	14.1	11.4	2.6	0.08	914.4	7783.1	0.02	0.04
1786950871	13.3	11.5	2.8	0.07	918.3	7783.1	0.02	0.04
1786950876	15.4	11.2	2.8	0.06	921.8	7783.1	0.02	0.04
1786950881	14.4	11.2	2.4	0.06	924.9	7783.1	0.02	0.04
1786950886	14.5	11.7	3.2	0.05	939.9	7783.1	0.02	0.04
1786950891	17.3	11.0	1.8	0.05	945.7	7783.1	0.02	0.04
1786950896	14.0	11.2	1.2	0.04	937.3	7783.1	0.02	0.04
1786950901	13.0	11.4	1.0	0.04	943.6	7783.1	0.02	0.04
1786950906	12.1	11.1	1.2	0.04	980.8	7783.1	0.02	0.04
1786950911	9.7	11.3	1.6	0.03	994.5	7783.1	0.02	0.04
1786950916	24.8	11.1	1.0	0.03	996.8	7783.1	0.02	0.05
1786950921	13.2	11.2	1.0	0.03	999.5	7783.1	0.02	0.04
1786950926	10.9	11.3	1.2	0.11	1001.3	7783.1	0.02	0.04
1786950931	9.9	11.1	1.0	0.10	1004.5	7783.1	0.02	0.04
1786950936	14.2	11.2	0.8	0.09	1006.8	7783.1	0.02	0.04
