epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786943967	16.5	0.0	14.1	0.06	892.6	7783.1	0.00	0.00
1786943972	6.8	1.6	2.6	0.06	930.7	7783.1	0.00	0.01
1786943977	3.8	0.8	3.0	0.05	899.4	7783.1	0.00	0.01
1786943982	9.4	5.8	2.4	0.05	910.8	7783.1	0.01	0.02
1786943987	13.3	11.3	3.0	0.05	899.3	7783.1	0.02	0.04
1786943992	21.7	11.6	2.6	0.04	897.9	7783.1	0.02	0.04
1786943997	16.4	11.2	3.0	0.04	901.3	7783.1	0.02	0.04
1786944002	11.9	11.3	2.4	0.03	906.0	7783.1	0.02	0.04
1786944007	15.6	11.4	3.2	0.03	921.5	7783.1	0.02	0.04
1786944012	13.9	11.3	2.6	0.03	926.9	7783.1	0.02	0.04
1786944017	16.8	11.4	1.8	0.03	923.4	7783.1	0.02	0.04
1786944022	11.9	11.3	1.2	0.02	926.9	7783.1	0.02	0.04
1786944027	16.0	11.2	1.6	0.02	947.3	7783.1	0.02	0.04
1786944032	10.7	11.3	1.2	0.02	954.3	7783.1	0.02	0.04
1786944037	13.0	11.2	0.8	0.02	946.0	7783.1	0.02	0.04
1786944042	12.7	11.2	1.2	0.02	950.9	7783.1	0.02	0.04
1786944047	13.7	11.5	1.0	0.02	956.2	7783.1	0.02	0.04
1786944052	12.6	11.2	1.0	0.01	959.1	7783.1	0.02	0.04
1786944057	12.1	11.1	1.2	0.01	995.5	7783.1	0.02	0.04
1786944062	11.7	11.3	1.6	0.01	998.1	7783.1	0.02	0.04
1786944067	32.9	11.0	-1	0.01	596.2	7783.1	0.02	0.03
