epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786954503	23.0	0.2	21.4	0.41	914.8	7783.1	0.00	0.00
1786954508	10.4	3.8	4.6	0.37	899.7	7783.1	0.00	0.01
1786954513	7.0	3.0	4.4	0.34	902.4	7783.1	0.00	0.01
1786954518	15.2	8.2	4.6	0.31	919.1	7783.1	0.01	0.01
1786954523	31.4	25.3	4.0	0.29	921.3	7783.1	0.02	0.05
1786954528	36.3	29.4	4.8	0.35	929.5	7783.1	0.03	0.05
1786954533	65.8	29.7	4.3	0.40	918.9	7783.1	0.04	0.10
1786954538	36.1	29.2	4.4	0.37	921.4	7783.1	0.03	0.05
1786954543	38.0	28.8	4.0	0.34	923.9	7783.1	0.03	0.05
1786954548	33.0	28.5	4.5	0.31	951.7	7783.1	0.03	0.05
1786954553	36.4	28.4	4.2	0.28	1002.1	7783.1	0.03	0.05
1786954559	33.6	28.7	2.2	0.34	1005.5	7783.1	0.03	0.05
1786954564	86.7	80.0	1.8	0.31	1008.5	7783.1	0.03	0.05
1786954569	101.7	95.5	2.2	0.29	1011.1	7783.1	0.03	0.05
1786954574	100.3	94.9	2.2	0.27	1001.5	7783.1	0.03	0.05
1786954579	102.5	95.7	1.8	0.24	1005.2	7783.1	0.03	0.05
1786954584	84.2	78.4	2.4	0.22	1032.6	7783.1	0.03	0.05
1786954589	55.4	52.0	3.0	0.29	1048.6	7783.1	0.03	0.05
1786954594	34.2	29.2	2.0	0.26	1052.6	7783.1	0.03	0.05
1786954599	29.8	30.4	2.4	0.40	1054.3	7783.1	0.03	0.05
1786954604	52.2	27.3	-1	0.37	654.3	7783.1	0.03	0.05
1786954609	21.8	-1	0.0	0.34	608.0	7783.1	0.02	0.03
