epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786955027	22.0	0.2	20.6	0.42	920.6	7783.1	0.00	0.00
1786955032	14.3	3.6	4.6	0.39	955.5	7783.1	0.00	0.01
1786955037	9.4	3.4	5.2	0.35	926.1	7783.1	0.00	0.01
1786955042	16.8	8.6	4.4	0.33	939.8	7783.1	0.01	0.02
1786955047	33.2	26.4	5.0	0.30	934.4	7783.1	0.03	0.05
1786955052	34.7	28.8	4.6	0.28	936.8	7783.1	0.03	0.05
1786955057	34.7	29.6	5.1	0.33	945.4	7783.1	0.03	0.05
1786955062	37.7	29.1	4.6	0.39	948.0	7783.1	0.03	0.05
1786955067	38.0	29.0	5.2	0.36	954.4	7783.1	0.03	0.05
1786955072	34.1	29.6	4.7	0.33	945.7	7783.1	0.03	0.05
1786955077	34.8	29.1	3.6	0.38	949.3	7783.1	0.03	0.05
1786955082	44.2	29.5	2.8	0.43	973.3	7783.1	0.03	0.05
1786955087	120.9	112.9	2.6	0.40	1008.5	7783.1	0.03	0.05
1786955092	134.5	125.3	3.4	0.36	1013.8	7783.1	0.03	0.05
1786955097	128.7	129.1	2.6	0.42	1016.8	7783.1	0.03	0.05
1786955102	130.9	126.7	2.4	0.46	1009.4	7783.1	0.03	0.05
1786955107	88.6	85.7	2.6	0.43	1013.1	7783.1	0.03	0.05
1786955112	82.4	74.6	2.6	0.39	1016.0	7783.1	0.03	0.05
1786955118	37.6	34.6	2.4	0.36	1019.9	7783.1	0.03	0.05
1786955123	35.3	30.3	3.6	0.33	1033.0	7783.1	0.03	0.05
1786955128	61.4	31.1	-1	0.30	625.5	7783.1	0.03	0.05
1786955133	22.7	-1	0.0	0.28	595.7	7783.1	0.02	0.02
