epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786945718	15.4	0.0	14.2	0.00	896.7	7783.1	0.00	0.00
1786945723	5.4	2.0	2.8	0.00	930.1	7783.1	0.00	0.01
1786945728	11.0	7.2	3.0	0.00	903.1	7783.1	0.01	0.02
1786945733	16.6	11.6	2.6	0.00	912.6	7783.1	0.02	0.04
1786945738	15.6	11.4	3.0	0.00	920.2	7783.1	0.02	0.04
1786945743	13.1	11.5	2.6	0.00	898.3	7783.1	0.02	0.04
1786945749	12.1	11.3	2.8	0.00	903.8	7783.1	0.02	0.04
1786945754	16.2	11.2	2.4	0.00	909.4	7783.1	0.02	0.04
1786945759	15.2	11.4	3.2	0.08	922.1	7783.1	0.02	0.04
1786945764	14.5	11.2	2.4	0.07	924.9	7783.1	0.02	0.04
1786945769	14.6	11.4	2.0	0.07	929.4	7783.1	0.02	0.04
1786945774	13.2	11.2	1.2	0.06	940.1	7783.1	0.02	0.04
1786945779	11.3	11.3	1.8	0.06	975.6	7783.1	0.02	0.04
1786945784	12.5	11.5	1.0	0.13	979.9	7783.1	0.02	0.04
1786945789	13.0	11.2	1.0	0.12	982.4	7783.1	0.02	0.04
1786945794	13.8	11.4	1.0	0.19	984.8	7783.1	0.02	0.04
1786945799	30.0	11.7	1.2	0.18	974.8	7783.1	0.03	0.07
1786945804	12.3	11.5	1.0	0.16	977.8	7783.1	0.02	0.04
1786945809	11.9	11.3	1.0	0.15	980.2	7783.1	0.02	0.04
1786945814	12.9	11.3	1.8	0.22	1007.0	7783.1	0.02	0.04
