epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786946407	16.6	0.0	14.2	0.16	919.3	7783.1	0.00	0.00
1786946412	5.8	3.2	2.8	0.15	943.6	7783.1	0.00	0.01
1786946417	6.4	3.2	2.8	0.13	915.7	7783.1	0.01	0.01
1786946422	6.6	3.0	2.6	0.12	918.0	7783.1	0.01	0.01
1786946427	7.0	3.2	3.0	0.11	912.8	7783.1	0.01	0.01
1786946432	5.6	3.2	2.4	0.10	914.2	7783.1	0.01	0.01
1786946437	7.2	2.8	3.2	0.10	915.5	7783.1	0.01	0.01
1786946442	6.6	3.0	2.4	0.09	917.1	7783.1	0.01	0.01
1786946447	6.2	3.2	2.6	0.08	924.3	7783.1	0.01	0.01
1786946452	7.0	3.0	3.2	0.07	925.7	7783.1	0.01	0.01
1786946457	7.8	3.0	2.0	0.07	918.9	7783.1	0.01	0.01
1786946462	4.6	3.2	1.0	0.06	921.1	7783.1	0.01	0.01
1786946467	6.2	3.0	1.0	0.06	941.9	7783.1	0.01	0.01
1786946472	8.5	3.2	2.0	0.13	972.0	7783.1	0.01	0.01
1786946477	4.6	3.0	1.0	0.12	974.1	7783.1	0.01	0.01
1786946482	7.0	3.0	1.0	0.11	964.8	7783.1	0.01	0.01
1786946487	6.2	3.0	1.2	0.10	967.8	7783.1	0.01	0.01
1786946492	6.4	3.2	0.8	0.09	971.7	7783.1	0.01	0.01
1786946497	5.6	3.2	1.2	0.09	975.4	7783.1	0.01	0.01
1786946502	5.8	-1	1.0	0.08	953.6	7783.1	0.00	0.01
