epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786948920	17.9	0.0	16.2	0.00	907.9	7783.1	0.00	0.00
1786948925	8.2	2.6	3.2	0.00	933.1	7783.1	0.00	0.01
1786948930	10.6	7.0	3.4	0.00	902.3	7783.1	0.01	0.02
1786948935	15.7	12.5	3.0	0.08	911.4	7783.1	0.02	0.04
1786948940	14.1	11.7	3.2	0.15	919.0	7783.1	0.02	0.04
1786948945	16.4	11.4	2.6	0.14	921.6	7783.1	0.02	0.04
1786948950	11.0	11.4	3.0	0.13	924.1	7783.1	0.02	0.04
1786948955	13.5	11.0	2.4	0.12	915.5	7783.1	0.02	0.04
1786948960	16.6	11.0	3.2	0.11	922.2	7783.1	0.02	0.04
1786948965	14.6	11.2	2.4	0.10	925.4	7783.1	0.02	0.04
1786948970	10.5	11.1	2.0	0.09	930.7	7783.1	0.02	0.04
1786948975	12.4	11.0	1.0	0.08	934.3	7783.1	0.02	0.04
1786948980	14.7	11.2	1.8	0.08	949.5	7783.1	0.02	0.04
1786948985	11.5	11.1	1.0	0.07	954.3	7783.1	0.02	0.04
1786948990	11.1	11.3	1.0	0.06	957.0	7783.1	0.02	0.04
1786948995	12.3	11.0	1.0	0.06	959.9	7783.1	0.02	0.04
1786949000	14.2	11.4	1.0	0.05	949.7	7783.1	0.02	0.04
1786949005	14.2	11.2	1.2	0.05	969.1	7783.1	0.02	0.04
1786949010	11.1	11.1	1.4	0.05	1005.2	7783.1	0.02	0.04
1786949015	14.0	11.0	1.6	0.04	1013.0	7783.1	0.02	0.04
