t_rel	session	ms	outcome	t_abs
0.32	0	17.41	ok	1786944240.651
0.653	0	17.87	ok	1786944240.984
0.987	0	17.69	ok	1786944241.318
1.321	0	17.34	ok	1786944241.652
1.654	0	17.04	ok	1786944241.985
1.988	0	87.08	ok	1786944242.319
2.322	0	19.28	ok	1786944242.653
2.655	0	19.03	ok	1786944242.986
2.989	0	18.27	ok	1786944243.320
3.323	0	18.07	ok	1786944243.654
3.657	0	18.08	ok	1786944243.988
3.99	0	18.96	ok	1786944244.321
4.324	0	18.48	ok	1786944244.655
4.658	0	18.17	ok	1786944244.989
4.991	0	18.37	ok	1786944245.322
5.325	0	18.51	ok	1786944245.656
5.659	0	19.12	ok	1786944245.990
5.992	0	18.51	ok	1786944246.323
6.326	0	19.1	ok	1786944246.657
6.66	0	18.24	ok	1786944246.991
6.993	0	18.47	ok	1786944247.324
7.327	0	18.48	ok	1786944247.658
7.661	0	17.84	ok	1786944247.992
7.994	0	19.27	ok	1786944248.325
8.328	0	18.54	ok	1786944248.659
8.662	0	17.78	ok	1786944248.993
8.996	0	18.29	ok	1786944249.327
9.329	0	18.06	ok	1786944249.660
9.663	0	18.18	ok	1786944249.994
9.997	0	18.68	ok	1786944250.328
10.33	0	18.25	ok	1786944250.661
10.664	0	18.26	ok	1786944250.995
10.998	0	18.47	ok	1786944251.329
11.331	0	18.0	ok	1786944251.662
11.665	0	18.39	ok	1786944251.996
11.999	0	18.35	ok	1786944252.330
12.332	0	18.21	ok	1786944252.663
12.666	0	18.17	ok	1786944252.997
13.0	0	18.44	ok	1786944253.331
13.333	0	18.51	ok	1786944253.664
13.667	0	17.98	ok	1786944253.998
14.001	0	17.96	ok	1786944254.332
14.334	0	18.36	ok	1786944254.665
14.668	0	18.52	ok	1786944254.999
15.002	0	17.95	ok	1786944255.333
15.335	0	18.71	ok	1786944255.666
15.669	0	18.24	ok	1786944256.000
16.003	0	17.89	ok	1786944256.334
16.337	0	17.87	ok	1786944256.668
16.67	0	18.01	ok	1786944257.001
17.004	0	18.54	ok	1786944257.335
17.338	0	18.55	ok	1786944257.669
17.671	0	17.85	ok	1786944258.002
18.005	0	18.33	ok	1786944258.336
18.339	0	18.45	ok	1786944258.670
18.672	0	17.71	ok	1786944259.003
19.006	0	18.65	ok	1786944259.337
19.34	0	18.65	ok	1786944259.671
19.673	0	18.34	ok	1786944260.004
20.007	0	17.89	ok	1786944260.338
20.341	0	18.59	ok	1786944260.672
20.675	0	18.65	ok	1786944261.006
21.008	0	18.69	ok	1786944261.339
21.342	0	18.43	ok	1786944261.673
21.676	0	18.86	ok	1786944262.007
22.009	0	18.64	ok	1786944262.340
22.343	0	18.02	ok	1786944262.674
22.677	0	18.66	ok	1786944263.008
23.01	0	19.27	ok	1786944263.341
23.344	0	19.3	ok	1786944263.675
23.678	0	18.47	ok	1786944264.009
24.012	0	18.12	ok	1786944264.343
24.345	0	18.84	ok	1786944264.676
24.679	0	18.99	ok	1786944265.010
25.013	0	18.53	ok	1786944265.344
25.346	0	18.61	ok	1786944265.677
25.68	0	18.83	ok	1786944266.011
26.014	0	18.33	ok	1786944266.345
26.347	0	18.72	ok	1786944266.678
26.681	0	18.44	ok	1786944267.012
27.015	0	18.92	ok	1786944267.346
27.348	0	18.91	ok	1786944267.679
27.682	0	19.05	ok	1786944268.013
28.016	0	18.88	ok	1786944268.347
28.35	0	18.78	ok	1786944268.681
28.683	0	18.4	ok	1786944269.014
29.017	0	18.64	ok	1786944269.348
29.351	0	17.89	ok	1786944269.682
29.684	0	18.45	ok	1786944270.015
30.018	0	18.37	ok	1786944270.349
30.352	0	17.65	ok	1786944270.683
30.685	0	18.9	ok	1786944271.016
31.019	0	18.55	ok	1786944271.350
31.353	0	18.43	ok	1786944271.684
31.686	0	18.63	ok	1786944272.017
32.02	0	18.03	ok	1786944272.351
32.354	0	18.87	ok	1786944272.685
32.688	0	18.5	ok	1786944273.019
33.021	0	17.92	ok	1786944273.352
33.355	0	18.62	ok	1786944273.686
33.689	0	18.43	ok	1786944274.020
34.022	0	18.38	ok	1786944274.353
34.356	0	18.62	ok	1786944274.687
34.69	0	18.5	ok	1786944275.021
35.023	0	18.77	ok	1786944275.354
35.357	0	18.16	ok	1786944275.688
35.691	0	18.1	ok	1786944276.022
36.024	0	18.61	ok	1786944276.355
36.358	0	18.65	ok	1786944276.689
36.692	0	17.9	ok	1786944277.023
37.025	0	17.71	ok	1786944277.356
37.359	0	18.44	ok	1786944277.690
37.693	0	18.51	ok	1786944278.024
38.027	0	18.46	ok	1786944278.358
38.36	0	18.27	ok	1786944278.691
38.694	0	18.31	ok	1786944279.025
39.028	0	18.37	ok	1786944279.359
39.361	0	18.08	ok	1786944279.692
39.695	0	18.82	ok	1786944280.026
40.029	0	18.42	ok	1786944280.360
40.362	0	18.57	ok	1786944280.693
40.696	0	18.77	ok	1786944281.027
41.03	0	18.67	ok	1786944281.361
41.364	0	18.47	ok	1786944281.695
41.697	0	18.3	ok	1786944282.028
42.031	0	18.17	ok	1786944282.362
42.365	0	18.6	ok	1786944282.696
42.698	0	18.78	ok	1786944283.029
43.032	0	18.73	ok	1786944283.363
43.366	0	18.54	ok	1786944283.697
43.699	0	18.49	ok	1786944284.030
44.033	0	18.58	ok	1786944284.364
44.367	0	18.51	ok	1786944284.698
44.7	0	18.04	ok	1786944285.031
45.034	0	19.22	ok	1786944285.365
45.368	0	18.33	ok	1786944285.699
45.702	0	19.1	ok	1786944286.033
46.035	0	18.4	ok	1786944286.366
46.369	0	18.41	ok	1786944286.700
46.703	0	18.27	ok	1786944287.034
47.036	0	18.39	ok	1786944287.367
47.37	0	18.38	ok	1786944287.701
47.704	0	19.05	ok	1786944288.035
48.037	0	18.04	ok	1786944288.368
48.371	0	17.85	ok	1786944288.702
48.705	0	18.2	ok	1786944289.036
49.038	0	18.43	ok	1786944289.369
49.372	0	18.0	ok	1786944289.703
49.706	0	18.27	ok	1786944290.037
50.04	0	18.55	ok	1786944290.371
50.373	0	18.46	ok	1786944290.704
50.707	0	18.63	ok	1786944291.038
51.041	0	18.06	ok	1786944291.372
51.374	0	18.18	ok	1786944291.705
51.708	0	18.48	ok	1786944292.039
52.042	0	18.03	ok	1786944292.373
52.375	0	18.59	ok	1786944292.706
52.709	0	18.51	ok	1786944293.040
53.043	0	18.48	ok	1786944293.374
53.377	0	18.7	ok	1786944293.708
53.71	0	18.13	ok	1786944294.041
54.044	0	18.11	ok	1786944294.375
54.377	0	19.26	ok	1786944294.708
54.711	0	18.59	ok	1786944295.042
55.045	0	18.73	ok	1786944295.376
55.379	0	17.93	ok	1786944295.710
55.712	0	17.94	ok	1786944296.043
56.046	0	18.6	ok	1786944296.377
56.38	0	17.81	ok	1786944296.711
56.713	0	18.76	ok	1786944297.044
57.047	0	18.4	ok	1786944297.378
57.381	0	17.97	ok	1786944297.712
57.714	0	18.4	ok	1786944298.045
58.048	0	18.59	ok	1786944298.379
58.382	0	17.97	ok	1786944298.713
58.715	0	18.27	ok	1786944299.046
59.049	0	18.64	ok	1786944299.380
59.383	0	17.96	ok	1786944299.714
59.717	0	18.49	ok	1786944300.048
60.05	0	18.01	ok	1786944300.381
60.384	0	18.23	ok	1786944300.715
60.718	0	18.94	ok	1786944301.049
61.051	0	18.21	ok	1786944301.382
61.385	0	18.67	ok	1786944301.716
61.719	0	18.83	ok	1786944302.050
62.052	0	18.81	ok	1786944302.383
62.386	0	19.1	ok	1786944302.717
62.72	0	18.57	ok	1786944303.051
63.053	0	19.25	ok	1786944303.384
63.387	0	18.38	ok	1786944303.718
63.721	0	18.11	ok	1786944304.052
64.054	0	18.71	ok	1786944304.385
64.388	0	18.8	ok	1786944304.719
64.722	0	17.83	ok	1786944305.053
65.055	0	19.06	ok	1786944305.386
65.389	0	18.15	ok	1786944305.720
65.723	0	18.75	ok	1786944306.054
66.057	0	18.49	ok	1786944306.388
66.39	0	17.91	ok	1786944306.721
66.724	0	18.79	ok	1786944307.055
67.058	0	18.96	ok	1786944307.389
67.391	0	18.05	ok	1786944307.722
67.725	0	18.43	ok	1786944308.056
68.059	0	18.36	ok	1786944308.390
68.392	0	18.57	ok	1786944308.723
68.726	0	18.82	ok	1786944309.057
69.06	0	18.38	ok	1786944309.391
69.393	0	18.38	ok	1786944309.724
69.727	0	18.81	ok	1786944310.058
70.061	0	18.31	ok	1786944310.392
70.394	0	18.37	ok	1786944310.725
70.728	0	18.2	ok	1786944311.059
71.062	0	17.97	ok	1786944311.393
71.395	0	17.89	ok	1786944311.726
71.729	0	18.34	ok	1786944312.060
72.063	0	18.79	ok	1786944312.394
72.397	0	18.68	ok	1786944312.728
72.73	0	18.24	ok	1786944313.061
73.064	0	18.46	ok	1786944313.395
73.398	0	18.53	ok	1786944313.729
73.731	0	17.98	ok	1786944314.062
74.065	0	18.35	ok	1786944314.396
74.399	0	18.41	ok	1786944314.730
74.732	0	18.39	ok	1786944315.063
75.066	0	18.67	ok	1786944315.397
75.4	0	18.36	ok	1786944315.731
75.734	0	18.17	ok	1786944316.065
76.067	0	18.65	ok	1786944316.398
76.401	0	17.92	ok	1786944316.732
76.735	0	18.59	ok	1786944317.066
77.068	0	18.45	ok	1786944317.399
77.402	0	18.5	ok	1786944317.733
77.736	0	18.45	ok	1786944318.067
78.07	0	18.38	ok	1786944318.401
78.403	0	18.51	ok	1786944318.734
78.737	0	18.5	ok	1786944319.068
79.071	0	18.63	ok	1786944319.402
79.404	0	18.42	ok	1786944319.735
79.738	0	18.33	ok	1786944320.069
80.072	0	18.04	ok	1786944320.403
80.405	0	17.93	ok	1786944320.736
80.739	0	18.89	ok	1786944321.070
81.073	0	18.55	ok	1786944321.404
81.407	0	18.8	ok	1786944321.738
81.74	0	18.48	ok	1786944322.071
82.074	0	23.39	ok	1786944322.405
82.408	0	18.22	ok	1786944322.739
82.741	0	18.4	ok	1786944323.072
83.075	0	18.95	ok	1786944323.406
83.409	0	18.91	ok	1786944323.740
83.742	0	18.5	ok	1786944324.073
84.076	0	18.19	ok	1786944324.407
84.41	0	17.88	ok	1786944324.741
84.743	0	18.4	ok	1786944325.074
85.077	0	18.35	ok	1786944325.408
85.411	0	18.22	ok	1786944325.742
85.744	0	18.31	ok	1786944326.075
86.078	0	18.64	ok	1786944326.409
86.412	0	17.94	ok	1786944326.743
86.745	0	18.85	ok	1786944327.076
87.079	0	18.31	ok	1786944327.410
87.413	0	18.25	ok	1786944327.744
87.747	0	18.53	ok	1786944328.078
88.08	0	18.54	ok	1786944328.411
88.414	0	18.59	ok	1786944328.745
88.748	0	18.3	ok	1786944329.079
89.081	0	18.35	ok	1786944329.412
89.415	0	18.42	ok	1786944329.746
89.749	0	18.53	ok	1786944330.080
90.082	0	18.42	ok	1786944330.413
90.416	0	18.2	ok	1786944330.747
90.75	0	18.35	ok	1786944331.081
91.083	0	18.51	ok	1786944331.414
91.417	0	18.62	ok	1786944331.748
91.751	0	17.72	ok	1786944332.082
92.084	0	18.26	ok	1786944332.415
92.418	0	18.93	ok	1786944332.749
92.752	0	18.57	ok	1786944333.083
