t_rel	session	ms	outcome	t_abs
0.109	0	17.41	ok	1786944470.229
0.442	0	22.73	ok	1786944470.562
0.776	0	17.19	ok	1786944470.896
1.11	0	18.43	ok	1786944471.230
1.443	0	17.6	ok	1786944471.563
1.777	0	19.65	ok	1786944471.897
2.111	0	18.41	ok	1786944472.231
2.445	0	18.42	ok	1786944472.565
2.778	0	16.78	ok	1786944472.898
3.112	0	18.13	ok	1786944473.232
3.446	0	71.07	ok	1786944473.566
3.779	0	343.17	ok	1786944473.899
4.123	0	98.56	ok	1786944474.243
4.456	0	22.79	ok	1786944474.576
4.79	0	21.75	ok	1786944474.910
5.124	0	21.3	ok	1786944475.244
5.457	0	20.72	ok	1786944475.577
5.791	0	21.21	ok	1786944475.911
6.125	0	24.53	ok	1786944476.245
6.458	0	23.22	ok	1786944476.578
6.792	0	22.53	ok	1786944476.912
7.126	0	22.12	ok	1786944477.246
7.46	0	22.87	ok	1786944477.580
7.793	0	23.48	ok	1786944477.913
8.127	0	20.92	ok	1786944478.247
8.461	0	21.35	ok	1786944478.581
8.795	0	29.9	ok	1786944478.915
9.128	0	20.68	ok	1786944479.248
9.462	0	22.43	ok	1786944479.582
9.796	0	21.89	ok	1786944479.916
10.129	0	21.13	ok	1786944480.249
10.463	0	20.3	ok	1786944480.583
10.797	0	21.58	ok	1786944480.917
11.13	0	27.18	ok	1786944481.250
11.464	0	22.46	ok	1786944481.584
11.798	0	22.85	ok	1786944481.918
12.131	0	22.17	ok	1786944482.251
12.465	0	21.03	ok	1786944482.585
12.799	0	21.27	ok	1786944482.919
13.133	0	22.75	ok	1786944483.253
13.466	0	22.06	ok	1786944483.586
13.8	0	21.57	ok	1786944483.920
14.134	0	21.62	ok	1786944484.254
14.467	0	30.51	ok	1786944484.587
14.801	0	21.0	ok	1786944484.921
15.135	0	23.03	ok	1786944485.255
15.468	0	19.83	ok	1786944485.588
15.802	0	22.03	ok	1786944485.922
16.136	0	20.81	ok	1786944486.256
16.469	0	20.7	ok	1786944486.589
16.803	0	24.83	ok	1786944486.923
17.137	0	29.87	ok	1786944487.257
17.471	0	22.96	ok	1786944487.591
17.804	0	21.31	ok	1786944487.924
