t_rel	session	ms	outcome	t_abs
0.16	0	16.79	ok	1786947590.453
0.493	0	18.19	ok	1786947590.786
0.827	0	18.59	ok	1786947591.120
1.16	0	18.14	ok	1786947591.453
1.494	0	18.34	ok	1786947591.787
1.828	0	18.46	ok	1786947592.121
2.161	0	23.72	ok	1786947592.454
2.495	0	18.98	ok	1786947592.788
2.829	0	17.33	ok	1786947593.122
3.162	0	18.2	ok	1786947593.455
3.496	0	20.12	ok	1786947593.789
3.83	0	19.03	ok	1786947594.123
4.164	0	17.57	ok	1786947594.457
4.497	0	18.4	ok	1786947594.790
4.831	0	17.91	ok	1786947595.124
5.165	0	17.63	ok	1786947595.458
5.498	0	17.67	ok	1786947595.791
5.832	0	21.11	ok	1786947596.125
6.166	0	19.76	ok	1786947596.459
6.499	0	18.76	ok	1786947596.792
6.833	0	18.12	ok	1786947597.126
7.167	0	18.86	ok	1786947597.460
7.5	0	800.02	ok	1786947597.793
8.301	0	486.83	ok	1786947598.594
8.788	0	192.59	ok	1786947599.081
9.121	0	85.89	ok	1786947599.414
9.455	0	50.42	ok	1786947599.748
9.788	0	26.04	ok	1786947600.081
10.122	0	98.77	ok	1786947600.415
10.456	0	28.03	ok	1786947600.749
10.789	0	29.04	ok	1786947601.082
11.123	0	23.24	ok	1786947601.416
11.457	0	30.38	ok	1786947601.750
11.79	0	38.38	ok	1786947602.083
12.124	0	25.97	ok	1786947602.417
12.458	0	28.73	ok	1786947602.751
12.791	0	20.38	ok	1786947603.084
13.125	0	35.83	ok	1786947603.418
13.459	0	25.44	ok	1786947603.752
13.792	0	39.14	ok	1786947604.085
14.126	0	34.01	ok	1786947604.419
14.46	0	23.82	ok	1786947604.753
14.793	0	24.57	ok	1786947605.086
15.127	0	22.66	ok	1786947605.420
15.46	0	29.6	ok	1786947605.753
15.794	0	27.3	ok	1786947606.087
16.128	0	25.13	ok	1786947606.421
16.462	0	29.55	ok	1786947606.755
16.795	0	25.94	ok	1786947607.088
17.129	0	43.79	ok	1786947607.422
17.463	0	23.24	ok	1786947607.756
17.796	0	33.22	ok	1786947608.089
18.13	0	29.49	ok	1786947608.423
18.464	0	42.09	ok	1786947608.757
18.797	0	30.66	ok	1786947609.090
19.131	0	26.12	ok	1786947609.424
19.465	0	27.37	ok	1786947609.758
19.798	0	25.68	ok	1786947610.091
20.132	0	24.97	ok	1786947610.425
20.466	0	30.61	ok	1786947610.759
20.799	0	36.34	ok	1786947611.092
21.133	0	24.97	ok	1786947611.426
21.467	0	26.93	ok	1786947611.760
21.8	0	38.72	ok	1786947612.093
22.134	0	26.68	ok	1786947612.427
22.468	0	26.93	ok	1786947612.761
22.802	0	68.16	ok	1786947613.095
23.135	0	24.25	ok	1786947613.428
23.469	0	30.32	ok	1786947613.762
23.803	0	37.27	ok	1786947614.096
24.136	0	27.25	ok	1786947614.429
24.47	0	28.5	ok	1786947614.763
24.804	0	27.3	ok	1786947615.097
25.137	0	25.29	ok	1786947615.430
25.471	0	107.69	ok	1786947615.764
25.805	0	34.29	ok	1786947616.098
26.138	0	24.95	ok	1786947616.431
26.472	0	24.93	ok	1786947616.765
26.806	0	25.22	ok	1786947617.099
27.139	0	27.11	ok	1786947617.432
27.473	0	28.18	ok	1786947617.766
27.807	0	35.74	ok	1786947618.100
28.14	0	36.35	ok	1786947618.433
28.474	0	31.42	ok	1786947618.767
28.808	0	34.39	ok	1786947619.101
29.141	0	30.7	ok	1786947619.434
29.475	0	37.46	ok	1786947619.768
29.809	0	26.36	ok	1786947620.102
30.142	0	25.83	ok	1786947620.435
30.476	0	31.92	ok	1786947620.769
30.81	0	32.3	ok	1786947621.103
31.143	0	31.38	ok	1786947621.436
31.477	0	32.02	ok	1786947621.770
31.81	0	22.37	ok	1786947622.103
32.144	0	38.15	ok	1786947622.437
32.478	0	24.82	ok	1786947622.771
32.811	0	33.05	ok	1786947623.104
33.145	0	113.04	ok	1786947623.438
33.479	0	29.99	ok	1786947623.772
33.812	0	29.61	ok	1786947624.105
34.146	0	28.18	ok	1786947624.439
34.48	0	24.93	ok	1786947624.773
34.813	0	31.27	ok	1786947625.106
35.147	0	37.83	ok	1786947625.440
35.48	0	35.65	ok	1786947625.773
35.814	0	25.07	ok	1786947626.107
36.148	0	29.16	ok	1786947626.441
36.481	0	74.61	ok	1786947626.774
36.815	0	26.39	ok	1786947627.108
37.149	0	40.94	ok	1786947627.442
37.482	0	26.86	ok	1786947627.775
37.816	0	28.45	ok	1786947628.109
38.15	0	23.66	ok	1786947628.443
38.483	0	27.07	ok	1786947628.776
38.817	0	24.82	ok	1786947629.110
39.151	0	29.79	ok	1786947629.444
39.485	0	27.28	ok	1786947629.778
39.818	0	104.84	ok	1786947630.111
40.152	0	26.72	ok	1786947630.445
40.486	0	29.71	ok	1786947630.779
40.819	0	21.91	ok	1786947631.112
41.153	0	26.7	ok	1786947631.446
41.487	0	22.63	ok	1786947631.780
41.82	0	28.27	ok	1786947632.113
42.154	0	35.71	ok	1786947632.447
42.488	0	46.34	ok	1786947632.781
42.821	0	26.9	ok	1786947633.114
43.155	0	30.32	ok	1786947633.448
43.489	0	105.25	ok	1786947633.782
43.822	0	28.63	ok	1786947634.115
44.156	0	34.7	ok	1786947634.449
44.49	0	33.01	ok	1786947634.783
44.823	0	25.45	ok	1786947635.116
45.157	0	25.6	ok	1786947635.450
45.49	0	32.06	ok	1786947635.783
45.824	0	43.97	ok	1786947636.117
46.158	0	30.43	ok	1786947636.451
46.491	0	25.37	ok	1786947636.784
46.825	0	86.53	ok	1786947637.118
47.159	0	39.87	ok	1786947637.452
47.492	0	25.16	ok	1786947637.785
47.826	0	28.94	ok	1786947638.119
48.16	0	28.29	ok	1786947638.453
48.493	0	54.96	ok	1786947638.786
48.827	0	29.1	ok	1786947639.120
49.16	0	29.64	ok	1786947639.453
49.494	0	27.07	ok	1786947639.787
49.828	0	30.28	ok	1786947640.121
50.161	0	94.56	ok	1786947640.454
50.495	0	28.96	ok	1786947640.788
50.829	0	33.08	ok	1786947641.122
51.163	0	31.65	ok	1786947641.456
51.496	0	28.92	ok	1786947641.789
51.83	0	26.02	ok	1786947642.123
52.164	0	36.52	ok	1786947642.457
52.497	0	23.63	ok	1786947642.790
52.831	0	33.35	ok	1786947643.124
53.165	0	27.24	ok	1786947643.458
53.498	0	30.02	ok	1786947643.791
53.832	0	29.7	ok	1786947644.125
54.166	0	22.54	ok	1786947644.459
54.499	0	29.88	ok	1786947644.792
54.833	0	25.3	ok	1786947645.126
55.167	0	24.05	ok	1786947645.460
55.5	0	35.6	ok	1786947645.793
55.834	0	28.4	ok	1786947646.127
56.168	0	37.27	ok	1786947646.461
56.501	0	80.61	ok	1786947646.794
56.835	0	26.99	ok	1786947647.128
57.169	0	25.24	ok	1786947647.462
57.502	0	33.86	ok	1786947647.795
57.836	0	28.13	ok	1786947648.129
58.17	0	33.01	ok	1786947648.463
58.503	0	23.1	ok	1786947648.796
58.837	0	76.12	ok	1786947649.130
59.171	0	26.21	ok	1786947649.464
59.504	0	24.59	ok	1786947649.797
59.838	0	33.67	ok	1786947650.131
60.172	0	37.58	ok	1786947650.465
60.505	0	76.87	ok	1786947650.798
60.839	0	25.35	ok	1786947651.132
61.172	0	25.58	ok	1786947651.465
61.506	0	36.26	ok	1786947651.799
61.84	0	26.29	ok	1786947652.133
62.173	0	26.38	ok	1786947652.466
62.507	0	28.43	ok	1786947652.800
62.841	0	30.3	ok	1786947653.134
63.175	0	37.25	ok	1786947653.468
63.508	0	35.3	ok	1786947653.801
63.842	0	37.93	ok	1786947654.135
64.176	0	29.3	ok	1786947654.469
64.509	0	29.14	ok	1786947654.802
64.843	0	28.68	ok	1786947655.136
65.177	0	34.57	ok	1786947655.470
65.51	0	34.56	ok	1786947655.803
65.844	0	33.98	ok	1786947656.137
66.178	0	28.53	ok	1786947656.471
66.511	0	29.3	ok	1786947656.804
66.845	0	26.47	ok	1786947657.138
67.178	0	23.37	ok	1786947657.471
67.512	0	26.78	ok	1786947657.805
67.846	0	25.87	ok	1786947658.139
68.179	0	88.71	ok	1786947658.472
68.513	0	29.79	ok	1786947658.806
68.847	0	23.91	ok	1786947659.140
69.18	0	49.83	ok	1786947659.473
69.514	0	30.37	ok	1786947659.807
69.847	0	46.4	ok	1786947660.140
70.181	0	21.55	ok	1786947660.474
70.515	0	27.08	ok	1786947660.808
70.849	0	27.15	ok	1786947661.142
71.182	0	28.76	ok	1786947661.475
71.516	0	81.02	ok	1786947661.809
71.85	0	27.79	ok	1786947662.143
72.183	0	30.83	ok	1786947662.476
72.517	0	23.07	ok	1786947662.810
72.85	0	35.04	ok	1786947663.143
73.184	0	30.97	ok	1786947663.477
73.518	0	34.22	ok	1786947663.811
73.851	0	32.77	ok	1786947664.144
74.185	0	30.57	ok	1786947664.478
74.519	0	44.67	ok	1786947664.812
74.852	0	23.71	ok	1786947665.145
75.186	0	87.99	ok	1786947665.479
75.52	0	34.6	ok	1786947665.813
75.853	0	27.92	ok	1786947666.146
