t_rel	session	ms	outcome	t_abs
0.289	0	17.31	ok	1786943968.177
0.623	0	17.14	ok	1786943968.511
0.957	0	17.53	ok	1786943968.845
1.291	0	17.38	ok	1786943969.179
1.624	0	16.91	ok	1786943969.512
1.958	0	18.8	ok	1786943969.846
2.291	0	17.79	ok	1786943970.179
2.625	0	18.2	ok	1786943970.513
2.959	0	18.39	ok	1786943970.847
3.292	0	19.33	ok	1786943971.180
3.626	0	17.99	ok	1786943971.514
3.96	0	17.35	ok	1786943971.848
4.293	0	17.34	ok	1786943972.181
4.627	0	17.16	ok	1786943972.515
4.961	0	17.08	ok	1786943972.849
5.295	0	16.97	ok	1786943973.183
5.628	0	17.7	ok	1786943973.516
5.962	0	17.66	ok	1786943973.850
6.296	0	16.72	ok	1786943974.184
6.629	0	17.05	ok	1786943974.517
6.963	0	17.79	ok	1786943974.851
7.297	0	17.17	ok	1786943975.185
7.63	0	17.57	ok	1786943975.518
7.964	0	18.19	ok	1786943975.852
8.298	0	23.06	ok	1786943976.186
8.631	0	17.65	ok	1786943976.519
8.965	0	16.9	ok	1786943976.853
9.299	0	17.04	ok	1786943977.187
9.633	0	18.45	ok	1786943977.521
9.966	0	17.72	ok	1786943977.854
10.3	0	18.44	ok	1786943978.188
10.634	0	18.85	ok	1786943978.522
10.967	0	17.38	ok	1786943978.855
11.301	0	17.63	ok	1786943979.189
11.635	0	19.57	ok	1786943979.523
11.968	0	422.29	ok	1786943979.856
12.391	0	903.01	ok	1786943980.279
13.294	0	251.83	ok	1786943981.182
13.627	0	111.66	ok	1786943981.515
13.961	0	20.04	ok	1786943981.849
14.295	0	20.16	ok	1786943982.183
14.628	0	29.34	ok	1786943982.516
14.962	0	19.26	ok	1786943982.850
15.296	0	19.59	ok	1786943983.184
15.63	0	23.04	ok	1786943983.518
15.963	0	20.46	ok	1786943983.851
16.297	0	23.83	ok	1786943984.185
16.631	0	21.34	ok	1786943984.519
16.964	0	28.51	ok	1786943984.852
17.298	0	26.08	ok	1786943985.186
17.632	0	19.59	ok	1786943985.520
17.965	0	19.44	ok	1786943985.853
18.299	0	19.33	ok	1786943986.187
18.633	0	18.91	ok	1786943986.521
18.966	0	20.82	ok	1786943986.854
19.3	0	19.72	ok	1786943987.188
19.634	0	18.97	ok	1786943987.522
19.967	0	19.26	ok	1786943987.855
20.301	0	19.26	ok	1786943988.189
20.635	0	19.51	ok	1786943988.523
20.968	0	19.29	ok	1786943988.856
21.302	0	31.93	ok	1786943989.190
21.636	0	18.85	ok	1786943989.524
21.969	0	30.65	ok	1786943989.857
22.303	0	35.66	ok	1786943990.191
22.637	0	20.24	ok	1786943990.525
22.97	0	30.95	ok	1786943990.858
23.304	0	21.66	ok	1786943991.192
23.638	0	20.75	ok	1786943991.526
23.972	0	23.38	ok	1786943991.860
24.305	0	19.68	ok	1786943992.193
24.639	0	19.31	ok	1786943992.527
