t_rel	session	ms	outcome	t_abs
0.107	0	17.39	ok	1786955551.506
0.441	0	18.09	ok	1786955551.840
0.775	0	21.77	ok	1786955552.174
1.108	0	17.29	ok	1786955552.507
1.442	0	17.32	ok	1786955552.841
1.776	0	20.83	ok	1786955553.175
2.11	0	17.35	ok	1786955553.509
2.443	0	16.71	ok	1786955553.842
2.777	0	16.91	ok	1786955554.176
3.111	0	16.93	ok	1786955554.510
3.444	0	16.36	ok	1786955554.843
3.778	0	17.03	ok	1786955555.177
4.111	0	17.48	ok	1786955555.510
4.445	0	16.09	ok	1786955555.844
4.779	0	20.06	ok	1786955556.178
5.112	0	16.37	ok	1786955556.511
5.446	0	16.19	ok	1786955556.845
5.78	0	16.44	ok	1786955557.179
6.114	0	16.43	ok	1786955557.513
6.447	0	16.54	ok	1786955557.846
6.781	0	17.51	ok	1786955558.180
7.115	0	21.8	ok	1786955558.514
7.448	0	17.47	ok	1786955558.847
7.782	0	16.55	ok	1786955559.181
8.115	0	17.26	ok	1786955559.514
8.449	0	16.41	ok	1786955559.848
8.783	0	16.87	ok	1786955560.182
9.116	0	16.73	ok	1786955560.515
9.45	0	16.32	ok	1786955560.849
9.784	0	18.48	ok	1786955561.183
10.118	0	18.45	ok	1786955561.517
10.451	0	17.61	ok	1786955561.850
10.785	0	17.47	ok	1786955562.184
11.119	0	17.29	ok	1786955562.518
11.452	0	16.97	ok	1786955562.851
11.786	0	20.23	ok	1786955563.185
12.12	0	16.93	ok	1786955563.519
12.453	0	16.07	ok	1786955563.852
12.787	0	173.11	ok	1786955564.186
13.121	0	2035.09	ok	1786955564.520
15.156	0	863.42	ok	1786955566.555
16.019	0	443.8	ok	1786955567.418
16.463	0	474.27	ok	1786955567.862
16.938	0	460.42	ok	1786955568.337
17.398	0	452.0	ok	1786955568.797
17.85	0	450.82	ok	1786955569.249
18.301	0	435.79	ok	1786955569.700
18.737	0	481.54	ok	1786955570.136
19.219	0	471.93	ok	1786955570.618
19.691	0	444.82	ok	1786955571.090
20.136	0	459.04	ok	1786955571.535
20.595	0	472.54	ok	1786955571.994
21.068	0	456.96	ok	1786955572.467
21.525	0	458.94	ok	1786955572.924
21.984	0	447.15	ok	1786955573.383
22.431	0	504.83	ok	1786955573.830
22.936	0	437.51	ok	1786955574.335
23.374	0	437.34	ok	1786955574.773
23.811	0	460.32	ok	1786955575.210
24.272	0	493.41	ok	1786955575.671
24.765	0	535.13	ok	1786955576.164
25.301	0	402.67	ok	1786955576.700
25.703	0	423.62	ok	1786955577.102
26.127	0	433.56	ok	1786955577.526
26.561	0	460.51	ok	1786955577.960
27.021	0	458.58	ok	1786955578.420
27.48	0	453.98	ok	1786955578.879
27.934	0	445.17	ok	1786955579.333
28.38	0	460.62	ok	1786955579.779
28.84	0	439.42	ok	1786955580.239
29.28	0	496.08	ok	1786955580.679
29.776	0	436.43	ok	1786955581.175
30.213	0	447.34	ok	1786955581.612
30.66	0	465.32	ok	1786955582.059
31.126	0	483.45	ok	1786955582.525
31.609	0	485.04	ok	1786955583.008
32.094	0	448.46	ok	1786955583.493
32.543	0	457.27	ok	1786955583.942
33.0	0	437.0	ok	1786955584.399
33.437	0	495.75	ok	1786955584.836
33.933	0	436.81	ok	1786955585.332
34.37	0	426.59	ok	1786955585.769
34.797	0	460.77	ok	1786955586.196
35.258	0	451.51	ok	1786955586.657
35.71	0	492.19	ok	1786955587.109
36.202	0	466.43	ok	1786955587.601
36.669	0	451.76	ok	1786955588.068
37.12	0	437.76	ok	1786955588.519
37.558	0	434.76	ok	1786955588.957
37.993	0	483.91	ok	1786955589.392
38.477	0	450.41	ok	1786955589.876
38.928	0	463.25	ok	1786955590.327
39.391	0	441.77	ok	1786955590.790
39.833	0	442.81	ok	1786955591.232
40.276	0	505.39	ok	1786955591.675
40.781	0	448.32	ok	1786955592.180
41.23	0	436.06	ok	1786955592.629
41.666	0	456.32	ok	1786955593.065
42.123	0	458.29	ok	1786955593.522
42.581	0	522.12	ok	1786955593.980
43.103	0	432.1	ok	1786955594.502
43.535	0	514.16	ok	1786955594.934
44.05	0	461.93	ok	1786955595.449
44.512	0	490.75	ok	1786955595.911
45.003	0	454.55	ok	1786955596.402
45.457	0	456.6	ok	1786955596.856
45.914	0	434.88	ok	1786955597.313
46.349	0	469.15	ok	1786955597.748
46.818	0	496.09	ok	1786955598.217
47.315	0	444.05	ok	1786955598.714
47.759	0	436.45	ok	1786955599.158
48.195	0	432.36	ok	1786955599.594
48.628	0	458.65	ok	1786955600.027
49.087	0	527.12	ok	1786955600.486
49.614	0	425.34	ok	1786955601.013
50.039	0	447.2	ok	1786955601.438
50.487	0	464.11	ok	1786955601.886
50.951	0	434.83	ok	1786955602.350
51.386	0	509.96	ok	1786955602.785
51.896	0	445.37	ok	1786955603.295
52.342	0	462.38	ok	1786955603.741
52.804	0	454.64	ok	1786955604.203
53.259	0	490.67	ok	1786955604.658
53.75	0	497.68	ok	1786955605.149
54.248	0	468.47	ok	1786955605.647
54.716	0	648.91	ok	1786955606.115
55.365	0	312.09	ok	1786955606.764
55.699	0	481.88	ok	1786955607.098
56.181	0	435.27	ok	1786955607.580
56.616	0	444.4	ok	1786955608.015
57.061	0	461.36	ok	1786955608.460
57.522	0	443.68	ok	1786955608.921
57.966	0	513.75	ok	1786955609.365
58.48	0	437.62	ok	1786955609.879
58.918	0	450.14	ok	1786955610.317
59.368	0	455.2	ok	1786955610.767
59.823	0	488.95	ok	1786955611.222
60.312	0	465.77	ok	1786955611.711
60.778	0	481.92	ok	1786955612.177
61.26	0	442.76	ok	1786955612.659
61.703	0	471.82	ok	1786955613.102
62.175	0	505.67	ok	1786955613.574
62.681	0	453.24	ok	1786955614.080
63.134	0	483.91	ok	1786955614.533
63.618	0	494.99	ok	1786955615.017
64.113	0	491.73	ok	1786955615.512
64.605	0	496.42	ok	1786955616.004
65.102	0	419.83	ok	1786955616.501
65.522	0	520.64	ok	1786955616.921
66.043	0	580.29	ok	1786955617.442
66.623	0	376.12	ok	1786955618.022
66.999	0	438.59	ok	1786955618.398
67.438	0	436.27	ok	1786955618.837
67.874	0	473.68	ok	1786955619.273
68.348	0	432.55	ok	1786955619.747
68.781	0	498.24	ok	1786955620.180
69.279	0	438.55	ok	1786955620.678
69.718	0	463.13	ok	1786955621.117
70.181	0	450.27	ok	1786955621.580
70.632	0	437.35	ok	1786955622.031
71.069	0	501.61	ok	1786955622.468
71.571	0	495.25	ok	1786955622.970
72.066	0	429.96	ok	1786955623.465
72.496	0	450.34	ok	1786955623.895
72.947	0	440.25	ok	1786955624.346
73.387	0	534.98	ok	1786955624.786
73.922	0	455.67	ok	1786955625.321
74.378	0	433.51	ok	1786955625.777
74.812	0	468.54	ok	1786955626.211
75.28	0	510.91	ok	1786955626.679
75.791	0	455.2	ok	1786955627.190
76.247	0	465.45	ok	1786955627.646
76.712	0	438.18	ok	1786955628.111
77.151	0	463.48	ok	1786955628.550
77.614	0	506.85	ok	1786955629.013
78.121	0	464.71	ok	1786955629.520
78.586	0	448.18	ok	1786955629.985
79.034	0	542.62	ok	1786955630.433
79.577	0	538.48	ok	1786955630.976
80.116	0	452.43	ok	1786955631.515
80.568	0	483.88	ok	1786955631.967
81.052	0	452.05	ok	1786955632.451
81.505	0	426.5	ok	1786955632.904
81.931	0	536.84	ok	1786955633.330
82.468	0	437.79	ok	1786955633.867
82.906	0	465.93	ok	1786955634.305
83.372	0	545.06	ok	1786955634.771
83.917	0	452.18	ok	1786955635.316
84.37	0	557.63	ok	1786955635.769
84.927	0	457.91	ok	1786955636.326
85.385	0	430.06	ok	1786955636.784
85.816	0	401.27	ok	1786955637.215
86.217	0	437.41	ok	1786955637.616
86.654	0	510.59	ok	1786955638.053
87.165	0	450.82	ok	1786955638.564
87.616	0	452.96	ok	1786955639.015
88.069	0	441.67	ok	1786955639.468
88.511	0	437.39	ok	1786955639.910
88.949	0	507.72	ok	1786955640.348
89.456	0	445.77	ok	1786955640.855
89.902	0	476.13	ok	1786955641.301
90.379	0	480.79	ok	1786955641.778
90.86	0	415.95	ok	1786955642.259
91.276	0	509.22	ok	1786955642.675
91.785	0	447.38	ok	1786955643.184
92.232	0	443.21	ok	1786955643.631
92.676	0	459.93	ok	1786955644.075
93.136	0	499.53	ok	1786955644.535
93.636	0	475.07	ok	1786955645.035
94.111	0	476.64	ok	1786955645.510
94.588	0	429.01	ok	1786955645.987
95.017	0	458.0	ok	1786955646.416
95.475	0	481.59	ok	1786955646.874
95.957	0	462.73	ok	1786955647.356
96.419	0	458.93	ok	1786955647.818
96.879	0	455.62	ok	1786955648.278
97.334	0	452.89	ok	1786955648.733
97.787	0	499.92	ok	1786955649.186
98.287	0	463.83	ok	1786955649.686
98.751	0	443.18	ok	1786955650.150
99.195	0	448.15	ok	1786955650.594
99.643	0	430.75	ok	1786955651.042
100.074	0	529.47	ok	1786955651.473
100.603	0	495.74	ok	1786955652.002
101.099	0	524.17	ok	1786955652.498
101.624	0	568.48	ok	1786955653.023
102.192	0	453.14	ok	1786955653.591
102.646	0	424.33	ok	1786955654.045
103.07	0	101.58	ok	1786955654.469
103.404	0	18.32	ok	1786955654.803
103.737	0	18.57	ok	1786955655.136
104.071	0	18.18	ok	1786955655.470
