t_rel	session	ms	outcome	t_abs
0.108	0	16.97	ok	1786955027.788
0.441	0	17.67	ok	1786955028.121
0.775	0	16.47	ok	1786955028.455
1.109	0	16.61	ok	1786955028.789
1.442	0	16.08	ok	1786955029.122
1.776	0	16.6	ok	1786955029.456
2.11	0	17.89	ok	1786955029.790
2.443	0	16.98	ok	1786955030.123
2.777	0	16.98	ok	1786955030.457
3.111	0	16.44	ok	1786955030.791
3.444	0	16.55	ok	1786955031.124
3.778	0	16.7	ok	1786955031.458
4.112	0	16.31	ok	1786955031.792
4.445	0	15.96	ok	1786955032.125
4.779	0	17.74	ok	1786955032.459
5.113	0	16.42	ok	1786955032.793
5.447	0	16.16	ok	1786955033.127
5.78	0	16.38	ok	1786955033.460
6.114	0	15.85	ok	1786955033.794
6.448	0	16.45	ok	1786955034.128
6.781	0	16.88	ok	1786955034.461
7.115	0	17.2	ok	1786955034.795
7.449	0	18.35	ok	1786955035.129
7.782	0	17.34	ok	1786955035.462
8.116	0	17.02	ok	1786955035.796
8.45	0	17.14	ok	1786955036.130
8.783	0	16.17	ok	1786955036.463
9.117	0	16.79	ok	1786955036.797
9.451	0	16.4	ok	1786955037.131
9.784	0	18.15	ok	1786955037.464
10.118	0	16.69	ok	1786955037.798
10.452	0	16.51	ok	1786955038.132
10.785	0	16.11	ok	1786955038.465
11.119	0	16.28	ok	1786955038.799
11.453	0	16.77	ok	1786955039.133
11.786	0	16.91	ok	1786955039.466
12.12	0	16.55	ok	1786955039.800
12.454	0	16.95	ok	1786955040.134
12.787	0	739.3	ok	1786955040.467
13.527	0	1896.63	ok	1786955041.207
15.424	0	557.73	ok	1786955043.104
15.981	0	484.12	ok	1786955043.661
16.466	0	450.55	ok	1786955044.146
16.916	0	427.5	ok	1786955044.596
17.344	0	479.25	ok	1786955045.024
17.823	0	435.28	ok	1786955045.503
18.259	0	493.38	ok	1786955045.939
18.752	0	450.49	ok	1786955046.432
19.203	0	431.32	ok	1786955046.883
19.634	0	437.66	ok	1786955047.314
20.072	0	451.16	ok	1786955047.752
20.523	0	468.53	ok	1786955048.203
20.992	0	456.68	ok	1786955048.672
21.449	0	615.05	ok	1786955049.129
22.064	0	409.57	ok	1786955049.744
