t_rel	session	ms	outcome	t_abs
0.107	0	17.09	ok	1786945350.266
0.44	0	17.96	ok	1786945350.599
0.774	0	17.43	ok	1786945350.933
1.108	0	17.07	ok	1786945351.267
1.442	0	17.74	ok	1786945351.601
1.775	0	19.25	ok	1786945351.934
2.109	0	196.59	ok	1786945352.268
2.442	0	18.18	ok	1786945352.601
2.776	0	18.26	ok	1786945352.935
3.11	0	18.62	ok	1786945353.269
3.443	0	17.96	ok	1786945353.602
3.777	0	18.23	ok	1786945353.936
4.111	0	18.22	ok	1786945354.270
4.444	0	18.37	ok	1786945354.603
4.778	0	18.76	ok	1786945354.937
5.112	0	18.03	ok	1786945355.271
5.445	0	18.33	ok	1786945355.604
5.779	0	18.24	ok	1786945355.938
6.113	0	17.94	ok	1786945356.272
6.447	0	19.08	ok	1786945356.606
6.78	0	17.88	ok	1786945356.939
7.114	0	18.49	ok	1786945357.273
7.448	0	18.67	ok	1786945357.607
7.781	0	18.26	ok	1786945357.940
8.115	0	18.34	ok	1786945358.274
8.449	0	18.2	ok	1786945358.608
8.782	0	18.27	ok	1786945358.941
9.116	0	18.18	ok	1786945359.275
9.45	0	17.9	ok	1786945359.609
9.783	0	17.93	ok	1786945359.942
10.117	0	18.62	ok	1786945360.276
10.451	0	18.43	ok	1786945360.610
10.784	0	17.98	ok	1786945360.943
11.118	0	18.32	ok	1786945361.277
11.452	0	18.22	ok	1786945361.611
11.785	0	18.68	ok	1786945361.944
12.119	0	18.56	ok	1786945362.278
12.453	0	17.71	ok	1786945362.612
12.787	0	18.17	ok	1786945362.946
13.12	0	18.35	ok	1786945363.279
13.454	0	19.18	ok	1786945363.613
13.788	0	18.29	ok	1786945363.947
14.121	0	18.19	ok	1786945364.280
14.455	0	18.76	ok	1786945364.614
14.789	0	18.48	ok	1786945364.948
15.122	0	18.02	ok	1786945365.281
15.456	0	18.52	ok	1786945365.615
15.79	0	18.16	ok	1786945365.949
16.124	0	18.35	ok	1786945366.283
16.457	0	18.72	ok	1786945366.616
16.791	0	17.99	ok	1786945366.950
17.124	0	18.35	ok	1786945367.283
17.458	0	18.38	ok	1786945367.617
17.792	0	17.57	ok	1786945367.951
