t_rel	session	ms	outcome	t_abs
0.302	0	16.85	ok	1786946408.098
0.636	0	21.19	ok	1786946408.432
0.97	0	17.93	ok	1786946408.766
1.303	0	18.1	ok	1786946409.099
1.637	0	18.45	ok	1786946409.433
1.97	0	95.23	ok	1786946409.766
2.304	0	42.79	ok	1786946410.100
2.638	0	19.51	ok	1786946410.434
2.972	0	18.57	ok	1786946410.768
3.305	0	18.25	ok	1786946411.101
3.639	0	18.27	ok	1786946411.435
3.973	0	18.33	ok	1786946411.769
4.306	0	17.75	ok	1786946412.102
4.64	0	18.14	ok	1786946412.436
4.974	0	18.34	ok	1786946412.770
5.307	0	18.0	ok	1786946413.103
5.641	0	18.63	ok	1786946413.437
5.975	0	18.18	ok	1786946413.771
6.309	0	17.91	ok	1786946414.105
6.642	0	18.43	ok	1786946414.438
6.976	0	18.08	ok	1786946414.772
7.31	0	18.18	ok	1786946415.106
7.643	0	18.29	ok	1786946415.439
7.977	0	18.64	ok	1786946415.773
8.311	0	17.9	ok	1786946416.107
8.644	0	17.97	ok	1786946416.440
8.978	0	18.66	ok	1786946416.774
9.312	0	18.1	ok	1786946417.108
9.645	0	18.22	ok	1786946417.441
9.979	0	19.23	ok	1786946417.775
10.313	0	18.02	ok	1786946418.109
10.647	0	19.24	ok	1786946418.443
10.98	0	18.83	ok	1786946418.776
11.314	0	18.16	ok	1786946419.110
11.648	0	18.4	ok	1786946419.444
11.981	0	19.08	ok	1786946419.777
12.315	0	18.34	ok	1786946420.111
12.649	0	18.35	ok	1786946420.445
12.982	0	18.61	ok	1786946420.778
13.316	0	18.07	ok	1786946421.112
13.65	0	18.69	ok	1786946421.446
13.983	0	18.26	ok	1786946421.779
14.317	0	20.09	ok	1786946422.113
14.651	0	18.56	ok	1786946422.447
14.985	0	18.34	ok	1786946422.781
15.318	0	18.91	ok	1786946423.114
15.652	0	18.4	ok	1786946423.448
15.986	0	17.76	ok	1786946423.782
16.319	0	18.91	ok	1786946424.115
16.653	0	18.19	ok	1786946424.449
16.987	0	18.04	ok	1786946424.783
17.32	0	19.19	ok	1786946425.116
17.654	0	18.21	ok	1786946425.450
17.988	0	18.59	ok	1786946425.784
18.322	0	18.38	ok	1786946426.118
18.655	0	18.01	ok	1786946426.451
18.989	0	19.84	ok	1786946426.785
19.323	0	19.32	ok	1786946427.119
19.656	0	18.11	ok	1786946427.452
19.99	0	18.64	ok	1786946427.786
20.324	0	17.74	ok	1786946428.120
20.657	0	17.76	ok	1786946428.453
20.991	0	18.8	ok	1786946428.787
21.325	0	18.53	ok	1786946429.121
21.658	0	18.53	ok	1786946429.454
21.992	0	19.59	ok	1786946429.788
22.326	0	17.87	ok	1786946430.122
22.659	0	18.7	ok	1786946430.455
22.993	0	18.5	ok	1786946430.789
23.327	0	18.09	ok	1786946431.123
23.66	0	18.69	ok	1786946431.456
23.994	0	18.9	ok	1786946431.790
24.328	0	18.68	ok	1786946432.124
24.662	0	19.73	ok	1786946432.458
24.995	0	18.39	ok	1786946432.791
25.329	0	20.15	ok	1786946433.125
25.663	0	18.45	ok	1786946433.459
25.996	0	20.06	ok	1786946433.792
26.33	0	18.82	ok	1786946434.126
26.664	0	18.11	ok	1786946434.460
26.997	0	18.24	ok	1786946434.793
27.331	0	18.74	ok	1786946435.127
27.665	0	18.2	ok	1786946435.461
27.999	0	20.5	ok	1786946435.795
28.332	0	18.7	ok	1786946436.128
28.666	0	17.71	ok	1786946436.462
28.999	0	18.32	ok	1786946436.795
29.333	0	18.12	ok	1786946437.129
29.667	0	17.88	ok	1786946437.463
30.001	0	18.41	ok	1786946437.797
30.334	0	18.1	ok	1786946438.130
30.668	0	18.2	ok	1786946438.464
31.001	0	20.24	ok	1786946438.797
31.335	0	19.04	ok	1786946439.131
31.669	0	18.49	ok	1786946439.465
32.003	0	18.2	ok	1786946439.799
32.336	0	18.02	ok	1786946440.132
32.67	0	18.78	ok	1786946440.466
33.004	0	21.08	ok	1786946440.800
33.337	0	18.79	ok	1786946441.133
33.671	0	19.01	ok	1786946441.467
34.005	0	17.87	ok	1786946441.801
34.338	0	20.92	ok	1786946442.134
34.672	0	18.73	ok	1786946442.468
35.006	0	18.87	ok	1786946442.802
35.34	0	18.38	ok	1786946443.136
35.673	0	18.04	ok	1786946443.469
36.007	0	18.43	ok	1786946443.803
36.341	0	18.59	ok	1786946444.137
36.674	0	18.23	ok	1786946444.470
37.008	0	18.37	ok	1786946444.804
37.341	0	18.42	ok	1786946445.137
37.675	0	18.22	ok	1786946445.471
38.009	0	19.18	ok	1786946445.805
38.343	0	18.03	ok	1786946446.139
38.676	0	18.44	ok	1786946446.472
39.01	0	18.02	ok	1786946446.806
39.344	0	18.59	ok	1786946447.140
39.677	0	17.74	ok	1786946447.473
40.011	0	18.4	ok	1786946447.807
40.345	0	18.8	ok	1786946448.141
40.678	0	18.1	ok	1786946448.474
41.012	0	19.64	ok	1786946448.808
41.346	0	18.09	ok	1786946449.142
41.68	0	18.74	ok	1786946449.476
42.013	0	19.91	ok	1786946449.809
42.347	0	18.6	ok	1786946450.143
42.681	0	18.4	ok	1786946450.477
43.014	0	18.35	ok	1786946450.810
43.348	0	18.32	ok	1786946451.144
43.681	0	18.58	ok	1786946451.477
