t_rel	session	ms	outcome	t_abs
0.112	0	17.74	ok	1786951532.909
0.446	0	19.87	ok	1786951533.243
0.779	0	19.76	ok	1786951533.576
1.113	0	19.4	ok	1786951533.910
1.447	0	20.49	ok	1786951534.244
1.78	0	19.54	ok	1786951534.577
2.114	0	171.97	ok	1786951534.911
2.447	0	20.59	ok	1786951535.244
2.781	0	20.44	ok	1786951535.578
3.115	0	20.46	ok	1786951535.912
3.449	0	20.61	ok	1786951536.246
3.782	0	19.66	ok	1786951536.579
4.116	0	21.53	ok	1786951536.913
4.45	0	19.68	ok	1786951537.247
4.783	0	20.19	ok	1786951537.580
5.117	0	21.19	ok	1786951537.914
5.451	0	20.49	ok	1786951538.248
5.785	0	19.92	ok	1786951538.582
6.118	0	21.6	ok	1786951538.915
6.452	0	19.73	ok	1786951539.249
6.786	0	20.29	ok	1786951539.583
7.119	0	21.31	ok	1786951539.916
7.453	0	21.6	ok	1786951540.250
7.787	0	20.31	ok	1786951540.584
8.12	0	20.23	ok	1786951540.917
8.454	0	20.16	ok	1786951541.251
8.788	0	21.42	ok	1786951541.585
9.121	0	20.75	ok	1786951541.918
9.455	0	20.45	ok	1786951542.252
9.789	0	21.38	ok	1786951542.586
10.122	0	20.22	ok	1786951542.919
10.456	0	22.29	ok	1786951543.253
10.79	0	20.82	ok	1786951543.587
11.124	0	20.05	ok	1786951543.921
11.457	0	20.72	ok	1786951544.254
11.791	0	20.09	ok	1786951544.588
12.125	0	21.02	ok	1786951544.922
12.458	0	20.49	ok	1786951545.255
12.792	0	20.45	ok	1786951545.589
13.126	0	21.45	ok	1786951545.923
13.459	0	20.66	ok	1786951546.256
13.793	0	20.11	ok	1786951546.590
14.127	0	20.48	ok	1786951546.924
14.46	0	20.78	ok	1786951547.257
14.794	0	42.27	ok	1786951547.591
15.128	0	21.46	ok	1786951547.925
15.461	0	21.02	ok	1786951548.258
15.795	0	21.06	ok	1786951548.592
16.129	0	21.1	ok	1786951548.926
16.462	0	20.5	ok	1786951549.259
16.796	0	20.92	ok	1786951549.593
17.13	0	20.4	ok	1786951549.927
17.464	0	20.27	ok	1786951550.261
17.797	0	21.35	ok	1786951550.594
18.131	0	20.59	ok	1786951550.928
18.465	0	20.81	ok	1786951551.262
18.798	0	24.9	ok	1786951551.595
19.132	0	20.11	ok	1786951551.929
19.466	0	20.56	ok	1786951552.263
19.8	0	19.9	ok	1786951552.597
20.133	0	19.61	ok	1786951552.930
20.467	0	20.61	ok	1786951553.264
20.801	0	25.35	ok	1786951553.598
21.134	0	19.99	ok	1786951553.931
21.468	0	20.71	ok	1786951554.265
21.802	0	20.43	ok	1786951554.599
22.136	0	20.58	ok	1786951554.933
22.469	0	20.88	ok	1786951555.266
22.803	0	26.49	ok	1786951555.600
23.137	0	20.06	ok	1786951555.934
23.47	0	20.13	ok	1786951556.267
23.804	0	21.56	ok	1786951556.601
24.138	0	20.5	ok	1786951556.935
24.471	0	19.62	ok	1786951557.268
24.805	0	20.66	ok	1786951557.602
25.139	0	19.5	ok	1786951557.936
25.472	0	19.92	ok	1786951558.269
25.806	0	20.61	ok	1786951558.603
26.14	0	21.32	ok	1786951558.937
26.474	0	19.31	ok	1786951559.271
26.807	0	20.72	ok	1786951559.604
27.141	0	20.99	ok	1786951559.938
27.475	0	20.22	ok	1786951560.272
27.808	0	20.55	ok	1786951560.605
28.142	0	20.13	ok	1786951560.939
28.476	0	20.02	ok	1786951561.273
28.809	0	20.56	ok	1786951561.606
29.143	0	20.13	ok	1786951561.940
29.476	0	19.53	ok	1786951562.273
29.81	0	19.9	ok	1786951562.607
30.144	0	20.18	ok	1786951562.941
30.478	0	20.18	ok	1786951563.275
30.811	0	19.79	ok	1786951563.608
31.145	0	20.51	ok	1786951563.942
31.479	0	20.36	ok	1786951564.276
31.812	0	19.9	ok	1786951564.609
32.146	0	20.89	ok	1786951564.943
32.48	0	19.67	ok	1786951565.277
32.813	0	21.56	ok	1786951565.610
33.147	0	19.53	ok	1786951565.944
33.481	0	20.63	ok	1786951566.278
33.815	0	20.31	ok	1786951566.612
34.148	0	20.28	ok	1786951566.945
34.482	0	19.52	ok	1786951567.279
34.816	0	20.16	ok	1786951567.613
35.149	0	19.26	ok	1786951567.946
35.483	0	19.64	ok	1786951568.280
35.817	0	20.5	ok	1786951568.614
36.15	0	19.67	ok	1786951568.947
36.484	0	21.47	ok	1786951569.281
36.818	0	21.26	ok	1786951569.615
37.151	0	20.42	ok	1786951569.948
37.485	0	20.62	ok	1786951570.282
37.819	0	19.76	ok	1786951570.616
38.152	0	20.28	ok	1786951570.949
38.486	0	19.6	ok	1786951571.283
38.82	0	19.85	ok	1786951571.617
39.153	0	21.1	ok	1786951571.950
39.487	0	19.86	ok	1786951572.284
39.821	0	19.19	ok	1786951572.618
40.155	0	20.32	ok	1786951572.952
40.488	0	20.93	ok	1786951573.285
40.822	0	19.67	ok	1786951573.619
41.156	0	20.37	ok	1786951573.953
41.489	0	20.68	ok	1786951574.286
41.823	0	20.25	ok	1786951574.620
42.157	0	21.12	ok	1786951574.954
42.49	0	20.99	ok	1786951575.287
42.824	0	20.56	ok	1786951575.621
43.158	0	19.92	ok	1786951575.955
43.491	0	19.89	ok	1786951576.288
43.825	0	20.07	ok	1786951576.622
44.159	0	20.03	ok	1786951576.956
44.492	0	19.7	ok	1786951577.289
44.826	0	20.4	ok	1786951577.623
45.16	0	19.23	ok	1786951577.957
45.493	0	20.08	ok	1786951578.290
45.827	0	20.25	ok	1786951578.624
46.161	0	20.08	ok	1786951578.958
46.494	0	20.83	ok	1786951579.291
46.828	0	19.43	ok	1786951579.625
47.162	0	20.0	ok	1786951579.959
47.496	0	21.21	ok	1786951580.293
47.829	0	20.29	ok	1786951580.626
48.163	0	20.66	ok	1786951580.960
48.497	0	19.88	ok	1786951581.294
48.83	0	20.14	ok	1786951581.627
49.164	0	19.68	ok	1786951581.961
49.498	0	19.5	ok	1786951582.295
49.832	0	19.71	ok	1786951582.629
50.165	0	20.21	ok	1786951582.962
50.499	0	19.61	ok	1786951583.296
50.833	0	20.84	ok	1786951583.630
51.166	0	21.08	ok	1786951583.963
