tag	arm	sessions	req	rps	detect_pct	p50	p95	p99	window
B_discard_80	B	80	240	3.01	100.00	24.1	31.9	44.4	warm
B_anc1_80	B	80	240	3.01	100.00	24.6	40.7	75.6	warm
A_discard_20	A	20	239	3.01	100.00	18.4	19.0	19.3	warm
A_r1_20	A	20	239	3.01	100.00	18.5	19.0	19.2	warm
A_r1_40	A	40	240	3.01	100.00	21.8	29.9	34.5	warm
A_r1_60	A	60	240	3.01	100.00	29.6	42.8	76.3	warm
A_r1_80	A	80	240	3.01	100.00	22.9	31.4	64.5	warm
A_r1_90	A	90	239	3.01	100.00	30.6	43.6	87.5	warm
A_r1_100	A	100	240	3.01	100.00	27.0	69.5	104.9	warm
A_r1_120	A	120	233	2.92	100.00	329.4	382.4	430.9	warm
A_r1_160	A	160	175	2.19	100.00	447.2	521.1	540.5	warm
B_r1_20	B	20	239	3.01	100.00	18.3	18.9	19.2	warm
B_r1_40	B	40	240	3.01	100.00	19.8	31.8	34.8	warm
B_r1_60	B	60	239	3.01	100.00	21.9	31.2	34.1	warm
B_r1_80	B	80	240	3.01	100.00	36.0	51.9	88.4	warm
B_r1_90	B	90	239	3.01	100.00	19.1	29.6	40.4	warm
B_r1_100	B	100	240	3.01	100.00	29.3	55.1	71.6	warm
B_r1_120	B	120	232	2.91	100.00	336.5	384.1	394.5	warm
B_r1_160	B	160	173	2.17	100.00	456.2	512.5	550.5	warm
C_discard_20	C	20	240	3.01	100.00	18.5	20.2	23.0	warm
C_r1_20	C	20	240	3.01	100.00	19.4	28.6	32.1	warm
C_r1_40	C	40	239	3.01	100.00	18.6	23.5	25.0	warm
C_r1_60	C	60	239	3.01	100.00	20.2	29.1	70.0	warm
C_r1_80	C	80	240	3.01	100.00	29.8	40.4	62.3	warm
C_r1_90	C	90	240	3.01	100.00	32.9	72.7	96.0	warm
C_r1_100	C	100	240	3.01	100.00	137.7	187.5	261.0	warm
C_r1_120	C	120	210	2.64	100.00	376.5	442.2	472.6	warm
C_r1_160	C	160	158	1.99	100.00	499.4	572.8	592.3	warm
B_anc2_80	B	80	239	3.01	100.00	29.1	76.1	105.2	warm
B_r2_60	B	60	240	3.01	100.00	23.7	35.6	50.7	warm
B_r2_80	B	80	240	3.01	100.00	20.9	31.9	38.9	warm
B_r2_90	B	90	240	3.01	100.00	32.8	74.4	101.3	warm
B_r2_100	B	100	240	3.01	100.00	36.3	57.5	99.9	warm
B_r2_120	B	120	229	2.88	100.00	340.0	392.0	413.9	warm
B_r2_160	B	160	174	2.18	100.00	457.6	506.5	521.3	warm
B_r2_20	B	20	239	3.01	100.00	19.4	23.0	31.5	warm
B_r2_40	B	40	240	3.01	100.00	27.0	35.8	39.9	warm
C_r2_60	C	60	239	3.01	100.00	24.2	32.8	46.6	warm
C_r2_80	C	80	240	3.01	100.00	33.9	56.9	81.7	warm
C_r2_90	C	90	240	3.01	100.00	25.7	67.6	93.3	warm
C_r2_100	C	100	240	3.01	100.00	46.6	104.5	199.4	warm
C_r2_120	C	120	208	2.61	100.00	380.8	439.5	457.9	warm
C_r2_160	C	160	157	1.97	100.00	507.6	583.6	625.8	warm
C_r2_20	C	20	240	3.01	100.00	18.5	19.1	19.4	warm
C_r2_40	C	40	239	3.01	100.00	20.1	29.8	58.0	warm
A_r2_60	A	60	240	3.01	100.00	19.1	27.9	28.7	warm
A_r2_80	A	80	240	3.01	100.00	23.7	33.1	45.6	warm
A_r2_90	A	90	239	3.01	100.00	21.3	33.7	41.7	warm
A_r2_100	A	100	240	3.01	100.00	27.9	69.1	87.7	warm
A_r2_120	A	120	229	2.88	100.00	338.5	394.9	425.2	warm
A_r2_160	A	160	174	2.18	100.00	455.9	514.4	562.4	warm
A_r2_20	A	20	240	3.01	100.00	18.9	22.8	29.8	warm
A_r2_40	A	40	240	3.01	100.00	18.8	19.9	20.5	warm
B_anc3_80	B	80	240	3.01	100.00	23.1	30.6	43.4	warm
C_r3_90	C	90	240	3.01	100.00	28.0	48.4	75.3	warm
C_r3_100	C	100	227	2.85	100.00	348.6	390.9	410.4	warm
C_r3_120	C	120	188	2.36	100.00	425.3	481.6	516.0	warm
C_r3_160	C	160	142	1.79	100.00	561.1	615.6	639.8	warm
C_r3_20	C	20	240	3.01	100.00	20.6	22.6	30.9	warm
C_r3_40	C	40	240	3.01	100.00	22.9	33.2	47.4	warm
C_r3_60	C	60	239	3.01	100.00	28.1	38.5	42.9	warm
C_r3_80	C	80	239	3.01	100.00	44.2	75.6	96.5	warm
A_r3_90	A	90	240	3.01	100.00	25.8	50.7	87.9	warm
A_r3_100	A	100	240	3.01	100.00	31.8	50.8	94.6	warm
A_r3_120	A	120	229	2.88	100.00	337.4	396.6	444.7	warm
A_r3_160	A	160	176	2.20	100.00	448.1	511.8	524.2	warm
