arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
B	discard	10	300	30.07	100.00	18.5	19.8	25.4	0	0	0	1786943131.860	1786943141.837	full
B	anc1	10	300	30.19	100.00	19.0	23.8	27.3	0	0	0	1786943183.412	1786943193.348	full
A	discard	5	150	15.21	100.00	18.3	19.2	19.2	0	0	0	1786943252.013	1786943261.876	full
A	r1	5	150	15.15	100.00	18.6	20.5	23.8	0	0	0	1786943295.687	1786943305.588	full
A	r1	10	300	30.24	100.00	18.7	26.5	27.4	0	0	0	1786943339.813	1786943349.734	full
B	r1	5	150	15.30	100.00	18.2	18.9	19.3	0	0	0	1786943410.222	1786943420.029	full
B	r1	10	298	29.91	100.00	18.6	21.9	25.9	0	0	0	1786943462.463	1786943472.427	full
C	discard	5	150	15.16	100.00	18.2	19.1	19.4	0	0	0	1786943562.909	1786943572.806	full
C	r1	5	150	15.31	100.00	18.3	19.1	19.4	0	0	0	1786943615.942	1786943625.737	full
C	r1	10	299	30.07	100.00	18.9	25.7	31.2	0	0	0	1786943668.543	1786943678.487	full
B	anc2	10	300	30.12	100.00	18.7	25.7	28.3	0	0	0	1786943769.277	1786943779.236	full
B	lc2_t1	10	300	30.12	100.00	18.8	23.8	27.2	0	0	0	1786943843.759	1786943853.720	2
B	lcF_t1	10	300	30.06	100.00	18.5	20.1	25.6	0	0	0	1786943896.254	1786943906.233	full
