tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms	req_expected	req_missing
B_discard_10	B	10	19	18.9	569	569	0	10.7	14.4	18.0	570	1
B_anc1_10	B	10	19	18.9	569	569	0	10.0	12.0	13.5	570	1
A_discard_5	A	5	-	-	-	-	-	-	-	-
A_r1_5	A	5	-	-	-	-	-	-	-	-
A_r1_10	A	10	-	-	-	-	-	-	-	-
B_r1_5	B	5	19	18.9	569	569	0	9.5	11.7	12.8	570	1
B_r1_10	B	10	19	19.0	569	569	0	9.5	11.5	12.0	570	1
C_discard_5	C	5	19	18.9	569	569	0	10.7	13.2	16.7	570	1
C_r1_5	C	5	19	19.0	569	569	0	9.6	11.9	14.5	570	1
C_r1_10	C	10	19	19.0	569	569	0	9.4	11.7	12.7	570	1
B_anc2_10	B	10	19	19.0	569	569	0	10.8	13.1	14.7	570	1
B_lc2_t1_10	B	10	19	18.9	569	569	0	9.8	12.0	12.7	570	1
B_lcF_t1_10	B	10	19	18.9	569	569	0	9.7	11.8	12.8	570	1
