t_rel	session	ms	outcome	t_abs
0.27	0	17.82	ok	1786943246.538
0.603	0	19.99	ok	1786943246.871
0.937	0	20.63	ok	1786943247.205
1.271	0	19.46	ok	1786943247.539
1.604	0	18.8	ok	1786943247.872
1.938	0	18.12	ok	1786943248.206
2.272	0	19.19	ok	1786943248.540
2.605	0	18.52	ok	1786943248.873
2.939	0	19.72	ok	1786943249.207
3.273	0	19.21	ok	1786943249.541
3.607	0	18.87	ok	1786943249.875
3.94	0	19.01	ok	1786943250.208
4.274	0	18.74	ok	1786943250.542
4.608	0	19.58	ok	1786943250.876
4.941	0	18.72	ok	1786943251.209
5.275	0	18.96	ok	1786943251.543
5.609	0	18.46	ok	1786943251.877
5.942	0	18.63	ok	1786943252.210
6.276	0	18.55	ok	1786943252.544
6.61	0	18.76	ok	1786943252.878
6.944	0	18.67	ok	1786943253.212
7.277	0	19.14	ok	1786943253.545
7.611	0	18.56	ok	1786943253.879
7.945	0	18.34	ok	1786943254.213
8.278	0	19.38	ok	1786943254.546
8.612	0	18.67	ok	1786943254.880
8.946	0	19.07	ok	1786943255.214
9.279	0	19.16	ok	1786943255.547
9.613	0	19.51	ok	1786943255.881
9.947	0	18.81	ok	1786943256.215
10.28	0	20.23	ok	1786943256.548
10.614	0	18.91	ok	1786943256.882
10.948	0	19.75	ok	1786943257.216
11.281	0	18.99	ok	1786943257.549
11.615	0	19.45	ok	1786943257.883
11.949	0	19.37	ok	1786943258.217
12.283	0	18.6	ok	1786943258.551
12.616	0	19.95	ok	1786943258.884
12.95	0	19.03	ok	1786943259.218
13.284	0	18.63	ok	1786943259.552
13.617	0	19.29	ok	1786943259.885
13.951	0	18.5	ok	1786943260.219
14.285	0	19.21	ok	1786943260.553
14.618	0	19.15	ok	1786943260.886
14.952	0	18.6	ok	1786943261.220
15.286	0	18.97	ok	1786943261.554
15.619	0	18.95	ok	1786943261.887
15.953	0	18.63	ok	1786943262.221
16.287	0	19.23	ok	1786943262.555
16.621	0	18.83	ok	1786943262.889
16.954	0	18.43	ok	1786943263.222
17.288	0	19.02	ok	1786943263.556
17.622	0	18.38	ok	1786943263.890
17.955	0	18.79	ok	1786943264.223
18.289	0	20.0	ok	1786943264.557
18.623	0	18.84	ok	1786943264.891
18.956	0	18.76	ok	1786943265.224
19.29	0	20.33	ok	1786943265.558
19.624	0	20.08	ok	1786943265.892
19.957	0	19.36	ok	1786943266.225
20.291	0	19.02	ok	1786943266.559
20.625	0	18.92	ok	1786943266.893
20.958	0	18.72	ok	1786943267.226
21.292	0	18.88	ok	1786943267.560
21.626	0	18.32	ok	1786943267.894
