t_rel	session	ms	outcome	t_abs
0.106	0	16.62	ok	1786943290.051
0.44	0	18.25	ok	1786943290.385
0.773	0	33.43	ok	1786943290.718
1.107	0	18.05	ok	1786943291.052
1.441	0	18.24	ok	1786943291.386
1.775	0	18.41	ok	1786943291.720
2.108	0	18.57	ok	1786943292.053
2.442	0	18.27	ok	1786943292.387
2.776	0	18.66	ok	1786943292.721
3.109	0	18.6	ok	1786943293.054
3.443	0	18.57	ok	1786943293.388
3.777	0	18.4	ok	1786943293.722
4.11	0	18.52	ok	1786943294.055
4.444	0	17.81	ok	1786943294.389
4.778	0	17.84	ok	1786943294.723
5.111	0	18.82	ok	1786943295.056
5.445	0	18.34	ok	1786943295.390
5.779	0	17.91	ok	1786943295.724
6.112	0	18.48	ok	1786943296.057
6.446	0	17.85	ok	1786943296.391
6.78	0	18.28	ok	1786943296.725
7.114	0	18.48	ok	1786943297.059
7.447	0	18.0	ok	1786943297.392
7.781	0	17.97	ok	1786943297.726
8.115	0	18.47	ok	1786943298.060
8.448	0	18.45	ok	1786943298.393
8.782	0	18.67	ok	1786943298.727
9.116	0	17.7	ok	1786943299.061
9.449	0	17.59	ok	1786943299.394
9.783	0	17.4	ok	1786943299.728
10.117	0	18.36	ok	1786943300.062
10.45	0	18.63	ok	1786943300.395
10.784	0	18.53	ok	1786943300.729
11.118	0	17.39	ok	1786943301.063
11.451	0	18.35	ok	1786943301.396
11.785	0	18.07	ok	1786943301.730
12.119	0	18.31	ok	1786943302.064
12.452	0	18.28	ok	1786943302.397
12.786	0	18.41	ok	1786943302.731
13.12	0	18.77	ok	1786943303.065
13.453	0	17.77	ok	1786943303.398
13.787	0	17.97	ok	1786943303.732
14.121	0	18.54	ok	1786943304.066
14.455	0	18.18	ok	1786943304.400
14.788	0	18.05	ok	1786943304.733
15.122	0	18.08	ok	1786943305.067
15.456	0	17.95	ok	1786943305.401
15.789	0	18.68	ok	1786943305.734
16.123	0	18.48	ok	1786943306.068
16.457	0	18.42	ok	1786943306.402
16.79	0	18.36	ok	1786943306.735
17.124	0	18.32	ok	1786943307.069
17.458	0	17.68	ok	1786943307.403
17.792	0	17.99	ok	1786943307.737
18.125	0	17.95	ok	1786943308.070
18.459	0	18.36	ok	1786943308.404
18.792	0	18.28	ok	1786943308.737
19.126	0	17.89	ok	1786943309.071
19.46	0	17.82	ok	1786943309.405
19.793	0	18.62	ok	1786943309.738
20.127	0	18.03	ok	1786943310.072
20.461	0	18.3	ok	1786943310.406
20.795	0	18.27	ok	1786943310.740
21.128	0	17.65	ok	1786943311.073
21.462	0	17.56	ok	1786943311.407
21.796	0	17.98	ok	1786943311.741
