t_rel	session	ms	outcome	t_abs
0.286	0	17.7	ok	1786943763.535
0.62	0	18.62	ok	1786943763.869
0.954	0	19.03	ok	1786943764.203
1.287	0	19.62	ok	1786943764.536
1.621	0	19.95	ok	1786943764.870
1.955	0	21.52	ok	1786943765.204
2.288	0	20.1	ok	1786943765.537
2.622	0	18.92	ok	1786943765.871
2.956	0	20.23	ok	1786943766.205
3.289	0	19.1	ok	1786943766.538
3.623	0	19.81	ok	1786943766.872
3.957	0	20.97	ok	1786943767.206
4.29	0	18.86	ok	1786943767.539
4.624	0	20.5	ok	1786943767.873
4.958	0	19.85	ok	1786943768.207
5.291	0	20.16	ok	1786943768.540
5.625	0	19.23	ok	1786943768.874
5.959	0	27.59	ok	1786943769.208
6.292	0	19.47	ok	1786943769.541
6.626	0	19.54	ok	1786943769.875
6.96	0	19.33	ok	1786943770.209
7.294	0	27.53	ok	1786943770.543
7.627	0	27.05	ok	1786943770.876
7.961	0	19.19	ok	1786943771.210
8.294	0	19.9	ok	1786943771.543
8.628	0	18.8	ok	1786943771.877
8.962	0	28.15	ok	1786943772.211
9.296	0	18.98	ok	1786943772.545
9.629	0	19.37	ok	1786943772.878
9.963	0	20.07	ok	1786943773.212
10.297	0	27.74	ok	1786943773.546
10.63	0	18.8	ok	1786943773.879
10.964	0	20.45	ok	1786943774.213
11.298	0	19.24	ok	1786943774.547
11.631	0	21.63	ok	1786943774.880
11.965	0	19.41	ok	1786943775.214
12.299	0	18.73	ok	1786943775.548
12.632	0	18.49	ok	1786943775.881
12.966	0	19.43	ok	1786943776.215
13.3	0	18.02	ok	1786943776.549
13.634	0	19.79	ok	1786943776.883
13.967	0	20.48	ok	1786943777.216
14.301	0	26.33	ok	1786943777.550
14.634	0	20.23	ok	1786943777.883
14.968	0	19.25	ok	1786943778.217
15.302	0	19.0	ok	1786943778.551
15.635	0	28.01	ok	1786943778.884
15.969	0	26.15	ok	1786943779.218
16.303	0	19.45	ok	1786943779.552
16.637	0	19.62	ok	1786943779.886
16.97	0	19.18	ok	1786943780.219
17.304	0	19.52	ok	1786943780.553
17.637	0	26.16	ok	1786943780.886
17.971	0	19.88	ok	1786943781.220
18.305	0	19.01	ok	1786943781.554
18.638	0	19.55	ok	1786943781.887
18.972	0	19.05	ok	1786943782.221
19.306	0	19.58	ok	1786943782.555
19.639	0	18.84	ok	1786943782.888
19.973	0	25.23	ok	1786943783.222
20.307	0	20.26	ok	1786943783.556
20.641	0	19.04	ok	1786943783.890
20.974	0	19.74	ok	1786943784.223
21.308	0	18.97	ok	1786943784.557
21.642	0	19.2	ok	1786943784.891
21.975	0	19.71	ok	1786943785.224
