t_rel	session	ms	outcome	t_abs
0.347	0	18.21	ok	1786943125.400
0.68	0	18.87	ok	1786943125.733
1.014	0	18.85	ok	1786943126.067
1.348	0	22.47	ok	1786943126.401
1.682	0	18.74	ok	1786943126.735
2.015	0	20.26	ok	1786943127.068
2.349	0	18.96	ok	1786943127.402
2.683	0	19.45	ok	1786943127.736
3.016	0	19.16	ok	1786943128.069
3.35	0	19.61	ok	1786943128.403
3.684	0	19.42	ok	1786943128.737
4.017	0	18.58	ok	1786943129.070
4.351	0	19.28	ok	1786943129.404
4.685	0	19.39	ok	1786943129.738
5.018	0	19.86	ok	1786943130.071
5.352	0	19.36	ok	1786943130.405
5.686	0	19.23	ok	1786943130.739
6.019	0	19.08	ok	1786943131.072
6.353	0	19.3	ok	1786943131.406
6.687	0	19.31	ok	1786943131.740
7.02	0	19.47	ok	1786943132.073
7.354	0	18.81	ok	1786943132.407
7.688	0	19.03	ok	1786943132.741
8.021	0	19.43	ok	1786943133.074
8.355	0	19.29	ok	1786943133.408
8.689	0	19.1	ok	1786943133.742
9.023	0	19.27	ok	1786943134.076
9.356	0	19.12	ok	1786943134.409
9.69	0	19.83	ok	1786943134.743
10.024	0	19.62	ok	1786943135.077
10.357	0	18.93	ok	1786943135.410
10.691	0	18.95	ok	1786943135.744
11.025	0	19.12	ok	1786943136.078
11.358	0	18.99	ok	1786943136.411
11.692	0	19.26	ok	1786943136.745
12.026	0	18.97	ok	1786943137.079
12.359	0	19.5	ok	1786943137.412
12.693	0	19.39	ok	1786943137.746
13.027	0	18.99	ok	1786943138.080
13.36	0	18.71	ok	1786943138.413
13.694	0	19.16	ok	1786943138.747
14.028	0	18.74	ok	1786943139.081
14.362	0	18.48	ok	1786943139.415
14.695	0	18.86	ok	1786943139.748
15.029	0	19.23	ok	1786943140.082
15.363	0	19.51	ok	1786943140.416
15.696	0	19.49	ok	1786943140.749
16.03	0	19.45	ok	1786943141.083
16.364	0	19.23	ok	1786943141.417
16.697	0	19.39	ok	1786943141.750
17.031	0	19.34	ok	1786943142.084
17.365	0	19.35	ok	1786943142.418
17.698	0	19.12	ok	1786943142.751
18.032	0	19.4	ok	1786943143.085
18.366	0	18.95	ok	1786943143.419
18.699	0	19.08	ok	1786943143.752
19.033	0	19.56	ok	1786943144.086
19.367	0	19.14	ok	1786943144.420
19.701	0	19.3	ok	1786943144.754
20.034	0	19.16	ok	1786943145.087
20.368	0	18.78	ok	1786943145.421
20.701	0	19.45	ok	1786943145.754
21.035	0	19.76	ok	1786943146.088
21.369	0	19.37	ok	1786943146.422
21.703	0	19.39	ok	1786943146.756
22.036	0	19.58	ok	1786943147.089
22.37	0	18.72	ok	1786943147.423
22.704	0	19.76	ok	1786943147.757
