t_rel	session	ms	outcome	t_abs
0.174	0	17.29	ok	1786943837.774
0.508	0	19.5	ok	1786943838.108
0.841	0	18.49	ok	1786943838.441
1.175	0	24.87	ok	1786943838.775
1.509	0	18.27	ok	1786943839.109
1.842	0	18.81	ok	1786943839.442
2.176	0	18.4	ok	1786943839.776
2.51	0	18.69	ok	1786943840.110
2.843	0	19.24	ok	1786943840.443
3.177	0	18.67	ok	1786943840.777
3.511	0	18.52	ok	1786943841.111
3.844	0	18.66	ok	1786943841.444
4.178	0	18.97	ok	1786943841.778
4.512	0	18.69	ok	1786943842.112
4.845	0	18.75	ok	1786943842.445
5.179	0	18.57	ok	1786943842.779
5.513	0	18.5	ok	1786943843.113
5.846	0	18.82	ok	1786943843.446
6.18	0	18.42	ok	1786943843.780
6.514	0	18.78	ok	1786943844.114
6.847	0	18.5	ok	1786943844.447
7.181	0	18.13	ok	1786943844.781
7.515	0	22.78	ok	1786943845.115
7.849	0	18.87	ok	1786943845.449
8.182	0	18.12	ok	1786943845.782
8.516	0	18.6	ok	1786943846.116
8.85	0	18.66	ok	1786943846.450
9.183	0	18.58	ok	1786943846.783
9.517	0	18.84	ok	1786943847.117
9.851	0	18.36	ok	1786943847.451
10.184	0	19.39	ok	1786943847.784
10.518	0	18.71	ok	1786943848.118
10.852	0	18.35	ok	1786943848.452
11.185	0	19.03	ok	1786943848.785
11.519	0	18.49	ok	1786943849.119
11.853	0	18.63	ok	1786943849.453
12.186	0	18.46	ok	1786943849.786
12.52	0	18.22	ok	1786943850.120
12.854	0	18.59	ok	1786943850.454
13.188	0	19.01	ok	1786943850.788
13.521	0	18.84	ok	1786943851.121
13.855	0	18.88	ok	1786943851.455
14.189	0	19.4	ok	1786943851.789
14.522	0	18.22	ok	1786943852.122
14.856	0	18.56	ok	1786943852.456
15.19	0	18.61	ok	1786943852.790
15.523	0	18.63	ok	1786943853.123
15.857	0	18.97	ok	1786943853.457
16.191	0	18.49	ok	1786943853.791
16.524	0	19.3	ok	1786943854.124
16.858	0	18.13	ok	1786943854.458
17.192	0	18.16	ok	1786943854.792
17.525	0	18.62	ok	1786943855.125
17.859	0	19.18	ok	1786943855.459
18.193	0	18.32	ok	1786943855.793
18.526	0	18.41	ok	1786943856.126
18.86	0	18.7	ok	1786943856.460
19.194	0	18.43	ok	1786943856.794
19.527	0	18.78	ok	1786943857.127
19.861	0	18.17	ok	1786943857.461
20.195	0	18.89	ok	1786943857.795
20.528	0	18.4	ok	1786943858.128
20.862	0	18.08	ok	1786943858.462
21.196	0	18.44	ok	1786943858.796
21.53	0	17.93	ok	1786943859.130
21.863	0	17.98	ok	1786943859.463
22.197	0	19.35	ok	1786943859.797
