t_rel	session	ms	outcome	t_abs
0.12	0	16.97	ok	1786943890.210
0.454	0	17.87	ok	1786943890.544
0.788	0	17.97	ok	1786943890.878
1.121	0	17.95	ok	1786943891.211
1.455	0	22.8	ok	1786943891.545
1.789	0	21.14	ok	1786943891.879
2.122	0	20.1	ok	1786943892.212
2.456	0	20.12	ok	1786943892.546
2.79	0	18.18	ok	1786943892.880
3.123	0	19.11	ok	1786943893.213
3.457	0	18.87	ok	1786943893.547
3.791	0	19.1	ok	1786943893.881
4.125	0	19.17	ok	1786943894.215
4.458	0	18.43	ok	1786943894.548
4.792	0	19.94	ok	1786943894.882
5.126	0	19.98	ok	1786943895.216
5.459	0	18.72	ok	1786943895.549
5.793	0	22.65	ok	1786943895.883
6.127	0	20.29	ok	1786943896.217
6.46	0	23.04	ok	1786943896.550
6.794	0	18.38	ok	1786943896.884
7.128	0	18.47	ok	1786943897.218
7.462	0	20.62	ok	1786943897.552
7.795	0	20.34	ok	1786943897.885
8.129	0	19.31	ok	1786943898.219
8.463	0	20.28	ok	1786943898.553
8.796	0	26.63	ok	1786943898.886
9.13	0	18.21	ok	1786943899.220
9.464	0	19.31	ok	1786943899.554
9.797	0	19.65	ok	1786943899.887
10.131	0	19.17	ok	1786943900.221
10.465	0	22.3	ok	1786943900.555
10.798	0	20.6	ok	1786943900.888
11.132	0	19.77	ok	1786943901.222
11.466	0	20.31	ok	1786943901.556
11.799	0	19.5	ok	1786943901.889
12.133	0	20.2	ok	1786943902.223
12.467	0	21.02	ok	1786943902.557
12.8	0	19.63	ok	1786943902.890
13.134	0	19.2	ok	1786943903.224
13.468	0	19.72	ok	1786943903.558
13.802	0	20.04	ok	1786943903.892
14.135	0	20.51	ok	1786943904.225
14.469	0	19.55	ok	1786943904.559
14.803	0	19.13	ok	1786943904.893
15.137	0	20.16	ok	1786943905.227
15.47	0	19.49	ok	1786943905.560
15.804	0	19.91	ok	1786943905.894
16.138	0	19.52	ok	1786943906.228
16.471	0	19.32	ok	1786943906.561
16.805	0	20.06	ok	1786943906.895
17.139	0	18.94	ok	1786943907.229
17.472	0	19.97	ok	1786943907.562
17.806	0	19.93	ok	1786943907.896
18.14	0	19.68	ok	1786943908.230
18.474	0	20.15	ok	1786943908.564
18.807	0	19.91	ok	1786943908.897
19.141	0	19.3	ok	1786943909.231
19.475	0	18.61	ok	1786943909.565
19.808	0	20.4	ok	1786943909.898
20.142	0	19.49	ok	1786943910.232
20.476	0	19.4	ok	1786943910.566
20.809	0	18.76	ok	1786943910.899
21.143	0	19.9	ok	1786943911.233
21.477	0	18.6	ok	1786943911.567
21.81	0	20.42	ok	1786943911.900
22.144	0	18.55	ok	1786943912.234
