t_rel	session	ms	outcome	t_abs
0.117	0	16.92	ok	1786943404.425
0.45	0	18.28	ok	1786943404.758
0.784	0	34.39	ok	1786943405.092
1.118	0	18.56	ok	1786943405.426
1.452	0	18.76	ok	1786943405.760
1.785	0	18.2	ok	1786943406.093
2.119	0	18.49	ok	1786943406.427
2.453	0	18.19	ok	1786943406.761
2.787	0	19.0	ok	1786943407.095
3.12	0	18.57	ok	1786943407.428
3.454	0	17.7	ok	1786943407.762
3.788	0	18.56	ok	1786943408.096
4.121	0	18.64	ok	1786943408.429
4.455	0	18.56	ok	1786943408.763
4.789	0	18.39	ok	1786943409.097
5.122	0	18.65	ok	1786943409.430
5.456	0	18.58	ok	1786943409.764
5.79	0	18.72	ok	1786943410.098
6.124	0	18.12	ok	1786943410.432
6.457	0	19.02	ok	1786943410.765
6.791	0	17.85	ok	1786943411.099
7.125	0	18.15	ok	1786943411.433
7.458	0	18.25	ok	1786943411.766
7.792	0	17.91	ok	1786943412.100
8.125	0	17.96	ok	1786943412.433
8.459	0	18.27	ok	1786943412.767
8.793	0	17.57	ok	1786943413.101
9.127	0	17.84	ok	1786943413.435
9.46	0	17.9	ok	1786943413.768
9.794	0	17.88	ok	1786943414.102
10.127	0	18.19	ok	1786943414.435
10.461	0	17.59	ok	1786943414.769
10.795	0	18.51	ok	1786943415.103
11.129	0	18.66	ok	1786943415.437
11.462	0	18.48	ok	1786943415.770
11.796	0	18.31	ok	1786943416.104
12.13	0	18.7	ok	1786943416.438
12.463	0	17.93	ok	1786943416.771
12.797	0	18.55	ok	1786943417.105
13.131	0	18.67	ok	1786943417.439
13.464	0	17.85	ok	1786943417.772
13.798	0	18.88	ok	1786943418.106
14.132	0	17.46	ok	1786943418.440
14.465	0	18.81	ok	1786943418.773
14.799	0	18.58	ok	1786943419.107
15.133	0	18.08	ok	1786943419.441
15.467	0	18.12	ok	1786943419.775
15.8	0	18.02	ok	1786943420.108
16.134	0	17.86	ok	1786943420.442
16.468	0	17.89	ok	1786943420.776
16.801	0	18.12	ok	1786943421.109
17.135	0	17.42	ok	1786943421.443
17.469	0	18.18	ok	1786943421.777
17.802	0	18.35	ok	1786943422.110
18.136	0	18.2	ok	1786943422.444
18.47	0	18.12	ok	1786943422.778
18.803	0	17.78	ok	1786943423.111
19.137	0	18.42	ok	1786943423.445
19.471	0	17.74	ok	1786943423.779
19.805	0	17.78	ok	1786943424.113
20.138	0	17.54	ok	1786943424.446
20.472	0	17.62	ok	1786943424.780
20.805	0	17.61	ok	1786943425.113
21.139	0	19.3	ok	1786943425.447
21.473	0	17.73	ok	1786943425.781
21.806	0	18.08	ok	1786943426.114
